Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,ST_CODE,PC_CODE
Kaushal Yadav,NAWADA,8,Post Graduate,148,JD(U),1,154566136,2604969,2014,S04,39
Kiran Sharma,AZAMGARH,0,8th Pass,9487,Bhartiya Shakti Chetna Party,2,3509407,325000,2014,S24,69
M. Aamir Rashadi,AZAMGARH,1,Others,9496,Rashtriya Ulama Council,3,2191523,0,2014,S24,69
Rakesh Kumar Giri,MAHARAJGANJ,0,Graduate Professional,9706,IND,4,306023,0,2014,S24,63
(Kuppal)G.Devadoss,CHENNAI SOUTH,0,8th Pass,6912,IND,5,3630000,850000,2014,S22,3
(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),GARHWAL,0,Graduate Professional,74,BJP,6,44357368,0,2014,S28,2
A Biju,ALATHUR,0,8th Pass,1906,IND,7,564425,175000,2014,S11,9
A N Radhakrishnan,ERNAKULAM,0,Graduate,8,BJP,8,7813475,0,2014,S11,12
A Nelson,SIVAGANGA,0,12th Pass,4337,IND,9,37322,0,2014,S22,31
A P Jithender Reddy,MAHBUBNAGAR,4,Graduate,4536,TRS,10,140831576,1386969,2014,S01,11
A Pandian,ANDAMAN & NICOBAR ISLANDS,0,12th Pass,901,AIFB,11,859410,350000,2014,U01,1
A Prasad,KOLAR,0,10th Pass,1105,IND,12,840000,0,2014,S10,28
A Sampath,ATTINGAL,1,Doctorate,340,CPI(M),13,17791149,1421392,2014,S11,19
A Thavamani,MADURAI,0,Illiterate,7501,BSP,14,51000,0,2014,S22,32
A Vijayaraghavan,KOZHIKODE,0,Graduate Professional,173,CPI(M),15,5757792,152305,2014,S11,5
A. Devadas,BELLARY,0,10th Pass,397,SUCI(C),16,1154658,0,2014,S10,9
A. Irudayadass,CHENNAI SOUTH,0,Graduate,6929,IND,17,551640,0,2014,S22,3
A. Jaiganesh,CHENNAI SOUTH,0,Graduate,6913,Lok Satta Party,18,5855905,0,2014,S22,3
A. Josekutty,KOLLAM,0,10th Pass,336,IND,19,545117,224328,2014,S11,18
A. Magesh,CHENNAI SOUTH,0,Graduate,6943,IND,20,6894841,66500,2014,S22,3
A. P. Shamseer,VADAKARA,0,Literate,1850,IND,21,55620,0,2014,S11,3
A. Raghunath Varma,BERHAMPUR,0,Post Graduate,117,IND,22,270800,0,2014,S18,20
A. Shadhick Batcha,TIRUCHIRAPPALLI,0,Post Graduate,4341,IND,23,752760,700000,2014,S22,24
A.Arunmozhithevan,CUDDALORE,9,Graduate Professional,3955,AIADMK,24,15765250,0,2014,S22,26
A.Baskar,CUDDALORE,0,10th Pass,4048,IND,25,1100000,0,2014,S22,26
A.Ganesan,ARANI,0,8th Pass,6284,BSP,26,2110000,0,2014,S22,12
A.Govindasamy,KALLAKURICHI,0,8th Pass,6356,IND,27,1891000,300000,2014,S22,14
A.Hamid Sh. Habib,DHULE,3,8th Pass,5202,IND,28,63500,0,2014,S13,2
A.K. Aggarwal,VARANASI,1,10th Pass,9741,Agar Jan Party,29,14058166,0,2014,S24,77
A.K. Aggarwal,NORTH EAST DELHI,1,10th Pass,993,Agar Jan Party,30,14058166,0,2014,U05,2
A.K. Mohan,DURG,0,10th Pass,5381,AITC,31,290000,0,2014,S26,7
A.K.Moorthy,ARANI,0,Post Graduate,6292,Pattali Makkal Katchi,32,55271210,17008423,2014,S22,12
A.K.Parashurama Kotemallur,DAVANAGERE,0,12th Pass,2206,BSP,33,215000,0,2014,S10,13
A.K.Perumal,KALLAKURICHI,0,Post Graduate,6357,JMM,34,5302255,0,2014,S22,14
A.K.Salahudeen,KOLLAM,1,12th Pass,700,SDPI,35,6562365,0,2014,S11,18
A.K.Sheikdavood,TIRUPPUR,0,Graduate,4041,IND,36,0,0,2014,S22,18
A.Kannan,MADURAI,0,8th Pass,7496,IND,37,262590,0,2014,S22,32
A.Krishnappa,TUMKUR,0,Graduate,183,JD(S),38,701833242,175031509,2014,S10,19
A.M.H. Nazeem,PONDICHERRY,3,12th Pass,5583,DMK,39,5930000,60000,2014,U07,1
A.M.Smitha,VADAKARA,0,Graduate,1847,CPI(ML) Red star,40,22000,0,2014,S11,3
A.Mahadevan,ARANI,0,12th Pass,6300,IND,41,577000,0,2014,S22,12
A.Mogheeth Khan,TIRUPPUR,0,Graduate,7434,IND,42,3253500,1475000,2014,S22,18
