Column,State,Field,Value
AC_NAME,Tamil Nadu,ALANGUDI,ALANGUDI
AC_NAME,Tamil Nadu,ALANGUDY,ALANGUDI
AC_NAME,Tamil Nadu,ANAICUT,ANAICUT
AC_NAME,Tamil Nadu,ANAIKATTU,ANAICUT
AC_NAME,Tamil Nadu,ANDHIYUR,ANDHIYUR
AC_NAME,Tamil Nadu,ANTHIYUR,ANDHIYUR
AC_NAME,Tamil Nadu,ARAKKONAM,ARAKKONAM
AC_NAME,Tamil Nadu,ARANI,ARANI
AC_NAME,Tamil Nadu,ARANTANGI,ARANTHANGI
AC_NAME,Tamil Nadu,ARANTHANGI,ARANTHANGI
AC_NAME,Tamil Nadu,ARIYAIUR,ARIYALUR
AC_NAME,Tamil Nadu,ARIYALUR,ARIYALUR
AC_NAME,Tamil Nadu,ARKONAM,ARAKKONAM
AC_NAME,Tamil Nadu,ARNI,ARANI
AC_NAME,Tamil Nadu,ARUPPUKKOTTAI,ARUPPUKKOTTAI
AC_NAME,Tamil Nadu,ARUPPUKOTTAI,ARUPPUKKOTTAI
AC_NAME,Tamil Nadu,BODINAYAKANUR,BODINAYAKKANUR
AC_NAME,Tamil Nadu,BODINAYAKKANUR,BODINAYAKKANUR
AC_NAME,Tamil Nadu,CHENGALPATTU,CHENGALPATTU
AC_NAME,Tamil Nadu,CHEPAUK,CHEPAUK
AC_NAME,Tamil Nadu,CHEPAUK-THIRUVALLIKENI,CHEPAUK
AC_NAME,Tamil Nadu,CHINGLEPUT,CHENGALPATTU
AC_NAME,Tamil Nadu,CHINNASALEM,KALLAKURICHI
AC_NAME,Tamil Nadu,COIMBATORE (NORTH),COIMBATORE NORTH
AC_NAME,Tamil Nadu,COIMBATORE (SOUTH),COIMBATORE SOUTH
AC_NAME,Tamil Nadu,COIMBATORE EAST,COIMBATORE SOUTH
AC_NAME,Tamil Nadu,COIMBATORE WEST,COIMBATORE NORTH
AC_NAME,Tamil Nadu,COLACHAL,KOLLACHAL
AC_NAME,Tamil Nadu,COLACHEL,KOLLACHAL
AC_NAME,Tamil Nadu,DHARAMAPURI,DHARMAPURI
AC_NAME,Tamil Nadu,DHARMAPURI,DHARMAPURI
AC_NAME,Tamil Nadu,DR. RADHAKRISHNAN NAGAR,DR. RADHAKRISHNAN NAGAR
AC_NAME,Tamil Nadu,DR.RADHAKRISHNAN NAGAR,DR. RADHAKRISHNAN NAGAR
AC_NAME,Tamil Nadu,EDAPADI,EDAPPADI
AC_NAME,Tamil Nadu,EDAPPADI,EDAPPADI
AC_NAME,Tamil Nadu,GANDARVAKOTTAI,GANDHARVAKOTTAI
AC_NAME,Tamil Nadu,GANDHARVAKOTTAI,GANDHARVAKOTTAI
AC_NAME,Tamil Nadu,GANGAIKODAN,GANGAIKONDAN
AC_NAME,Tamil Nadu,GANGAIKONDAN,GANGAIKONDAN
