"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
1,P.P.HUSAINPUR,254,232,0,486,159,152,0,311,263,0,97,33,171,3,0,2,2,1,0,0,2,0,311
2,"J.H.SCH.PIWARI R.N0-1",583,521,0,1104,331,290,0,621,1,0,41,323,239,2,1,0,1,8,0,3,1,2,621
3,"J.H.SCH.PIWARI R.N0-2",370,322,0,692,283,244,0,527,16,0,3,115,397,3,0,0,1,0,0,2,3,3,527
4,"J.H.SCH.PIWARI R.N0-3",471,423,0,894,376,338,0,714,56,0,96,2,602,5,0,1,0,0,0,2,4,2,714
5,P.P.LAKHAIRA,241,212,0,453,164,154,0,318,14,0,1,313,3,0,0,1,0,0,0,0,0,0,318
6,"P.P.MAHMOODPUR NAGARIYA R.N0-1",330,287,0,617,234,218,0,452,20,0,7,3,427,4,0,1,1,2,1,4,1,1,452
7,"P.P.MAHMOODPUR NAGARIYA R.N0-2",579,471,0,1050,379,326,0,705,342,0,51,207,432,4,2,1,1,3,0,1,3,0,705
8,"J.H.SCH.NAGARIYA TAD R.N0-1",458,390,0,848,315,277,0,592,1,0,35,9,535,4,0,0,1,5,0,2,1,0,592
9,"J.H.SCH.NAGARIYA TAD R.N0-2",404,363,0,767,327,265,0,592,92,0,6,1,569,5,2,1,0,0,1,2,2,3,592
10,"P.P.ISLAMPUR PILI",255,239,0,494,238,221,0,459,159,0,2,6,443,4,0,1,0,0,0,1,1,1,459
11,"P.P.FIROJPUR SALAUNI R.N0-1",613,540,0,1153,308,278,0,586,30,0,391,44,132,1,0,1,1,4,0,4,2,6,586
12,"P.P.FIROJPUR SALAUNI R.N0-2",549,463,0,1012,270,253,0,523,21,0,382,98,26,1,1,0,0,1,2,0,3,9,523
13,P.P.MUNABBARPUR,490,427,0,917,382,311,0,693,180,0,21,1,640,5,2,1,0,18,0,2,1,2,693
14,"P.P.RASHEEDPUR MAFI",412,359,0,771,294,228,0,522,22,0,38,22,452,5,2,0,2,0,0,0,1,0,522
15,"P.P.SIRSABADAN R.N0-1",499,422,0,921,319,278,0,597,67,0,31,189,357,5,0,2,2,3,0,2,4,2,597
16,"P.P.SIRSABADAN R.N0-2",474,397,0,871,374,296,0,670,133,0,59,10,579,5,1,2,2,2,1,1,5,3,670
17,"P.P.DHARPASI R.N0-1",622,513,0,1135,332,274,0,606,1,0,135,132,332,3,0,0,0,0,0,0,1,3,606
18,"P.P.DHARPASI R.N0-2",562,434,0,996,291,229,0,520,129,0,39,36,410,8,2,0,1,5,1,2,10,6,520
19,U.P.V.GOKANI,651,580,0,1231,490,365,0,855,1,0,117,42,671,13,0,2,1,0,0,4,4,1,855
20,"M.G.H.M.I.COLLEGE MAREHARA .R.N0-1",673,592,0,1265,378,343,0,721,178,0,128,391,171,4,0,2,1,3,0,3,9,9,721
21,"M.G.H.M.I.COLLEGE MAREHARA .R.N0-5",441,388,0,829,231,220,0,451,332,0,300,107,33,0,1,2,2,2,0,1,1,2,451
22,"M.G.H.M.I.COLLEGE MAREHARA .R.N0-2",708,639,0,1347,459,424,0,883,11,0,390,24,453,4,0,2,0,1,0,4,2,3,883
23,"M.G.H.M.I.COLLEGE MAREHARA .R.N0-4",807,696,0,1503,414,361,0,775,523,0,399,250,103,1,4,1,1,1,1,4,4,6,775
24,"M.G.H.M.I.COLLEGE MAREHARA R.N0-3",559,528,0,1087,332,279,0,611,1,0,306,21,270,4,0,2,2,0,0,2,0,4,611
25,"RANI AVANTIBAI I.C. MAREHARA R.N0-2",331,304,0,635,162,148,0,310,1,0,62,16,223,6,1,0,1,0,0,1,0,0,310
26,"RANI AVANTIBAI I.C. MAREHARA R.N0-1",597,558,0,1155,324,344,0,668,1,0,523,129,3,0,1,3,3,0,0,2,1,3,668
27,"RANI AVANTIBAI I.C. MAREHARA R.N0-3",648,607,0,1255,404,408,0,812,1,0,117,161,494,4,1,4,2,4,3,5,9,8,812
28,"RANI AVANTIBAI I.C. MAREHARA R.N0-4",235,204,0,439,134,123,0,257,242,0,49,64,135,0,0,0,1,1,1,0,4,2,257
29,"P.M.V.MAREHARA R.N0-1",373,295,0,668,176,160,0,336,87,0,27,138,160,7,1,1,0,0,0,0,1,1,336
30,"P.M.V.MAREHARA R.N0-2",486,453,0,939,299,262,0,561,25,0,453,85,15,0,0,0,2,0,0,1,3,2,561
31,"P.M.V.MAREHARA R.N0-4",752,658,0,1410,400,357,0,757,465,0,268,77,388,4,2,2,3,0,0,3,8,2,757
32,"P.M.V.MAREHARA R.N0-3",776,708,0,1484,441,560,0,1001,1001,0,851,97,48,0,0,2,0,0,1,0,0,2,1001
33,"P.P.AHMADNAGAR BAMNOI R.N0-1",417,346,0,763,276,224,0,500,1,0,21,447,20,0,0,2,1,2,1,2,1,3,500
