"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MULAYAM SINGH YADAV","2 - SHATRUGHAN SINGH CHAUHAN","3 - DR. SANGHMITRA MAURYA","4 - ABU NASIM PATHAN","5 - BABA HARDEV SINGH","6 - SHISHUPAL SINGH","7 - SATENDRA VEER SINGH CHAUHAN","8 - ASHOK KUMAR","9 - ALOK NANDAN","10 - MUKESH KUMAR","11 - MUKESH KUMAR SHAKYA","12 - RAJESHWARI","13 - HAKIM SINGH","14 - None of the Above","Total Votes Secured"
1,"P.P. HANNUKHEDA ROOM 1",304,275,0,579,168,136,0,304,304,0,175,35,76,0,0,0,1,0,2,2,2,4,2,5,304
2,"P.P. HANNUKHEDA ROOM 2",264,221,0,485,117,72,0,189,189,0,88,45,49,3,1,0,0,0,0,0,1,0,1,1,189
3,"P.P. HANNUKHEDA ROOM 3",441,398,0,839,207,181,0,388,388,0,166,97,114,0,0,1,1,2,4,2,0,0,0,1,388
4,"P.P. MARHARI",576,499,0,1075,363,240,0,603,204,0,532,36,20,1,6,0,1,0,1,0,1,1,0,4,603
5,"P.P. BALARPUR",312,281,0,593,196,180,0,376,372,0,155,10,205,2,0,0,0,0,0,0,2,1,0,1,376
6,"P.P. NAGLA HIMMAT",328,295,0,623,254,187,0,441,379,0,431,7,0,0,1,1,0,0,0,0,0,0,1,0,441
7,"J.H. SCHOOL BHOJPUR",249,224,0,473,176,182,0,358,358,0,103,64,179,2,0,0,1,0,3,0,3,0,0,3,358
8,"P.P. GANESHPUR",205,184,0,389,152,148,0,300,300,0,122,171,3,0,0,0,0,0,1,0,0,1,1,1,300
9,"J.H. SCHOOL SHAHPUR",266,245,0,511,261,195,0,456,251,0,441,3,11,1,0,0,0,0,0,0,0,0,0,0,456
10,"P.P. NAGLA KANKAN",266,234,0,500,217,192,0,409,409,0,394,3,1,0,0,0,0,1,2,0,0,0,1,7,409
11,"P.P. GAUSHALPUR",267,245,0,512,190,143,0,333,256,0,98,122,108,1,0,0,0,0,4,0,0,0,0,0,333
12,"J.H.SCHOOL MARHARI",227,204,0,431,180,145,0,325,322,0,308,13,0,0,0,0,0,0,0,0,0,0,0,4,325
13,"P.P. LEHRA ROOM 1",468,418,0,886,239,225,0,464,458,0,162,195,63,1,0,1,5,1,15,3,4,4,1,9,464
14,"P.P. LEHRA ROOM 2",510,443,0,953,210,233,0,443,443,0,79,209,127,2,0,1,2,0,10,1,4,4,0,4,443
15,"P.P. NAGLA SEMAR",573,497,0,1070,370,313,0,683,683,0,88,298,270,3,2,0,1,0,7,1,4,5,2,2,683
16,"P.P. NAGLA DHANSINGH",228,199,0,427,177,124,0,301,301,0,34,230,31,1,0,1,0,1,1,0,0,1,0,1,301
17,"J.H. SCHOOL NAGLA MITKAR",644,554,0,1198,498,342,0,840,840,0,482,156,189,0,0,0,1,1,2,0,2,0,1,6,840
18,"P.P. SNDA ROOM 1",350,307,0,657,184,141,0,325,324,0,215,94,9,0,1,0,1,1,1,0,0,0,0,3,325
19,"P.P. SANDA ROOM 2",341,316,0,657,196,186,0,382,382,0,60,35,276,1,0,0,0,1,2,1,3,0,1,2,382
20,"P.P. ATMADPUR ROOM 1",619,548,0,1167,419,266,0,685,685,0,86,571,5,0,0,0,0,1,4,1,2,1,6,8,685
21,"P.P. NAGLA MISUR",175,163,0,338,105,88,0,193,191,0,58,101,28,0,4,0,0,0,1,0,0,0,1,0,193
22,"P.P. SIMRAI ROOM 1",325,290,0,615,157,95,0,252,230,0,135,86,23,0,3,0,0,0,2,1,0,1,0,1,252
23,"P.P. SIMRAI ROOM 2",624,516,0,1140,288,163,0,451,443,0,186,77,170,1,0,0,1,0,3,1,1,3,3,5,451
24,"P.P. INNIKHEDA",233,203,0,436,127,111,0,238,200,0,75,148,5,0,1,0,2,0,1,0,1,2,1,2,238
25,"P.P. DEVGUNJ",574,506,0,1080,347,303,0,650,650,0,209,243,160,3,1,0,2,0,6,3,5,1,6,11,650
26,"P.P. DALEEPPUR KAILAI",345,308,0,653,163,130,0,293,287,0,46,148,80,2,2,0,1,0,2,1,2,6,1,2,293
27,"SADHAN SAHKARI SAMITI NAGLA BHAGAT",502,442,0,944,207,149,0,356,352,0,102,126,112,0,0,0,0,0,5,2,1,2,3,3,356
28,"P.P. SUNNAMAI",638,568,0,1206,307,277,0,584,584,0,223,107,234,2,4,0,0,0,5,0,3,1,3,2,584
29,"J.H.SCHOL NAGLA JAIN KHA",379,331,0,710,190,166,0,356,356,0,120,196,36,0,1,0,0,0,2,0,0,0,0,1,356
30,"P.P. JARAMAI",363,314,0,677,270,174,0,444,444,0,279,97,49,2,2,0,0,2,3,0,0,3,4,3,444
31,"P.P. MEHARMAI",472,398,0,870,290,165,0,455,455,0,164,216,38,2,1,0,1,2,14,2,1,2,0,12,455
32,"P.P. NAGLA SHIMBHU",227,206,0,433,165,154,0,319,319,0,135,9,168,3,0,0,0,0,0,0,2,1,1,0,319
