"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
1,"PRAIMARI SCHOOL ROOM NO.1 KARODA",440,333,0,773,380,266,0,646,5,0,1,2,21,611,3,0,0,0,0,1,0,1,1,0,0,2,0,0,1,2,646
2,"PRAIMARI SCHOOL ROOM N0. 2 KARODA",443,341,0,784,308,237,0,545,115,0,0,1,63,473,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,545
3,"HARIJAN PANCHAYAT GHAR,KARODA",585,411,0,996,275,210,0,485,465,0,44,4,69,339,2,1,0,0,1,6,1,2,1,1,1,4,0,0,1,8,485
4,"JUNIOR HIGH SCHOOL ROOM NO.1 KHEDAMASTAN",758,562,0,1320,435,330,0,765,751,0,115,15,138,478,1,0,0,2,0,1,1,2,2,1,0,4,1,1,0,3,765
5,"JUNIOR HIGH SCHOOL ROOM NO.2 KHEDAMASTAN",596,495,0,1091,353,287,0,640,639,0,76,9,96,454,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,640
6,"PRAIMARI SCHOOL ROOM N0. 1  SARNAWALI",560,426,0,986,418,279,0,697,697,0,56,12,32,574,2,0,0,1,1,8,0,3,1,0,2,2,1,0,0,2,697
7,"PRAIMARI SCHOOL ROOM N0.2 SARNAWALI",603,445,0,1048,450,298,0,748,748,0,2,3,61,660,2,0,1,0,0,8,0,2,2,0,0,1,1,0,1,4,748
8,"PRAIMARI SCHOOL ROOM N0. 1 FUGANA",757,538,0,1295,574,421,0,995,995,0,0,11,3,960,4,0,1,3,0,6,0,1,2,0,0,1,0,0,0,3,995
9,"PRAIMARI SCHOOL ROOM N0.2 FUGANA",694,488,0,1182,514,289,0,803,803,0,1,4,15,775,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,803
10,"PRAIMARI KANYA PATHSHALA FUGANA",745,570,0,1315,608,410,0,1018,1005,0,2,7,44,950,1,0,0,0,0,2,1,1,3,1,0,0,0,0,1,5,1018
11,"CHOPAL JAHARVEER BADWALI ROOM N0. 1 FUGANA",396,302,0,698,202,158,0,360,168,0,1,0,54,293,2,0,0,0,0,7,0,0,2,0,0,0,0,0,0,1,360
12,"CHOPAL JAHARVEER BADWALI ROOM N0. 2 FUGANA",586,396,0,982,247,215,0,462,441,0,47,0,19,362,4,0,0,0,0,8,1,0,2,1,0,6,2,1,1,8,462
13,"CHOPAL HARIJAN ALSAN PATTI FUGANA",550,437,0,987,268,189,0,457,400,0,102,3,69,265,1,2,0,1,0,1,0,0,2,2,1,3,3,0,0,2,457
14,"PRAIMARI SCHOOL  N0. 1 UTTARI BHAG DUNGAR",475,385,0,860,368,290,0,658,658,0,2,4,21,615,5,1,0,0,0,4,0,0,2,1,0,0,0,0,0,3,658
15,"PRAIMARI SCHOOL N0. 1 DAKSHINI  BHAG DUNGAR",460,331,0,791,335,251,0,586,586,0,1,0,4,568,5,1,0,0,0,2,0,0,1,0,0,1,0,0,0,3,586
16,"PRAIMARI SCHOOL N0. 1 PASCHIMI BHAG DUNGAR",427,336,0,763,303,255,0,558,555,0,1,4,24,522,2,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,558
17,"PRAIMARI SCHOOL N0. 1 PURVI BHAG DUNGAR",431,299,0,730,267,186,0,453,400,0,17,1,9,409,2,1,0,0,0,4,0,0,1,0,0,1,0,0,1,7,453
18,"PRAIMARI SCHOOL UTTARI BHAG  LOI",906,715,0,1621,567,443,0,1010,996,0,118,4,768,77,0,0,0,2,1,7,2,1,1,6,1,12,1,1,7,1,1010
19,"PRAIMARI SCHOOL DAXINI  BHAG LOI",909,634,0,1543,519,491,0,1010,940,0,71,1,852,45,2,1,2,0,1,7,2,2,2,4,0,10,3,1,3,1,1010
20,"PRAIMARI SCHOOL PURVI BHAG FATEHPURKHERI",703,566,0,1269,518,424,0,942,942,0,3,2,57,852,3,0,0,1,2,9,1,4,0,1,1,0,1,0,2,3,942
21,"PRAIMARI SCHOOL  PASCHIMI BHAG FATEHPURKHERI",496,409,0,905,329,281,0,610,595,0,10,2,36,541,0,0,0,0,1,5,0,3,5,0,0,1,2,0,1,3,610
22,"PRAIMARI SCHOOL ROOM N0. 1 JOGIYAKHERA",620,571,0,1191,501,453,0,954,950,0,263,2,657,4,0,1,0,1,1,1,1,3,0,3,1,9,4,0,3,0,954
23,"PRAIMARI SCHOOL ROOM N0. 2 JOGIYAKHERA",611,544,0,1155,476,423,0,899,899,0,222,3,631,3,1,0,0,1,0,0,0,0,0,3,0,6,13,4,11,1,899
24,"PRAIMARI SCHOOL JAULA",857,729,0,1586,639,582,0,1221,736,0,143,3,1059,5,0,0,0,1,0,1,0,1,1,2,0,3,0,0,1,1,1221
25,"MIDIL SCHOOL JAULA",669,562,0,1231,575,428,0,1003,1003,0,55,3,852,87,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1003
26,"SHRI PARSVANATH JAIN INTER COLLEGE ROOM N0 1 JAULA",603,510,0,1113,489,380,0,869,865,0,70,2,743,34,1,1,1,2,0,1,3,0,1,1,0,2,2,0,5,0,869
27,"SHRI PARSVANATH JAIN INTER COLLEGE ROOM N0 3 JAULA",623,564,0,1187,493,402,0,895,880,0,21,3,737,102,2,2,0,1,0,0,1,0,1,1,0,5,2,5,6,6,895
28,"SHRI PARSVANATH JAIN INTER COLLEGE ROOM N0 2 JAULA",739,630,0,1369,554,453,0,1007,781,0,34,3,936,9,1,0,1,1,2,0,0,1,0,5,0,2,0,3,6,3,1007
29,"SHRI PARSVANATH JAIN INTER COLLEGE ROOM N0 4 JAULA",531,494,0,1025,430,345,0,775,747,0,44,3,694,6,0,0,0,0,0,3,1,2,4,6,2,5,3,0,1,1,775
30,"SHRI PARSVANATH JAIN INTER COLLEGE ROOM N0  5 JAULA",848,621,0,1469,574,319,0,893,882,0,183,15,436,196,3,4,0,1,3,10,1,0,2,17,2,13,1,0,0,6,893
31,"JINVANI VIDYA MANDIR JUNIOR HIGH SCHOOL ROOM N0. 2 JAULA",443,354,0,797,379,295,0,674,673,0,14,8,512,136,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,674
32,"JINVANI VIDYA MANDIR JUNIOR HIGH SCHOOL ROOM N0. 1 JAULA",455,368,0,823,378,307,0,685,685,0,20,7,508,133,1,0,1,0,0,4,0,0,3,4,0,3,0,0,1,0,685
33,"JINVANI VIDYA MANDIR JUNIOR HIGH SCHOOL ROOM N0. 3 JAULA",637,538,0,1175,515,391,0,906,905,0,49,3,780,57,0,1,0,0,3,1,0,1,0,2,0,1,2,0,2,4,906
