"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - VIPNESH","2 - RAVI PRAKASH VERMA","3 - RAMGOPAL MISHRA","4 - AJAY KUMAR","6 - ARVIND GIRI","7 - ZAFAR ALI NAQVI","10 - DINESH KUMAR","11 - KRISHNA ADHIKARI","12 - ASHRAF ALI","14 - ASHOK","16 - RAMESHWARI","17 - None of the Above","Total Votes Secured"
1,NPYT.MAILANI,674,617,1,1292,415,336,0,751,749,0,6,109,2,352,99,171,0,1,0,2,2,7,751
2,"NPYT MAILANI",644,502,0,1146,393,274,0,667,667,0,5,138,2,259,155,93,2,0,2,2,1,8,667
3,"NPYT MAILANI",859,596,0,1455,385,266,0,651,623,0,10,141,0,220,146,125,0,0,1,1,2,5,651
4,"NPYT MAILANI",937,743,0,1680,546,409,0,955,942,0,10,123,3,400,155,240,1,2,3,1,4,13,955
5,"NPYT MAILANI",568,475,0,1043,308,251,0,559,559,0,6,83,3,164,147,142,1,1,1,3,2,6,559
6,"NPYT MAILANI",519,454,0,973,249,217,0,466,466,0,2,61,0,190,79,128,0,2,1,1,0,2,466
7,"NPYT MAILANI",605,491,0,1096,441,327,0,768,640,0,8,79,2,234,378,45,0,3,1,0,1,17,768
8,"NPYT MAILANI",787,615,0,1402,421,335,0,756,755,0,12,68,2,195,270,171,2,1,4,1,4,26,756
9,MAHESHAPUR,821,717,0,1538,590,539,0,1129,900,0,30,78,4,246,427,306,4,1,6,14,5,8,1129
10,PADHRIYATILKAPUR,688,605,0,1293,660,317,0,977,977,0,15,246,3,493,168,27,5,2,3,4,1,10,977
11,PADHRIYATILKAPUR,529,465,0,994,376,311,0,687,687,0,6,189,0,221,199,51,3,4,3,1,3,7,687
12,TIRKAULIYA,301,291,0,592,269,258,0,527,527,0,3,82,0,77,354,6,0,0,2,2,0,1,527
13,"GAURIYA M BAHADRANAGAR",469,419,0,888,379,304,0,683,683,0,15,132,3,269,215,16,3,2,0,1,5,22,683
14,"BAHADUR NAGAR",323,303,0,626,256,254,0,510,509,0,5,44,1,44,386,17,1,2,0,2,6,2,510
15,"RAJWAPUR M0 SONPIPAR",636,559,0,1195,491,454,0,945,940,0,10,177,0,164,563,19,1,0,3,3,2,3,945
16,SONAKHURAD,546,475,0,1021,465,369,0,834,830,0,9,281,2,195,286,38,3,2,1,2,1,14,834
17,DIMRAUL,584,508,0,1092,471,419,0,890,890,0,4,201,5,195,387,71,7,2,2,1,3,12,890
18,"इटकुटी",521,454,0,975,309,307,0,616,612,0,15,96,6,209,218,46,4,0,4,0,4,14,616
19,ITKUTI,471,406,0,877,243,222,0,465,461,0,6,132,1,155,127,23,4,0,4,0,1,12,465
20,BAJHEDHA,312,270,0,582,260,223,0,483,483,0,3,347,1,24,70,32,1,1,0,0,1,3,483
21,"SHANKARPUR M0 BIJUA",617,561,0,1178,499,397,0,896,870,0,10,135,5,237,437,32,11,4,4,1,4,16,896
22,"REVATIPUR M0 BIJUA",652,565,0,1217,424,338,0,762,762,0,13,182,4,157,334,39,6,3,3,1,6,14,762
23,BIJUA,747,660,0,1407,552,432,0,984,984,0,10,265,1,473,157,44,5,2,3,7,7,10,984
24,BIJUA,656,619,0,1275,466,416,0,882,872,0,3,170,2,279,332,68,5,1,0,3,4,15,882
25,BIJUA,803,709,1,1513,603,487,1,1091,1091,0,26,105,2,89,436,413,1,2,0,1,3,13,1091
26,"RAINAGANJ M0 RAMESH‍VARPUR",518,454,0,972,349,338,0,687,687,0,3,48,1,15,583,21,3,1,0,1,4,7,687
27,"DAM‍BAL TANDA M0 RAMESH‍VRAPUR",329,296,0,625,237,231,0,468,468,0,2,139,1,133,156,21,6,1,0,0,2,7,468
28,"RAMNAGAR KALAN",555,499,0,1054,441,364,0,805,758,0,14,195,1,231,298,61,0,2,0,0,1,2,805
29,"RAMNAGAR KALAN",719,646,0,1365,502,430,0,932,912,0,15,247,2,213,373,50,5,2,4,1,6,14,932
30,TIKHDHA,461,413,0,874,369,297,0,666,649,0,8,27,2,105,495,7,2,2,4,1,4,9,666
31,TIKHDHA,460,405,0,865,347,253,0,600,600,0,4,92,1,58,417,13,1,3,1,2,1,7,600
32,DARIYABAD,605,539,0,1144,413,265,0,678,556,0,8,29,0,168,414,23,4,2,1,1,6,22,678
33,DARIYABAD,607,560,0,1167,356,337,0,693,585,0,6,36,3,250,335,40,3,1,4,0,2,13,693
34,"CHAN‍DPURA",325,295,0,620,241,209,0,450,450,0,9,101,1,187,133,13,3,1,0,0,1,1,450
35,"RADHA M0 DEVRIYARDHA",500,416,0,916,345,296,0,641,641,0,11,81,0,99,378,51,0,1,3,3,2,12,641
36,"RADHA M0 DEVRIYARDHA",497,439,0,936,396,337,0,733,732,0,26,64,2,136,224,248,3,5,2,4,3,16,733
37,"DEVRIYA M0 DEVRIYARDHA",385,339,0,724,334,297,0,631,621,0,5,257,1,186,168,6,1,0,0,1,3,3,631
38,BELHASIKTIHA,727,647,0,1374,529,471,0,1000,1000,0,14,109,5,450,365,11,5,3,9,3,7,19,1000
39,FUTHA,490,413,0,903,397,306,0,703,703,0,5,170,0,173,315,19,4,1,2,2,6,6,703
40,KARSAUR,369,339,0,708,278,237,0,515,515,0,6,91,2,126,247,19,1,1,3,0,5,14,515
41,KARSAUR,520,417,0,937,374,287,0,661,661,0,6,198,1,98,343,11,1,0,0,1,0,2,661
42,"RURASUL‍TANPUR",710,651,0,1361,539,488,0,1027,1027,0,8,69,5,482,421,16,5,1,1,1,5,13,1027
43,GUJARA,652,584,0,1236,437,353,0,790,790,0,7,24,1,233,476,23,7,1,1,0,3,14,790
44,"PUJAGANV M0 ASHADHI",604,539,0,1143,403,374,0,777,777,0,6,88,1,382,280,6,7,1,1,2,1,2,777
45,"PUJAGANV M0 ASHADHI",513,477,0,990,312,252,0,564,564,0,5,104,0,303,127,14,2,2,2,1,0,4,564
46,DAUDPUR,720,615,0,1335,493,426,0,919,918,0,29,116,2,276,198,266,1,1,4,1,7,18,919
47,DAUDPUR,600,566,0,1166,421,375,0,796,793,0,8,47,5,134,421,129,27,0,0,7,7,11,796
48,LAKHAHABHUD,536,474,0,1010,419,345,0,764,750,0,7,48,2,285,371,31,5,2,0,0,4,9,764
49,LAKHAHAALIGANJ,442,390,0,832,338,292,0,630,630,0,19,40,3,229,70,245,3,1,3,3,4,10,630
50,JODHAPUR,773,670,0,1443,573,437,0,1010,1005,0,9,37,3,536,192,207,2,1,4,1,2,16,1010
51,RUDRAPUR,243,222,0,465,193,170,0,363,363,0,1,10,2,96,236,5,1,1,0,0,1,10,363
52,MALAPUR,460,408,0,868,335,251,0,586,581,0,6,55,2,340,159,13,0,0,1,0,1,9,586
53,MALAPUR,485,446,0,931,297,269,0,566,566,0,2,32,0,269,250,9,1,1,0,0,0,2,566
54,SONARIPUR,590,533,0,1123,432,358,0,790,778,0,11,258,0,61,324,122,5,1,2,2,1,3,790
55,MALUKAPUR,519,491,0,1010,399,322,0,721,720,0,13,253,1,199,166,73,2,2,2,1,2,7,721
56,"PIPARIYA DHNI",596,524,0,1120,468,370,0,838,820,0,6,122,0,406,285,7,1,2,2,0,0,7,838
57,RAYAPUR,573,535,0,1108,391,360,0,751,751,0,6,81,3,179,341,118,4,0,2,3,4,10,751
58,"IBRAHIMPUR .M. RAYAPUR",404,391,0,795,342,323,0,665,665,0,15,230,3,6,83,313,2,0,0,3,2,8,665
59,PAHADAPUR,697,633,0,1330,524,407,0,931,931,0,17,68,2,274,382,169,2,0,3,0,5,9,931
60,CHAUKHADIYA,232,215,0,447,199,172,0,371,371,0,3,124,0,90,142,7,0,0,0,0,0,5,371
61,BELAVAMALUKAPUR,445,378,0,823,301,236,0,537,537,0,9,58,0,139,251,63,2,0,4,1,1,9,537
62,BELAVAMALUKAPUR,396,372,0,768,295,230,0,525,517,0,5,45,4,268,155,29,1,1,0,0,2,15,525
63,PADARIYATULA,446,394,0,840,370,306,0,676,676,0,6,77,2,285,230,43,1,1,5,1,4,21,676
64,PADARIYATULA,536,483,0,1019,409,370,0,779,779,0,4,73,3,433,212,34,1,1,4,3,2,9,779
65,MUDIYAHEMASINGH,410,391,0,801,350,315,0,665,665,0,6,182,1,269,105,88,2,3,2,4,1,2,665
66,MUDIYAHEMASINGH,486,424,0,910,415,346,0,761,743,0,7,107,7,160,403,48,2,0,3,3,3,18,761
67,GONDHIA,788,693,0,1481,541,471,0,1012,1012,0,11,266,3,303,272,134,2,0,2,7,3,9,1012
