"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
1,"P.S.RAIPURGANJ R.NO. 1",498,382,0,880,340,229,0,569,71,0,111,45,354,36,3,0,3,2,1,0,0,1,3,2,1,5,2,569
2,"P.S.RAIPURGANJ R.NO. 2",466,372,2,840,289,257,0,546,1,0,128,40,335,16,1,0,4,0,1,0,1,1,1,5,2,3,8,546
3,P.S.BHAVANIPUR,184,170,0,354,132,142,0,274,31,0,78,35,116,22,4,0,2,0,0,1,1,1,1,1,3,4,5,274
4,P.S.KULTAJPUR,530,426,0,956,383,256,0,639,65,0,228,43,292,27,4,0,3,3,0,1,0,1,1,4,4,6,22,639
5,"P.S.LACHCCHANNAGAR R. NO 1",544,509,0,1053,359,279,0,638,10,0,224,141,221,13,0,3,4,4,0,1,0,2,2,10,2,8,3,638
6,"P.S.LACHCCHANNAGAR R. NO 2",579,480,0,1059,340,262,0,602,24,0,208,172,185,8,1,0,1,2,2,0,1,2,2,8,2,4,4,602
7,"P.S.BADAYU TOLA R. NO. 1",811,741,0,1552,457,405,0,862,200,0,288,109,424,8,1,2,8,0,1,0,1,0,3,5,2,4,6,862
8,"P.S.BADAYU TOLA R. NO. 2",722,584,0,1306,400,360,0,760,1,0,528,86,110,9,1,0,2,2,0,0,0,0,1,0,2,6,13,760
9,"K.J.H.S TANDASALAR",214,219,0,433,63,62,0,125,125,0,74,7,38,2,0,0,0,0,1,0,1,0,1,0,0,0,1,125
10,"P.S.BADAYU TOLA R. NO. 3",690,548,0,1238,357,303,0,660,5,0,454,41,117,5,1,4,8,0,1,0,1,2,1,10,2,4,9,660
11,"P.S.BADAYU TOLA R. NO. 4",665,580,0,1245,475,342,0,817,15,0,582,176,26,2,1,0,3,0,0,0,0,1,1,2,3,8,12,817
12,"P.S.TADASALAR R.NO. 1",669,595,0,1264,368,358,0,726,718,0,350,82,270,6,1,1,2,1,0,0,1,2,0,1,2,2,5,726
13,"P.S.TADASALAR R.NO. 2",608,508,0,1116,415,280,0,695,1,0,474,83,95,22,1,0,2,0,1,0,0,1,0,1,2,1,12,695
14,"P.S.TADASALAR R.NO. 3",747,552,1,1300,446,326,0,772,1,0,681,48,19,13,0,0,0,0,0,0,0,0,1,2,1,3,4,772
15,"MISBAHUL ULOOM R.N.1 NAKKARCITOLA",567,495,0,1062,254,222,0,476,1,0,307,94,64,4,0,0,1,1,0,0,0,0,0,1,3,0,1,476
16,"MISBAHUL ULOOM R.N.2 NAKKARCITOLA",689,529,0,1218,400,287,0,687,280,0,443,216,14,3,0,0,0,0,0,0,0,0,0,0,0,0,11,687
17,"MISBAHUL ULOOM R.N.3 NAKKARCITOLA",426,330,0,756,210,185,0,395,1,0,279,105,1,1,0,0,0,0,0,0,0,0,0,3,0,0,6,395
18,"P.S.MAHJIDIYA H/O TADASALAR",295,280,0,575,222,163,0,385,385,0,262,25,78,3,0,0,4,2,0,0,0,0,0,2,3,1,5,385
19,"MISBAHUL ULOOM R.N.4 NAKKARCITOLA",357,282,0,639,191,122,0,313,173,0,149,10,141,1,0,0,2,0,0,0,1,0,0,3,2,3,1,313
20,"ISLAMIYA SCHOOL R.N. 1 GANDHINAGAR",754,694,0,1448,421,327,0,748,510,0,500,143,79,11,0,0,1,0,0,1,1,0,1,1,3,5,2,748
21,"ISLAMIYA SCHOOL R.N. 2 GANDHINAGAR",654,563,0,1217,424,327,0,751,2,0,615,42,72,9,0,0,2,0,0,0,0,0,2,0,0,1,8,751
22,"ISLAMIYA SCHOOL R.N. 3 GANDHINAGAR",752,659,1,1412,434,320,0,754,1,0,474,136,110,23,3,0,1,1,0,0,1,1,1,2,0,1,0,754
23,"ISLAMIYA SCHOOL R.N. 4 GANDHINAGAR",528,533,0,1061,268,263,0,531,5,0,393,109,8,7,0,0,0,1,0,0,4,0,0,2,1,1,5,531
24,"ISLAMIYA SCHOOL R.N. 5 GANDHINAGAR",407,325,0,732,228,164,0,392,41,0,240,103,40,2,0,1,2,0,0,0,0,0,0,0,2,2,0,392
25,"ISLAMIYA SCHOOL R.N. 6 GANDHINAGAR",558,554,0,1112,332,287,0,619,592,0,469,92,35,4,0,0,2,1,0,0,0,0,0,2,1,1,12,619
26,"NAGAR PALIKA OFFICE GANDHINAGAR R. NO 1",283,247,0,530,148,132,0,280,271,0,208,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,280
27,"NAGAR PALIKA OFFICE GANDHINAGAR R. NO 2",518,446,0,964,306,203,0,509,25,0,242,171,80,5,1,0,1,0,0,0,0,0,0,3,1,0,5,509
28,"NAGAR PALIKA OFFICE GANDHINAGAR R. NO 3",503,458,0,961,270,201,0,471,266,0,224,211,18,2,0,0,0,0,0,0,0,0,2,0,2,3,9,471
29,"NAGAR PALIKA OFFICE GANDHINAGAR R. NO 4",520,525,0,1045,347,303,0,650,493,0,261,368,4,7,0,0,0,2,0,0,0,0,1,1,2,1,3,650
30,"NAGAR PALIKA MEETING HALL GANDHINAGAR",618,579,0,1197,320,288,0,608,58,0,212,365,6,1,0,0,0,0,1,0,1,0,2,3,3,5,9,608
31,"NAGAR PALIKA OFFICE ROOM NO 5 GANDHINAGAR",688,626,0,1314,358,370,0,728,20,0,450,233,7,7,0,0,1,0,0,1,0,0,0,6,5,6,12,728
32,"K.K.I,C. GANNITOLA, LAHARPUR R.N. 1",599,444,0,1043,319,202,0,521,213,0,230,218,55,7,0,0,1,0,0,0,3,0,0,1,3,2,1,521
33,"K.K.I,C. GANNITOLA, LAHARPUR R.N. 2",524,424,0,948,233,220,0,453,1,0,262,114,66,0,0,0,1,0,0,0,0,0,0,2,1,4,3,453
34,"K.K.I,C. GANNITOLA, LAHARPUR R.N. 3",811,673,0,1484,408,355,0,763,405,0,300,232,179,11,0,1,6,3,1,1,2,0,2,6,7,7,5,763
35,"K.K.I,C. GANNITOLA, LAHARPUR R.N. 4",631,588,0,1219,308,236,0,544,522,0,145,100,281,8,1,0,1,0,1,1,0,0,1,1,0,1,3,544
36,"K.K.I,C. GANNITOLA, LAHARPUR R.N. 5",554,562,0,1116,288,259,0,547,367,0,267,159,94,1,0,0,2,0,1,0,1,1,0,0,0,5,16,547
37,"K.K.I,C. GANNITOLA, LAHARPUR R.N. 6",853,755,0,1608,548,365,0,913,530,0,538,325,18,5,0,0,2,3,0,0,0,1,1,2,0,5,13,913
38,"K.K.I,C. GANNITOLA, LAHARPUR R.N. 7",586,481,1,1068,322,242,0,564,80,0,61,49,434,3,3,2,1,0,1,0,0,0,0,2,1,0,7,564
39,"K.K.I,C. GANNITOLA, LAHARPUR R.N. 8",566,505,0,1071,308,247,0,555,77,0,99,49,375,17,0,0,4,0,3,0,0,1,0,1,0,3,3,555
40,"J.H.S. LACHANNAGAR LAHARPUR R. NO 1",881,801,0,1682,503,418,0,921,96,0,322,181,373,13,0,0,11,2,1,0,0,0,3,3,2,8,2,921
41,"J.H.S. LACHANNAGAR LAHARPUR R. NO 2",885,787,0,1672,538,350,0,888,504,0,386,360,91,9,3,1,7,3,4,1,1,1,2,7,2,7,3,888
42,"J.H.S. LACHANNAGAR LAHARPUR R. NO 3",671,565,0,1236,434,277,0,711,310,0,50,97,530,13,0,0,2,0,2,0,1,0,0,6,3,3,4,711
43,"P.S.KHANPUR SADAT",763,689,0,1452,566,481,0,1047,490,0,629,188,177,14,0,1,3,1,3,0,0,2,6,7,4,9,3,1047
44,"PS GORIYA H/O PRAHLADPUR",891,743,0,1634,493,369,0,862,490,0,508,233,76,16,1,0,4,0,2,1,0,1,0,5,5,8,2,862
