"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAUSHAL KISHORE","2 - R.K CHAUDHARY","3 - NARENDRA GAUTAM","4 - SUSHILA SAROJ","5 - AMIT RAWAT","6 - OM PRAKASH","7 - GOPAL KANAUJIYA","8 - GAUTAM BHARTI","9 - JAGDISH PRASAD GAUTAM","10 - BRIJLAL","11 - MAHENDRA KUMAR RAWAT","12 - MEENA RAWAT","13 - MEERA DEVI","14 - SANTOSH KUMAR DHARKAR","15 - SUNIL GAUTAM","16 - MAHESH KUMAR","17 - REENA CHAUDHARY","18 - SHATROHANLAL RAWAT","19 - None of the Above","Total Votes Secured"
1,P.S.GOVINDAPUR,289,232,0,521,221,168,0,389,1,0,60,212,15,88,3,0,0,1,0,0,0,0,0,1,1,3,1,1,3,389
2,P.S.HAMIRAPUR,605,531,0,1136,397,261,0,658,1,0,258,283,32,51,5,2,0,0,3,1,1,3,0,2,3,4,1,6,3,658
3,"J.H.S.KUSAMAURA MO HAMIRPUR",317,263,0,580,211,159,0,370,1,0,150,185,7,5,0,0,1,3,0,0,2,2,1,1,5,0,2,2,4,370
4,P.S.NAVAGANVA,561,458,0,1019,375,241,0,616,95,0,313,252,12,11,0,1,2,0,0,1,3,1,0,2,4,4,5,2,3,616
5,P.S.BHANAPUR,301,257,0,558,207,174,0,381,1,0,101,162,22,81,3,0,0,1,0,0,0,0,1,2,3,2,1,1,1,381
6,"SARVODAYA U.M.S. BAMBHERA",495,429,0,924,366,284,0,650,433,0,155,337,19,108,1,2,0,0,2,0,0,1,5,2,6,1,6,5,0,650
7,"P.S.MOHARPUREA MO GOVINDAPUR HARADOPATTI",288,227,0,515,205,153,0,358,1,0,48,197,5,94,1,1,2,0,1,0,0,0,0,2,2,3,1,1,0,358
8,P.S.HARIHARAPUR,493,424,0,917,277,217,0,494,1,0,280,147,6,35,2,2,1,0,1,1,1,1,1,5,0,4,4,2,1,494
9,"P.S.BHAHURI MO GANESHAPUR",545,461,0,1006,409,325,0,734,5,0,320,330,11,48,6,1,1,0,0,0,0,0,3,2,2,4,5,1,0,734
10,P.S.CHITAREHATA,225,194,0,419,157,131,0,288,1,0,75,123,9,73,0,0,0,0,0,0,0,0,0,2,0,3,2,0,1,288
