"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
1,"PRAIMARI PATHSALA PURW MARAUNDA SUCHIT",461,372,0,833,293,235,0,528,528,0,93,93,6,241,2,3,0,7,63,2,1,4,0,2,2,4,3,1,0,0,1,0,528
2,"PRAIMAR PATHSALA PASHICHIM MARAUNDA SUCHIT",485,353,0,838,346,229,0,575,575,0,216,53,1,225,0,0,1,6,49,1,0,4,2,0,2,1,2,3,2,4,0,3,575
3,"PANCHAYAT GHAR PURW MARAUNDA SUCHIT",505,430,0,935,360,270,0,630,630,0,207,74,0,292,1,0,2,1,40,1,0,3,1,2,1,0,2,1,0,1,1,0,630
4,"SAMUDAIK BHAWAN MARAUNDA MAJHWARA",711,526,0,1237,366,326,0,692,692,0,189,101,3,293,0,2,0,2,79,1,0,3,1,3,1,5,1,2,0,6,0,0,692
5,"PRAIMARI PATHSALA BANDANPURWA M0 KATRI",735,515,0,1250,533,392,0,925,925,0,494,100,9,243,7,1,3,0,30,1,0,6,3,2,5,2,8,3,0,4,3,1,925
6,"BADRI  PRASAD MADHIMIK VIDHALAY PARIYAR",920,659,0,1579,519,438,0,957,957,0,425,135,2,262,2,2,0,6,0,99,0,2,4,1,4,2,2,2,2,2,1,2,957
7,"BADRI PRASAD MADHIMIC VIDHALAY PARIYAR",919,672,0,1591,572,454,0,1026,1026,0,428,104,4,372,2,1,2,13,59,2,2,8,1,3,5,2,4,2,0,3,5,4,1026
8,"PRAIMARI PATHSALA JANKIKUND PARIYAR",566,451,0,1017,400,384,0,784,784,0,370,26,8,303,4,0,5,1,23,8,1,3,4,2,1,7,1,6,4,2,2,3,784
9,"PRAIMARI PATHSALA PASHCHIM SAIDAPUR",299,248,0,547,227,190,0,417,417,0,169,28,31,162,1,2,2,3,13,0,0,1,1,1,0,0,0,0,0,2,0,1,417
10,"PRAIMARI PATHSALA MOMINPUR",591,510,0,1101,429,350,0,779,779,0,219,95,1,408,2,2,0,5,30,0,1,5,1,0,1,0,0,0,2,3,2,2,779
