"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
1,"ATUL MEMO.INTER COLLAGE JANRAILGANJ ROOM NO1",503,444,1,948,244,195,0,439,355,0,44,6,212,108,58,0,0,0,0,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,439
2,"ATUL MEMO.INTER COLLAGE JANRAILGANJ ROOM NO-2",667,580,0,1247,329,183,0,512,496,0,40,21,35,81,318,1,0,0,1,0,1,1,1,0,4,0,1,5,0,1,0,0,0,0,1,0,0,0,0,0,512
3,"ATUL MEMO.INTER COLLAGE JANRAILGANJ ROOM NO-3",798,715,0,1513,415,341,0,756,756,0,65,23,137,491,17,1,1,1,3,0,0,1,0,2,1,1,3,0,1,2,0,0,1,0,0,0,2,2,0,1,756
4,"ATUL MEMO.INTER COLLAGE JANRAILGANJ ROOM NO-4",760,641,0,1401,361,253,0,614,550,0,52,96,51,371,27,0,0,2,1,0,0,0,1,1,1,3,0,0,0,0,1,1,0,1,1,0,0,0,0,4,614
5,"ATUL MEMO.INTER COLLAGE JNRAILGANJ ROOM NO -5",541,452,0,993,256,196,0,452,421,0,35,45,57,275,28,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,452
6,"HAIVES PUB. SCHOOL JANRAIL GANJ ROOM NO -1",739,574,1,1314,389,249,0,638,626,0,173,105,132,182,32,1,1,0,1,0,0,0,0,0,1,2,2,0,1,2,0,0,2,0,0,0,0,0,0,1,638
7,"HAIVES PUB. SCHOOL JANRAIL GANJ ROOM NO -2",617,488,0,1105,288,197,0,485,470,0,166,36,83,146,35,1,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,1,2,0,0,0,1,0,4,4,485
8,"HAIVES PUB. SCHOOL JANRAIL GANJ ROOM NO -3",545,471,0,1016,278,204,0,482,201,0,74,52,116,195,34,0,0,1,1,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,482
9,"HAIVES PUB. SCHOOL JANRAIL GANJ ROOM NO -4",493,401,1,895,261,184,0,445,445,0,77,17,117,202,25,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,445
10,"SENT ZOJAF INTER COLLAGE HARDOI ROAD ROOM NO 1",706,599,0,1305,412,314,0,726,526,0,37,9,544,105,21,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,1,0,0,3,726
