"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
1,P.V.ISLAMPURSAHLI,733,632,0,1365,466,487,0,953,953,0,193,4,704,8,1,1,1,1,0,1,9,3,13,3,11,953
2,"P.V.ANWARPUR CHATAR",472,421,0,893,275,307,0,582,582,0,53,13,505,3,1,1,0,0,0,2,2,0,2,0,0,582
3,P.V.PADLI,553,492,0,1045,459,397,0,856,856,0,402,197,225,0,1,0,0,1,1,1,6,2,6,7,7,856
4,"P.V.AIPUR MOJAMPUR NARAYAN",623,542,0,1165,406,398,0,804,804,0,266,293,212,4,0,1,1,0,0,3,1,0,1,10,12,804
5,"P.V.RAJARAMPUR PRATAP",478,456,0,934,334,351,0,685,685,0,168,434,66,0,1,1,1,1,0,0,2,2,2,2,5,685
6,"P.V. KISHANPUR",298,268,0,566,246,229,0,475,475,0,212,252,0,0,0,0,0,0,0,0,1,1,0,1,8,475
7,"P.V. MOHDLIPUR SUKHANAND",318,289,0,607,249,203,0,452,452,0,51,388,6,0,0,0,0,0,0,0,2,1,0,3,1,452
8,"KANYA J.H.S. BHOJPURROOM NO 1",423,391,0,814,248,288,0,536,536,0,36,183,296,5,0,0,0,0,1,0,1,1,3,5,5,536
9,"KANYA J.H.S. BHOJPURROOM NO2",728,670,0,1398,483,503,0,986,986,0,299,335,295,6,1,3,0,0,2,26,3,5,6,2,3,986
10,"P.V. BUDGARA ROOM NO 1",734,641,0,1375,378,400,0,778,778,0,101,293,367,1,0,3,0,0,0,1,4,0,4,1,3,778
11,"P.V.BUDGARA ROOM NO 2",546,499,0,1045,293,311,0,604,604,0,198,204,190,2,0,1,0,0,0,2,0,1,2,1,3,604
12,"P.V. BUDGARI ROOM NO 1",445,393,0,838,234,278,0,512,512,0,167,19,310,5,1,0,0,0,0,1,1,1,1,2,4,512
