"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
1,"P.P. RIHAYAKPUR",616,550,0,1166,304,368,0,672,672,0,5,73,100,486,2,0,0,0,0,0,1,0,1,4,0,0,672
2,"P.P. BHOJPUR",731,628,0,1359,350,387,0,737,737,0,22,262,331,88,2,3,1,3,2,0,1,2,5,12,2,1,737
3,"P.P. SUKHAUPUR ASRAFPATTI",362,356,0,718,205,216,0,421,366,0,8,167,132,102,0,1,0,1,0,0,1,1,1,4,2,1,421
4,"P.P. BHARTHUA KATCH NO.1",672,650,0,1322,448,361,0,809,803,0,33,310,386,34,2,0,0,1,2,2,2,2,3,25,2,5,809
5,"P.P. BHARTHUA KATCH NO.2",271,234,0,505,155,145,0,300,300,0,16,92,153,25,1,1,1,1,1,1,1,0,0,4,1,2,300
6,"P.P. GANGOOPUR SARAYKARTA",531,489,0,1020,347,340,0,687,687,0,29,166,285,154,3,4,1,0,0,1,6,1,9,17,7,4,687
7,"P.P. NARAMADHAIPUR",769,651,0,1420,518,463,0,981,981,0,212,246,230,237,6,4,1,1,3,3,3,3,6,13,4,9,981
8,"P.P. BABHANGAVAN KATCH NO. 1",603,497,0,1100,371,245,0,616,475,0,17,53,307,231,1,1,0,2,0,0,0,0,1,3,0,0,616
9,"P.P. BABHANGAVAN KATCH NO. 2",583,502,0,1085,364,348,0,712,712,0,41,439,170,39,1,0,0,1,1,0,1,1,2,7,6,3,712
10,DHANAUPUR,588,527,0,1115,381,221,0,602,602,0,28,186,321,25,1,1,0,1,0,2,1,1,3,16,6,10,602
11,"P.P. KAITHAWAN",775,695,1,1471,339,403,0,742,742,0,22,137,224,311,3,4,1,1,1,1,2,4,7,14,8,2,742
12,"J.H.S. DOSTPUR  KATCH NO. 1",439,426,0,865,277,225,0,502,502,0,12,61,234,185,0,0,1,2,0,0,1,0,0,5,0,1,502
13,"J.H.S. DOSTPUR  KATCH NO. 2",513,449,0,962,306,300,0,606,606,0,19,304,150,111,1,2,2,2,1,0,2,0,4,4,3,1,606
14,"J.H.S. DOSTPUR  KATCH NO. 3",559,525,0,1084,305,267,0,572,572,0,5,210,96,231,1,0,1,1,2,1,6,3,3,2,8,2,572
15,"J.H.S. DOSTPUR  KATCH NO. 4",590,450,0,1040,384,202,0,586,586,0,10,10,142,416,1,2,0,0,1,0,1,0,1,0,2,0,586
16,"KANYA J.H.S. DOSTPUR KATCH NO. 1",537,492,0,1029,295,301,0,596,409,0,4,32,235,312,3,2,1,1,0,0,1,0,0,2,0,3,596
17,"P.P. DEVAPUR KATCH NO. 1",365,318,0,683,211,225,0,436,436,0,2,6,253,161,1,1,2,0,1,0,2,1,1,2,0,3,436
18,"P.P. DEVAPUR KATCH NO. 2",693,566,0,1259,395,408,0,803,798,0,7,229,162,366,4,0,0,2,3,0,10,0,1,8,8,3,803
19,"P.P. DOSTPUR",757,705,0,1462,450,420,0,870,500,0,18,370,356,80,3,4,1,2,1,1,10,2,3,8,6,5,870
20,"P.P. ISLAMIYA SCHOOL DOSTPUR",777,658,0,1435,368,411,0,779,779,0,6,34,300,417,4,1,0,1,0,1,0,0,1,10,1,3,779
21,"P.P. SHAHPUR",365,339,0,704,267,266,0,533,500,0,70,217,204,25,0,0,1,2,0,0,0,1,2,8,2,1,533
