"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAIVEER SINGH","2 - MUKESH RAJPUT","3 - RAMESHWAR SINGH YADAV","4 - SALMAN KHURSHID","5 - ANJU","6 - KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT","7 - MO. TAMAJID","8 - TARIK PARVEZ","9 - DAYA SHANKAR","10 - RAMNIWAS KATHERIA","11 - ANURAG RAJPUT","12 - ANOKHEY LAL","13 - IMAMUDDIN HUSAIN HUSAIN","14 - ANSHU MAHAN","15 - KISHAN PAL SINGH","16 - MALIKHAN SINGH ADVOCATE","17 - MUKESH RAJPUT","18 - RAM KISHORE DIWEDI","19 - VIMLA DEVI","20 - VRAHMA SARAN JATAV","21 - SACHIN SINGH YADAV","22 - SURESH SARASWAT ALAIS ILLAYCHIWALA","23 - None of the Above","Total Votes Secured"
1,SHAHIPUR,667,540,1,1208,370,481,0,851,851,0,77,212,434,7,2,1,4,1,5,1,1,0,0,2,2,2,2,1,1,1,94,0,1,851
2,BHARTHARI,347,272,0,619,235,166,0,401,396,0,77,88,192,8,2,1,3,0,0,1,1,0,0,0,0,5,1,0,0,1,20,1,0,401
3,BAHBALPUR,729,512,0,1241,421,286,0,707,707,0,75,322,118,134,3,4,1,3,3,0,4,1,6,5,7,5,2,6,1,2,5,0,0,707
4,BAHBALPUR,498,382,0,880,287,210,0,497,62,0,39,158,99,120,3,2,7,0,9,2,2,2,1,4,1,5,2,2,1,1,33,2,2,497
5,"NAGLA DHEEMER MAJRA BAHVALPUR",540,368,0,908,375,236,0,611,609,0,21,79,396,19,1,5,6,2,9,1,0,0,1,3,2,3,3,3,4,1,50,2,0,611
6,MISTANI,445,399,0,844,300,202,0,502,498,0,156,79,170,6,1,0,2,0,1,2,3,2,2,0,2,6,5,3,1,3,58,0,0,502
7,KAIRAI,328,190,0,518,254,168,0,422,372,0,40,7,66,9,6,0,5,6,8,4,3,1,5,3,1,1,2,1,2,2,246,3,1,422
8,PATHRAMAI,646,423,0,1069,376,186,0,562,562,0,29,33,281,7,5,2,23,2,11,1,0,1,4,2,5,6,4,0,3,7,132,2,2,562
9,HAJRATGANJ,242,213,0,455,175,134,0,309,309,0,56,115,83,19,0,4,1,1,3,0,2,1,0,2,0,1,1,7,1,2,10,0,0,309
10,BHATMAI,296,238,0,534,200,153,0,353,353,0,5,149,77,93,3,0,3,2,0,0,0,1,0,2,3,0,0,2,0,1,12,0,0,353
11,GUJARPUR,645,494,0,1139,400,308,0,708,8,0,159,371,119,23,2,3,0,3,0,0,4,0,2,1,1,6,3,7,1,0,1,0,2,708
12,RAUKARI,615,493,0,1108,415,327,0,742,742,0,213,156,61,234,3,2,3,1,3,1,3,3,1,1,3,11,0,4,3,8,27,0,1,742
13,BHAINSARI,442,384,0,826,305,222,0,527,527,0,36,242,110,54,2,0,1,1,4,1,0,3,0,2,0,0,1,15,7,5,42,1,0,527
14,"SIVARA KHAS",440,365,0,805,304,190,0,494,494,0,20,215,169,27,2,9,1,0,2,0,2,0,2,3,3,6,0,5,2,2,23,0,1,494
15,"SIVARA KHAS",388,331,0,719,251,165,0,416,416,0,36,212,118,20,1,2,0,0,1,0,2,1,2,1,1,5,0,1,0,1,11,0,1,416
16,GAURKHERHA,704,606,0,1310,476,328,0,804,665,0,158,237,219,18,9,5,9,3,8,1,2,1,1,2,2,7,6,0,1,1,110,0,4,804
17,JINAUL,478,328,0,806,329,187,0,516,337,0,52,248,81,103,0,1,1,1,3,0,3,2,2,1,3,3,1,4,1,3,2,0,1,516
18,"BARHAR MAJRA JINAUL",405,335,0,740,360,266,0,626,8,0,0,7,600,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,1,626
19,"BARHAR MAJRA MAHMOODPUR SINAURHA",335,250,0,585,227,135,0,362,359,0,96,58,122,60,1,0,1,0,1,0,2,1,0,1,0,4,1,1,2,1,10,0,0,362
20,"JALALPUR MAJRA MAHMOODPUR SINAURHA",288,224,0,512,183,127,0,310,310,0,31,101,52,106,1,1,0,0,0,0,3,0,1,1,1,0,0,1,0,1,9,0,1,310
21,"SIVARA MUKUT",572,462,0,1034,320,330,0,650,650,0,201,211,134,48,0,11,1,0,0,0,1,0,0,2,1,6,7,7,5,3,11,0,1,650
22,"NAGLA KHAMANI",408,333,0,741,272,207,0,479,412,0,116,80,230,11,2,2,1,1,1,0,2,0,1,0,0,1,0,0,1,2,25,1,2,479
23,"NAGLA BHOORH MAJRA SIKANDARPUR AGU",325,256,0,581,296,206,0,502,496,0,1,5,419,3,2,1,5,0,2,0,0,1,8,3,0,3,0,1,5,2,40,1,0,502
24,"SIKANDARPUR AGU",463,325,0,788,329,221,0,550,550,0,115,245,141,23,0,0,1,0,2,3,1,1,0,2,1,5,1,0,0,1,8,0,0,550
25,"SIRSA MAJRA SHADNAGAR",765,529,0,1294,525,319,0,844,844,0,124,29,597,15,2,1,5,2,2,1,8,3,2,10,7,6,6,8,6,1,8,0,1,844
26,NARAYANPUR,218,184,0,402,148,119,0,267,267,0,14,200,13,32,0,1,0,0,0,1,0,0,0,1,1,1,0,2,0,0,1,0,0,267
27,"SHADNAGAR  (TARI KA NAGLA)",504,397,0,901,368,280,0,648,600,0,43,393,115,51,1,2,2,0,1,1,3,1,4,2,5,10,4,3,2,1,2,0,2,648
28,"JASRATHPUR (RUDAIN)",507,401,1,909,355,239,0,594,567,0,24,277,239,29,1,4,1,1,0,0,0,3,2,1,3,1,1,4,1,0,1,0,1,594
29,RUDAIN,712,586,0,1298,374,262,0,636,616,0,36,177,188,207,5,0,0,7,0,0,0,0,1,3,2,1,2,2,1,0,4,0,0,636
30,RUDAIN,460,363,0,823,253,210,0,463,462,0,103,180,64,68,1,2,1,2,0,1,4,4,3,6,4,9,4,1,0,3,1,1,1,463
31,LODHIPUR,328,264,0,592,226,198,0,424,424,0,6,57,338,12,1,1,0,1,0,0,0,0,0,1,0,4,0,0,1,0,2,0,0,424
32,DHARHIYAPUR,267,225,0,492,180,140,0,320,210,0,83,127,45,46,0,0,0,1,0,0,3,1,2,0,0,3,2,4,2,0,1,0,0,320
33,KHEMPUR,222,185,0,407,102,81,0,183,83,0,117,44,15,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,183
34,"JIJAUTA  BUZURG",655,520,0,1175,527,312,0,839,839,0,22,728,50,2,0,1,0,0,0,0,0,0,0,0,1,4,4,20,2,0,2,2,1,839
35,"JIJAUTA BUZURG",592,466,0,1058,343,269,0,612,612,0,49,439,93,11,0,2,1,0,0,0,1,1,0,3,3,3,1,3,0,0,1,0,1,612
36,MANIKPUR,290,240,0,530,201,183,0,384,380,0,158,191,12,11,0,0,0,0,0,0,1,1,0,0,1,4,1,2,1,0,0,1,0,384
37,"SIKANDARPUR CHHITMA",325,260,0,585,226,184,0,410,380,0,100,233,25,22,1,3,0,0,0,0,1,2,1,3,4,6,4,1,0,1,1,1,1,410
38,"CHANDPUR KACHCHHA",312,263,0,575,172,156,0,328,295,0,68,141,78,23,2,5,0,0,1,0,0,1,0,0,0,4,0,0,1,1,3,0,0,328
39,PAHARHPUR,639,503,0,1142,332,229,0,561,561,0,89,343,82,7,1,3,0,2,0,0,2,0,1,2,8,3,0,15,0,2,1,0,0,561
40,"BHEEM NAGAR MAJRA SIKANDARPUR TIHAIYA",225,188,0,413,168,151,0,319,301,0,284,6,15,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,1,1,1,0,0,319
41,"SIKANDARPUR TIHAIYA",606,491,0,1097,373,302,0,675,603,0,175,194,231,42,0,1,1,1,0,3,2,2,2,3,1,6,1,3,3,1,2,0,1,675
42,"KAMRUDDIN NAGAR",499,361,0,860,361,192,0,553,500,0,32,24,423,2,0,1,2,0,2,1,2,1,3,5,1,3,2,0,3,2,41,1,2,553
43,"FATEHPUR STHIT SHAHPUR",561,422,0,983,408,142,0,550,543,0,59,238,165,27,0,7,2,0,1,2,3,0,1,6,3,14,1,4,2,3,10,0,2,550
44,"FATEHPUR STHIT SHAHPUR",565,379,0,944,306,160,0,466,290,0,107,158,144,23,0,4,2,1,1,4,0,2,2,0,1,0,2,4,1,0,10,0,0,466
45,"SAVITAPUR BIHARIPUR",601,460,0,1061,460,337,0,797,717,0,83,505,159,1,2,2,1,1,2,1,1,2,0,1,2,1,2,6,1,0,23,1,0,797
46,BILHA,625,447,0,1072,441,286,0,727,727,0,120,373,139,58,2,1,0,2,1,0,2,0,2,2,4,7,2,8,0,0,3,0,1,727
47,KAMLAIPUR,248,215,0,463,233,175,0,408,408,0,113,42,162,19,0,1,3,0,0,1,2,0,0,0,0,1,1,1,1,4,57,0,0,408
48,IKLAHRA,1048,814,0,1862,647,441,0,1088,1070,0,48,111,226,536,14,6,6,4,4,4,3,3,2,3,5,11,6,14,5,11,53,5,8,1088
49,KARAV,237,190,0,427,168,124,0,292,292,0,16,51,211,3,0,1,0,0,1,1,0,0,1,2,0,1,0,0,0,1,3,0,0,292
50,"RAEPUR CHINHATPUR",671,565,0,1236,439,301,0,740,675,0,214,189,274,10,2,5,2,3,1,2,6,3,1,1,1,7,2,4,5,1,6,1,0,740
51,"NOORPUR GARHIYA",272,221,0,493,201,164,0,365,270,0,1,7,105,204,3,3,2,2,4,0,0,1,4,0,0,0,0,3,1,3,20,1,1,365
52,"BHOGPUR MAZRA ATAGGAPUR",658,477,0,1135,460,306,0,766,766,0,126,338,170,19,1,2,1,0,2,1,3,2,3,0,2,7,5,17,7,3,54,0,3,766
53,"KAMPIL TOWN AREA",701,569,0,1270,443,336,0,779,568,0,30,429,159,116,3,2,0,1,2,2,2,3,0,0,2,12,1,4,1,2,4,3,1,779
54,"KAMPIL TOWN AREA",784,708,0,1492,514,421,0,935,5,0,215,506,111,23,1,3,4,0,2,4,3,2,4,3,7,19,0,2,2,3,13,2,6,935
55,"KAMPIL TOWN AREA",732,572,1,1305,449,289,0,738,724,0,87,461,107,34,0,6,1,4,0,0,1,1,0,0,1,2,1,5,0,4,21,0,2,738
56,"KAMPIL TOWN AREA",832,631,0,1463,525,372,0,897,694,0,209,387,124,130,1,0,0,0,6,1,3,2,0,2,0,5,2,2,3,0,16,0,4,897
57,"KAMPIL TOWN AREA",557,467,0,1024,314,254,0,568,568,0,34,276,70,164,0,1,0,0,0,1,2,2,2,1,0,5,0,1,4,2,2,0,1,568
58,"KAMPIL TOWN AREA",538,466,0,1004,295,240,0,535,500,0,41,168,65,214,4,2,0,2,1,1,3,0,4,1,1,5,4,6,1,1,3,4,4,535
