"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
1,"P.P. DALUPUR",475,379,0,854,264,210,0,474,1,0,105,54,309,3,0,1,0,0,0,0,2,0,0,474
2,"P.P. SOUTH PART DALUPUR SULTANPUR",275,207,0,482,151,116,0,267,86,0,82,14,165,1,0,2,0,0,1,1,0,1,0,267
3,"P.P. DILEEPPUR",375,301,0,676,310,217,0,527,5,0,349,18,159,0,0,0,0,0,0,0,0,0,1,527
4,"P.P. DEENPUR",328,248,0,576,223,248,0,471,471,0,344,41,73,0,1,0,0,1,1,1,3,2,4,471
5,"P.P. FAREEDPUR",366,310,0,676,266,181,0,447,249,0,232,0,212,1,0,0,0,0,0,0,1,0,1,447
6,"P.P. RAMKHERA",621,443,0,1064,401,339,0,740,13,0,628,20,77,2,0,0,0,0,1,1,0,2,9,740
7,"P.P. BHARAULI SIRKANEPUR",356,260,0,616,232,185,0,417,5,0,72,54,270,5,1,0,0,0,1,1,6,1,6,417
8,"P.P. MERAPUR",834,653,0,1487,579,426,0,1005,13,0,386,21,580,2,1,0,0,1,0,1,6,1,6,1005
9,"P.P. PANTHARA",495,368,0,863,234,162,0,396,346,0,154,38,193,2,0,0,2,0,2,1,4,0,0,396
10,"P.P. BHOLA NAGARIYA PAMTHARA EAST PART",950,659,0,1609,744,380,0,1124,324,0,1063,9,37,2,1,0,0,0,0,0,1,0,11,1124
11,"P.P. KUNARPUR URF LODHPUR",716,545,0,1261,565,354,0,919,27,0,51,2,832,9,0,0,1,0,0,8,6,1,9,919
12,"P.P. KARNAULI",799,611,0,1410,545,424,0,969,944,0,712,125,117,0,1,1,0,1,0,0,5,1,6,969
13,"P.P. SAISARPUR WEST PART",571,511,0,1082,381,297,0,678,5,0,206,73,381,1,0,1,0,0,0,1,1,9,5,678
14,"P.P. SAISARPUR SOUTH PART",268,232,0,500,181,123,0,304,17,0,127,14,156,0,2,0,0,0,0,1,1,0,3,304
15,"P.P. NANDLALPUR",503,375,0,878,201,268,0,469,15,0,122,36,299,2,1,0,0,1,0,2,2,1,3,469
16,"P.P. MAHMOODPUR JAGEER",556,442,0,998,343,283,0,626,22,0,198,94,319,5,0,0,0,0,3,3,3,1,0,626
17,"P,P, MOHAN NAGLA",363,307,0,670,232,154,0,386,162,0,261,27,92,1,0,0,0,0,1,0,1,1,2,386
18,"P.P. LADAITA",469,383,0,852,266,174,0,440,40,0,180,44,193,3,2,1,0,1,0,3,3,3,7,440
19,"J.H.S. SOUTH GHILOI KHAS",455,383,0,838,322,258,0,580,579,0,235,83,243,3,0,0,1,0,0,1,3,1,10,580
