"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
1,"P.V.SHEKHUPUR ADHAR SINGH",617,478,0,1095,309,229,0,538,537,0,176,229,96,19,1,4,0,5,3,2,3,538
2,P.V.SABALPUR,703,571,0,1274,397,300,0,697,697,0,109,450,106,7,3,3,0,5,1,3,10,697
3,P.V.RAHMAPUR,372,324,0,696,224,220,0,444,44,0,252,71,119,1,0,0,0,0,0,1,0,444
4,P.V.HAVILYA,616,478,0,1094,277,201,0,478,470,0,31,232,139,60,6,0,1,2,1,3,3,478
5,P.V.DARAVATPUR,535,403,0,938,296,231,0,527,10,0,169,139,199,8,0,2,0,3,3,0,4,527
6,"P.V.RAMPUR KHUDAPUR",379,315,0,694,158,214,0,372,372,0,220,110,23,17,0,1,0,0,0,0,1,372
7,P.V.JADUVANSPUR,452,364,0,816,260,199,0,459,459,0,278,153,14,1,2,1,0,1,1,2,6,459
8,"P.V.SAHPUR BANDI",490,425,0,915,276,246,0,522,522,0,127,276,96,12,3,0,2,1,2,0,3,522
9,"P.V.KHETUPUR (HAPHIJPUR)",478,380,0,858,270,233,0,503,35,0,308,131,56,2,0,0,0,2,0,2,2,503
10,P.V.BAREPUR,455,398,0,853,372,233,0,605,500,0,115,53,416,4,0,0,1,5,4,2,5,605
11,P.V.BALLAMPUR,240,196,0,436,147,129,0,276,180,0,45,150,71,1,4,1,1,1,0,0,2,276
12,"P.V.BHADSAN R.N.1",534,459,0,993,286,262,0,548,546,0,61,393,76,7,4,1,1,1,2,1,1,548
13,"P.VBHADSAN R.N.1",354,286,0,640,194,185,0,379,379,0,227,130,16,0,0,2,1,0,0,1,2,379
14,"P.VBERI DHANKAR",471,360,0,831,262,209,0,471,265,0,126,259,72,1,0,2,0,7,1,0,3,471
15,P.V.BARUVAI,555,469,0,1024,283,260,0,543,522,0,191,278,56,4,1,3,1,5,0,1,3,543
16,P.V.HALAUA,338,279,0,617,268,200,0,468,468,0,96,19,348,4,0,0,0,0,0,1,0,468
17,P.V.LAXMANPUR,376,303,0,679,225,176,0,401,350,0,97,274,24,4,0,0,0,1,0,0,1,401
18,"SARVODYA INTER KOLLAGE SAFAR R.N.1",667,553,0,1220,276,241,0,517,517,0,191,227,65,19,2,1,2,8,0,1,1,517
