"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL GADANPUR",418,380,1,799,275,250,0,525,525,0,293,85,4,131,0,0,0,0,0,0,0,9,0,0,1,0,1,0,1,525
2,"PRIMARY SCHOOL LAKSHMANPUR",232,201,0,433,154,146,0,300,300,0,31,139,26,85,0,0,0,0,0,1,0,0,1,1,2,1,4,5,4,300
3,"HAYAR SECENDRI SCHOOL JAGANPUR",484,398,0,882,327,240,0,567,530,0,145,131,158,116,1,3,0,0,1,0,1,0,0,1,0,6,1,1,2,567
4,"PRIMARY SCHOOL SARVA TAPPA TIGAI",413,343,1,757,323,248,0,571,550,0,80,199,30,248,1,1,0,0,0,1,1,0,0,1,4,1,1,2,1,571
5,"HAYAR SECENDRI SCHOOL GUTAIHA",478,383,0,861,369,272,0,641,559,0,253,189,28,160,1,2,0,0,1,0,1,0,2,0,0,2,1,0,1,641
6,"PRIMARY SCHOOL DHANIRAMPUR",657,511,0,1168,404,315,0,719,719,0,118,133,115,305,6,1,1,0,0,0,1,1,1,0,7,5,4,7,14,719
7,"PRIMARY SCHOOL AMBARPUR",757,678,0,1435,470,380,0,850,705,0,266,225,115,216,0,2,1,2,0,1,0,0,4,2,6,6,1,2,1,850
8,"PRIMARY SCHOOL UTTRI KAKSH KARIKALVARI",499,417,0,916,276,208,0,484,484,0,105,204,66,96,0,0,0,0,0,0,0,1,0,2,1,6,0,2,1,484
9,"PRIMARY SCHOOL KARIKALVARI",575,464,0,1039,325,265,0,590,546,0,179,122,160,94,0,0,0,1,2,0,0,0,6,5,3,9,2,0,7,590
10,"PRIMARY SCHOOL LAMHARA",656,532,0,1188,370,283,0,653,651,0,112,235,37,241,4,3,0,1,0,2,1,0,0,5,0,7,1,1,3,653
11,"PRIMARY SCHOOL BUGHUVA  LAMHARA",118,105,0,223,93,78,0,171,160,0,0,6,124,33,0,1,0,0,0,0,1,0,0,2,1,2,0,0,1,171
12,"PRIMARY SCHOOL VEERPUR NAKASIYA",397,321,0,718,242,209,0,451,440,0,150,105,124,62,0,0,0,1,1,0,0,0,0,2,4,1,1,0,0,451
13,"PRIMARY SCHOOL  UTTARI KAKSH BHANVARPUR",572,469,0,1041,336,274,0,610,300,0,132,222,11,209,2,3,0,0,1,2,0,1,3,1,12,6,3,1,1,610
14,"PRIMARY SCHOOL DAKHHINI KAKSH BHANVARPUR",359,326,0,685,213,162,0,375,212,0,112,110,8,123,2,2,0,0,1,0,1,7,0,1,4,3,0,1,0,375
15,"PRIMARY SCHOOL BANJARNDERA HAMLET SUMERPUR",468,428,0,896,275,235,0,510,400,0,75,61,21,348,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,510
16,"PRIMARY SCHOOL ANDAYAN",465,378,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"PRIMARY SCHOOL IKGHARA",332,283,0,615,248,212,0,460,350,0,151,136,11,152,0,1,1,0,1,0,0,0,1,1,1,0,1,2,1,460
18,"PRIMARY SCHOOL SARSI",752,625,0,1377,497,357,0,854,826,0,61,70,575,98,2,0,1,0,0,1,0,0,2,3,2,0,9,5,25,854
19,"PRIMARY SCHOOL ASENI",202,170,0,372,126,112,0,238,216,0,12,52,99,70,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,238
20,"PRIMARY SCHOOL ROSHANMAU",683,592,0,1275,484,401,0,885,853,0,308,91,424,29,0,0,0,0,0,0,2,0,4,6,13,5,1,1,1,885
21,"PRIMARY SCHOOL PATRATAPPA MADAULI",314,265,0,579,180,141,0,321,321,0,3,32,234,41,1,0,0,0,0,0,1,1,1,3,2,0,0,0,2,321
22,"PRIMARY SCHOOL LALPUR AKBARUR",413,332,0,745,310,201,0,511,502,0,28,173,66,234,1,1,0,1,0,0,0,0,1,0,0,3,3,0,0,511
23,"PRIMARY SCHOOL NAURANGABAD",423,349,0,772,277,185,0,462,456,0,184,73,29,166,1,0,0,0,1,1,1,0,0,0,0,3,2,0,1,462
24,"PRIMARY SCHOOL BHIKHANAPUR",520,443,0,963,308,296,0,604,544,0,317,135,5,114,2,0,0,0,2,0,0,0,1,0,0,2,20,4,2,604
25,"PRIMARY SCHOOL BAIJUPURVA HAMLET  BHIKHANAPUR",435,368,0,803,301,243,0,544,532,0,175,22,299,22,2,4,0,0,1,1,0,0,2,1,4,4,2,2,3,544
26,"PRIMARY SCHOOL TIGAI",567,455,0,1022,397,283,0,680,678,0,221,302,62,60,1,1,2,0,0,1,1,4,2,7,9,3,3,1,0,680
27,"PRIMARY SCHOOL TIGAI",386,319,0,705,247,195,0,442,442,0,146,132,119,38,0,0,0,0,1,0,1,0,0,0,2,0,2,1,0,442
28,"PRIMARY SCHOOL TIGAI",701,575,0,1276,351,282,0,633,633,0,94,253,93,169,2,3,0,0,0,0,1,0,0,0,2,2,0,8,6,633
29,"PRIMARY SCHOOL NATPURVA HAMLET TIGAI",232,195,0,427,171,130,0,301,301,0,188,39,48,8,0,0,0,1,1,0,3,1,1,0,0,3,4,2,2,301
30,"PRIMARY SCHOOL GAIJUMAU",508,436,0,944,322,235,0,557,482,0,88,163,49,244,1,3,0,0,1,0,0,0,1,2,4,0,0,1,0,557
31,"PRIMARY SCHOOL GAIJUMAU",458,372,0,830,252,140,0,392,392,0,80,110,15,154,25,0,1,0,1,0,0,2,0,0,0,1,2,0,1,392
32,"PRIMARY SCHOOL RURA",704,595,0,1299,469,315,0,784,768,0,103,265,70,325,2,0,0,0,1,0,0,1,2,2,4,4,0,2,3,784
33,"PRIMARY SCHOOL RURA",455,408,0,863,280,198,0,478,478,0,53,201,36,179,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,478
34,"PRIMARY SCHOOL RURA",570,497,0,1067,344,263,0,607,595,0,173,227,43,149,1,5,0,0,0,0,0,1,1,0,1,2,2,1,1,607
35,"JUNIYAR  HIGH SCHOOL RURA",537,499,0,1036,296,294,0,590,500,0,137,345,35,62,0,2,0,0,0,0,0,0,0,0,3,2,0,2,2,590
36,"JUNIYAR  HIGH SCHOOL RURA",332,289,1,622,181,157,0,338,320,0,101,147,8,76,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,338
37,"JUNIYAR  HIGH SCHOOL RURA",539,443,0,982,327,254,0,581,387,0,98,304,39,128,0,4,0,0,1,0,0,1,0,0,1,3,0,1,1,581
38,"JUNIYAR  HIGH SCHOOL RURA",374,352,0,726,198,168,0,366,317,0,45,208,25,80,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,366
39,"R0 P0 S0 INTAR COLAGEGE RURA",654,535,1,1190,322,251,0,573,515,0,134,179,30,218,4,0,0,0,0,0,0,0,2,0,2,2,0,0,2,573
40,"R0 P0 S0 INTAR COLAGEGE RURA",700,575,0,1275,392,303,0,695,672,0,193,269,20,200,2,0,0,0,1,0,1,1,1,2,0,1,1,0,3,695
41,"R0 P0 S0 INTAR COLAGEGE RURA",420,373,0,793,245,221,0,466,466,0,175,167,13,103,3,1,0,1,0,0,0,0,1,0,0,2,0,0,0,466
42,"R0 P0 S0 INTAR COLAGEGE RURA",513,455,0,968,338,270,0,608,547,0,128,313,40,116,0,1,0,0,0,1,0,4,1,0,0,1,1,0,2,608
43,"KANYA  JUNIYAR HIGH SCHOOL RURA",815,679,0,1494,473,376,0,849,835,0,177,469,39,141,3,3,0,0,0,1,1,2,0,0,3,1,2,6,1,849
44,"R0 P0 S0 INTAR COLAGEGE RURA",373,330,0,703,229,197,0,426,426,0,58,207,9,148,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,426
45,"PRIMARY SCHOOL JAGDEESHPUR",226,201,0,427,148,137,0,285,209,0,182,52,11,35,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,285
46,"PRIMARY SCHOOL SRAYAN",789,674,0,1463,471,391,0,862,798,0,332,317,49,141,4,0,0,1,1,0,0,1,3,1,4,3,2,1,2,862
47,"PRIMARY SCHOOL SRAYAN",682,555,0,1237,381,315,0,696,696,0,291,297,7,74,1,0,0,2,0,1,0,0,1,0,2,2,4,6,8,696
48,"PRIMARY SCHOOL NAVABPURVA HAMLET SARAYAN",189,182,0,371,154,146,0,300,293,0,259,13,3,13,0,0,0,0,0,0,0,0,1,0,0,2,4,2,3,300
49,"PRIMARY SCHOOL KISHUNPUR",294,252,0,546,217,176,0,393,393,0,110,245,8,26,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,393
50,"PRIMARY SCHOOL BHATAULI",767,623,0,1390,437,388,0,825,807,0,486,222,19,79,0,0,0,1,0,0,1,3,1,0,3,6,2,0,2,825
51,"PRIMARY SCHOOL ATIRIKT KAKSH BHATOULI",629,522,0,1151,321,277,0,598,598,0,170,299,19,94,0,2,0,0,0,0,0,2,0,3,1,3,0,2,3,598
52,"PRIMARY SCHOOL SOUTH KAKSH  BHATAULI",484,391,0,875,281,203,0,484,484,0,128,249,13,78,1,4,0,1,0,0,1,0,0,0,2,4,1,0,2,484
53,"PRIMARY SCHOOL GAHOLIYA",499,432,0,931,311,222,0,533,455,0,177,196,29,110,1,0,1,0,1,0,2,4,1,1,2,4,1,1,2,533
54,"NEW PRIMARY SCHOOL GAHOLIYA",443,364,0,807,198,170,0,368,368,0,66,131,4,154,0,0,1,0,0,0,1,0,1,1,1,5,0,3,0,368
55,"PRIMARY SCHOOL NARTH KAKSH HASNAPUR",495,395,0,890,261,189,0,450,444,0,123,162,29,111,2,0,0,1,0,0,0,1,1,0,0,5,2,12,1,450
56,"PRIMARY SCHOOL SOUTH KAKSH HASNAPUR",472,410,0,882,244,181,0,425,375,0,38,129,139,106,3,0,0,0,0,0,0,0,0,0,3,3,1,3,0,425
57,"PRIMARY SCHOOL THAKURAN GADEVA HAMLET HASNAPUR",482,410,1,893,280,251,0,531,509,0,186,166,82,47,0,0,0,0,1,0,0,0,0,0,2,7,11,20,9,531
58,"PRIMARY SCHOOL PUR",461,369,1,831,253,163,0,416,287,0,38,142,6,220,1,2,0,0,1,0,0,0,1,0,0,2,0,2,1,416
59,"PRIMARY SCHOOL PUR",473,377,0,850,354,246,0,600,583,0,268,153,31,145,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,600
60,"PRIMARY SCHOOL SHAHBAJPUR NARIHA",370,291,0,661,225,165,0,390,100,0,53,55,13,258,1,0,0,1,0,0,0,3,1,1,1,1,1,1,0,390
61,"PRIMARY SCHOOL ASANDA",452,369,0,821,293,206,0,499,498,0,165,118,7,191,3,0,0,0,0,0,1,0,0,1,3,3,2,2,3,499
62,"PRIMARY SCHOOL BUDHIYA",294,239,0,533,221,147,0,368,368,0,46,212,14,85,0,0,0,0,2,0,0,0,0,2,3,1,1,1,1,368
