"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GHANSHAYAM ANURAGI","2 - BRIJLAL KHABRI","3 - BHANU PRATAP SINGH VERMA","4 - VIJAY CHAUDHARI","5 - GANGASINGH","6 - JAYRAM","7 - DALCHANDRA ANURAGI","8 - MANOJ KUMAR","9 - RAJKUMAR","10 - RAMNARAYAN","11 - RAM SINGH","12 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL THANWAPUR",496,426,0,922,315,271,0,586,586,0,37,90,426,21,0,0,1,1,0,4,3,3,586
2,"PRIMARY SCHOOL DURJANPURVA H. BIHAR",480,392,0,872,271,221,0,492,461,0,14,127,337,10,0,1,1,0,1,1,0,0,492
3,"JUNIOR HIGH SCHOOL BARGWAN",570,475,0,1045,335,311,0,646,646,0,9,227,379,19,0,0,2,2,1,3,3,1,646
4,"PRIMARY SCHOOL RAIRAMAPUR",248,220,0,468,167,126,0,293,293,0,47,128,95,20,0,3,0,0,0,0,0,0,293
5,"PRIMARY SCHOOL BIHARI",443,355,0,798,266,182,0,448,448,0,129,90,151,69,0,2,0,3,1,1,2,0,448
6,"JUNIOR HIGH SCHOOL EAST KAKSH KESHI",377,328,0,705,217,172,0,389,36,0,55,220,78,32,0,0,1,0,0,1,0,2,389
7,"JUNIOR HIGH SCHOOL WEST KAKSH KESHI",548,449,0,997,251,255,0,506,506,0,390,82,1,7,0,0,0,0,18,1,0,7,506
8,"PRIMARY SCHOOL KUTRA",273,209,0,482,163,132,0,295,245,0,52,118,115,1,0,0,0,1,3,2,2,1,295
9,"JUNIOR HIGH SCHOOL  NIGOHI",577,461,0,1038,321,261,0,582,582,0,69,143,318,42,2,1,1,1,1,0,0,4,582
10,"PRATHMIK VIDYALAY  MAHOLIYA",196,152,0,348,128,98,0,226,188,0,176,8,38,1,0,1,0,0,0,0,0,2,226
11,"JUNIOR HIGH SCHOOL DUDIAMAU",366,286,0,652,197,138,0,335,335,0,15,119,182,3,0,0,3,0,0,3,3,7,335
12,"PRIMARY SCHOOL  BHAJJAPURVA H. TODARPUR",418,338,0,756,238,165,0,403,403,0,192,64,141,3,1,0,0,0,0,1,0,1,403
13,"PRIMARY SCHOOL KALENAPUR H. KAILAI",398,346,0,744,260,188,0,448,8,0,285,6,151,2,1,0,0,0,0,0,0,3,448
14,"JUNIOR HIGH SCHOOL HAJIPUR H. KAILAI",299,249,0,548,215,171,0,386,101,0,153,56,158,8,2,0,0,0,0,3,2,4,386
