"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.MURLI MANOHAR JOSHI","2 - SALEEM AHMAD","3 - SURENDRA MOHAN AGARWAL","4 - SRIPRAKASH JAISWAL","5 - ANIL AWASTHI","6 - ANAND MEHROTRA","7 - DEVENDRA KUMAR SHARMA","8 - MOHD.NASIR KHAN","9 - DR.NIKHIL GUPTA","10 - MAHMOOD HUSAIN RAHMANI","11 - MOHAMMAD ATEEQ","12 - RAMESH KUMAR GUPTA","13 - VINAYAK RAO TOPE","14 - HIMMAT LAL","15 - ASHOK PASWAN ADVOCATE","16 - KISHOR BAJPAI","17 - PREM CHANDRA PANDEY","18 - BETALAL DIWAKAR","19 - MUZAFFAR HUSAIN KHAN","20 - VISHWANATH KATARIA","21 - KUMARI SARASWATI","22 - None of the Above","Total Votes Secured"
1,"CHACHA NEHRU INTER COLLEGE GOVIND NAGAR ROOM NO.1, CHAK 124 GOVIND NAGAR",793,744,0,1537,499,406,0,905,3,0,675,12,7,172,1,0,0,0,0,26,0,0,0,1,1,0,1,1,0,0,1,7,905
2,"CHACHA NEHRU INTER COLLEGE GOVIND NAGAR ROOM NO.2 CHAK 124 GOVIND NAGAR",564,520,0,1084,351,307,0,658,571,0,426,11,5,172,0,0,0,0,0,36,1,0,0,0,1,0,4,0,0,0,0,2,658
3,"KHALSA GIRLS INTER COLLEGE GOVIND NAGAR ROOM NO. 1 CHAK 124 AGOVIND NAGAR",465,399,0,864,291,218,0,509,471,0,437,2,1,49,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,509
4,"KHALSA GIRLS INTER COLLEGE ROOM NO 2 CHAK 124 A GOVIND NAGAR",395,385,0,780,256,223,0,479,109,0,380,2,2,80,0,0,1,0,0,9,0,0,0,0,0,0,2,1,0,1,0,1,479
5,"KHALSA GIRLS INTER COLLEGE ROOM NO 3 CHAK 124 A  GOVIND NAGAR",678,720,0,1398,330,339,0,669,669,0,498,1,4,146,1,0,0,0,0,13,0,0,0,0,0,1,1,0,0,0,0,4,669
6,"SHRI MUNI INTER COLLEGE   ROOM NO 2  CHAK NO.124 B GOVIND NAGAR",755,660,0,1415,523,421,0,944,934,0,737,18,17,145,3,0,1,1,0,9,0,0,2,1,0,3,1,0,0,0,0,6,944
7,"SHRI MUNI INTER COLLEGE ROOM NO 2 CHAK124 B GOVIND NAGAR",406,372,0,778,290,232,0,522,509,0,408,4,10,79,1,0,1,0,0,13,0,0,0,0,1,1,3,0,0,0,0,1,522
8,"SHRI MUNI INTER COLLEGE ROOM NO 3 CHAK 124 B GOVIND NAGAR",420,413,0,833,262,241,0,503,405,0,401,6,5,71,2,0,0,0,0,11,1,0,0,0,1,1,0,1,0,0,0,3,503
9,"SHRI MUNI INTER COLLEGE  ROOM NO 4 CHAK 124 B  GOVIND NAGAR",532,447,0,979,329,289,0,618,39,0,473,8,11,107,1,1,0,0,0,9,1,0,1,0,0,0,3,0,0,0,1,2,618
10,"D.B.S. COLLEGE ROOM NO  1 CHAK 124 B GOVIND NAGAR",548,427,0,975,271,240,0,511,506,0,279,26,14,172,0,0,0,1,1,13,0,0,0,2,0,1,2,0,0,0,0,0,511
11,"D.B.S. COLLEGE ROOM NO 2 CHAK 124B GOVIND NAGAR",653,637,0,1290,460,357,0,817,102,0,625,6,9,156,0,0,0,0,0,10,0,0,0,0,0,2,2,0,2,1,1,3,817
12,"D.B.S. COLLEGE  ROOM NO 3 CHAK 124 B  GOVIND NAGAR",515,398,0,913,307,227,0,534,533,0,378,61,3,70,1,0,0,0,0,8,0,1,0,2,0,5,0,1,1,0,0,3,534
13,"D.B.S. COLLEGE ROOM NO 4 CHAK 124 B GOVIND NAGAR",611,547,0,1158,334,264,0,598,595,0,471,14,1,69,3,0,0,0,0,22,0,0,1,1,0,3,2,3,0,0,2,6,598
14,"D.B.S. COLLEGE ROOM N0 5 CHAK 124 B GOVIND NAGAR",424,404,0,828,249,208,0,457,450,0,347,4,6,88,0,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,0,3,457
15,"D.B.S. COLLEGE  ROOM NO 6 CHAK 124 B GOVIND NAGAR",415,377,0,792,261,177,0,438,67,0,319,4,2,94,0,0,2,0,0,11,0,0,0,1,0,1,2,0,0,0,1,1,438
