"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
1,"TULSHI INTER COLLEGE RAJAPUR UTTARI BHAG",597,471,0,1068,282,224,0,506,373,0,43,222,10,27,161,5,1,3,2,2,2,5,6,17,506
2,"TULSI INTER COLLEGE RAJAPUR SOUTH PART",853,626,0,1479,387,242,0,629,578,0,87,376,13,12,121,5,1,1,0,2,1,2,1,7,629
3,"TULSI INTER COLLEGE RAJAPUR NORTH WEST ROOM",426,326,0,752,216,178,0,394,186,0,36,109,4,7,214,7,1,0,3,2,0,0,1,10,394
4,"GOVERNMENT GIRLS INTER COLLEGE RAJAPUR NORTH SOUTH PART",656,552,0,1208,330,223,0,553,244,0,92,332,1,19,96,8,0,0,0,0,0,1,0,4,553
5,"GOVERNMENT GIRLS INTER COLLEGE  RAJAPUR NORTH SOUTH ROOM",801,619,0,1420,350,263,0,613,605,0,65,443,11,14,52,6,1,1,1,2,1,1,9,6,613
6,"GOVERNMENT GIRLS INTER COLLEGE RAJAPUR SOUTH WEST ROOM",922,706,0,1628,440,243,0,683,435,0,115,357,7,12,148,4,2,1,3,6,2,4,7,15,683
7,"PRATHMIK VIDYALAY EAST ROOMRAJAPUR",568,494,0,1062,280,185,0,465,350,0,89,310,5,12,43,0,0,0,2,1,0,1,2,0,465
8,"PRATHMIK VIDYALAY WEST ROOM RAJAPUR",396,337,0,733,184,125,0,309,301,0,28,118,8,2,126,3,2,0,1,2,2,4,4,9,309
9,"PRATHMIK VIDYALAY NORTH ROOM RAJAPUR",469,373,1,843,249,149,0,398,328,0,69,288,5,7,19,2,0,0,1,1,0,2,0,4,398
10,"PRATHMIK VIDYALAY SOUTH ROOM RAJAPU",447,326,0,773,231,146,0,377,298,0,88,254,2,6,24,0,0,0,1,0,0,2,0,0,377
11,"PRATHMIK VIDYALAY KHATVARA NORTH PART",683,550,0,1233,406,296,0,702,64,0,38,403,12,10,208,6,2,3,0,1,1,2,12,4,702
12,"PRATHMIK VIDYALAY KHATVARA SOUTH PART",320,260,0,580,169,154,0,323,203,0,19,98,6,3,184,2,0,0,1,1,2,1,1,5,323
13,"PRATHMIK VIDYALAYMALVARA",314,274,0,588,216,193,0,409,190,0,110,132,5,1,145,4,0,1,1,1,0,2,5,2,409
