"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
1,"P.S. GALATHA",750,546,0,1296,443,281,0,724,724,0,86,24,417,165,3,1,1,8,2,0,1,0,7,3,6,724
2,"P.S .KAUDIYA",486,327,0,813,299,173,0,472,469,0,22,5,359,47,0,1,1,10,1,4,0,4,4,4,10,472
3,"P.S. ASIFPUR",332,248,0,580,209,112,0,321,321,0,28,11,255,10,2,0,0,8,0,0,1,1,2,0,3,321
4,"P.S. BADA KHER MAJRE ABHAYPUR",630,487,0,1117,356,232,0,588,553,0,84,10,449,24,2,2,2,10,1,1,0,0,1,1,1,588
5,"P.S. JADE KA PURWA AMJRE ABHAYPUR",500,393,0,893,314,230,0,544,531,0,86,4,374,32,2,0,0,10,2,1,2,2,10,2,17,544
6,"U.P.S. ABHAYPUR",721,575,0,1296,352,229,0,581,581,0,93,4,372,101,0,0,1,1,0,1,1,1,1,0,5,581
7,"P.S. THANPUR",274,230,0,504,190,162,0,352,349,0,72,9,230,17,1,1,0,7,0,1,0,0,3,5,6,352
8,"P.S. MANIKPUR",301,245,0,546,197,183,0,380,379,0,49,15,281,27,0,0,1,2,0,0,0,1,1,0,3,380
9,"P.S. SHIV RAJPUR",264,220,0,484,156,143,0,299,299,0,34,3,64,188,0,1,0,2,0,0,0,1,2,1,3,299
10,"U.P.S. SHIV RAJPUR",640,494,0,1134,401,297,0,698,698,0,176,18,417,62,1,5,0,5,0,0,1,0,1,8,4,698
11,"P.S. BHAU PUR ROOM - 1",584,506,0,1090,383,290,0,673,353,0,38,10,511,69,5,1,2,14,2,3,0,3,5,5,5,673
12,"P.S. BHAU PUR ROOM - 2",370,305,0,675,217,111,0,328,228,0,49,9,183,70,1,0,0,3,1,1,0,1,0,4,6,328
13,"P.S. PAHUR",802,672,0,1474,509,408,0,917,917,0,134,14,670,49,3,2,5,13,0,2,2,3,8,4,8,917
14,"P.S. RAVATPUR",827,657,0,1484,493,368,0,861,858,0,146,21,592,78,1,0,1,9,2,1,0,0,5,1,4,861
15,"P.S. BEEKAM PUR",399,349,0,748,198,268,0,466,400,0,75,6,337,32,3,0,1,6,0,0,0,0,0,1,5,466
16,"K.P.S. KEECHAK PUR",216,190,0,406,131,120,0,251,251,0,41,5,158,38,1,0,1,1,0,0,0,1,2,1,2,251
17,"I.C.BADAHAR ROOM - 1",490,425,0,915,301,232,0,533,188,0,207,21,263,33,0,0,1,2,1,0,0,0,2,1,2,533
18,"I.C. BADAHAR ROOM - 2",411,367,0,778,220,168,0,388,364,0,171,16,187,6,0,0,0,2,1,0,0,0,1,1,3,388
19,"P.S. HOLAPUR",213,185,0,398,154,141,0,295,269,0,59,12,187,23,0,2,1,8,1,0,0,0,1,1,0,295
20,"P.S. HAJIPUR",321,274,0,595,208,160,0,368,368,0,101,8,195,61,0,0,0,0,0,0,0,0,0,0,3,368
21,"P.S. RAHSUPUR",518,391,0,909,376,247,0,623,623,0,79,5,445,77,1,1,1,2,0,0,1,1,3,2,5,623
22,"P.S. SHADIPUR",636,476,0,1112,372,319,0,691,591,0,125,3,254,288,3,0,0,6,1,0,5,0,2,2,2,691
23,"P.S. CHHIVLI",427,320,0,747,252,169,0,421,100,0,160,7,184,48,2,0,0,6,0,0,1,1,1,4,7,421
24,"P.S. MIRAI",566,426,0,992,332,252,0,584,584,0,91,22,397,56,0,2,1,7,0,0,2,1,2,1,2,584
25,"P.S. RIYARI MAJRE MIRAI",388,268,0,656,250,144,0,394,392,0,5,3,23,347,0,3,0,2,1,0,1,4,1,1,3,394
26,"P.S. PARSADEPUR",574,486,0,1060,350,283,0,633,603,0,145,10,313,139,2,2,2,2,3,0,0,1,3,4,7,633
27,"P.S. KHARAULI",493,388,0,881,319,258,0,577,577,0,134,5,296,122,1,0,3,9,0,0,4,0,0,2,1,577
28,"P.S .BADSAWANPUR",195,159,0,354,132,118,0,250,250,0,1,5,174,68,0,0,0,1,0,0,0,1,0,0,0,250
29,"U.P.S. KHADRA ROOM - 1",499,381,0,880,317,236,0,553,515,0,186,14,251,82,0,1,0,1,1,0,1,1,3,4,8,553
30,"U.P.S. KHADRA ROOM - 2",346,283,0,629,225,195,0,420,420,0,90,11,247,63,0,2,0,1,1,0,1,0,1,2,1,420
31,"P.S. GANGCHAULI KHURD",581,425,0,1006,351,224,0,575,472,0,228,13,279,40,1,0,0,6,5,0,0,1,0,0,2,575
32,"P.S. GANGCHAULI BUJURG",671,539,0,1210,411,298,0,709,693,0,261,8,338,73,2,0,1,8,2,3,3,3,1,1,5,709
33,"U.P.S. AUNG ROOM - 1",695,604,0,1299,483,388,0,871,495,0,229,13,358,234,2,2,1,4,1,0,2,1,4,4,16,871
34,"U.P.S. AUNG ROOM - 2",663,544,0,1207,464,352,0,816,800,0,22,20,528,226,3,1,1,7,0,0,0,1,2,2,3,816
