"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
1,"P.S. THITHAURA",663,559,0,1222,415,345,0,760,698,0,253,9,355,126,0,1,1,6,1,0,1,2,0,3,2,760
2,"P.S. DUGRAI ROOM N0 1",548,473,0,1021,342,288,0,630,630,0,150,6,374,78,4,2,0,2,3,1,0,0,1,3,6,630
3,"P.S. DUGRAI ROOM N0 2",494,399,0,893,311,245,0,556,471,0,206,11,286,32,0,0,1,5,0,1,0,0,4,0,10,556
4,"P.S. DULAPUR",350,309,0,659,199,208,0,407,403,0,55,0,226,104,1,1,2,7,0,0,0,0,3,3,5,407
5,"P.S.   SHYAMPUR ROOM N0 1",382,331,0,713,260,224,0,484,481,0,169,17,201,81,3,1,1,3,0,0,1,1,1,2,3,484
6,"P.S.   SHYAMPUR  ROOM N0 2",365,304,0,669,155,120,0,275,267,0,61,1,112,86,2,0,0,2,0,0,0,3,1,3,4,275
7,"P.S.   BANARSI  ROOM N0 1",625,540,0,1165,353,332,0,685,535,0,133,40,410,54,2,1,2,10,4,1,2,1,6,6,13,685
8,"P.S.   BANARSI  ROOM N0 2",614,545,0,1159,380,301,0,681,681,0,147,32,423,30,1,2,2,7,1,0,2,1,14,5,14,681
9,"P.S.   HARIRAMPUR",418,347,0,765,312,223,0,535,513,0,134,8,311,60,0,6,0,4,1,1,1,1,2,3,3,535
10,"P.S. PARETHI",437,364,0,801,211,210,0,421,421,0,98,10,235,53,0,2,0,6,1,1,1,1,6,3,4,421
11,"P.S. DHANIPUR",394,330,0,724,309,256,0,565,565,0,154,5,341,42,0,1,3,5,4,0,1,0,0,4,5,565
12,"P.S. VAHIDPUR",313,266,0,579,243,210,0,453,451,0,74,22,318,27,0,0,0,3,0,0,0,1,6,2,0,453
13,"P.S. LADIGAWAN",674,593,0,1267,454,444,0,898,898,0,250,13,460,126,3,3,1,10,2,2,0,2,4,8,14,898
14,"P.S. RASOOLPUR",263,214,0,477,164,149,0,313,313,0,122,6,121,51,0,0,1,3,1,0,0,1,0,4,3,313
15,"P.S. KORARI",515,452,0,967,332,295,0,627,620,0,232,7,323,19,1,1,3,7,0,0,2,0,7,5,20,627
16,"P.S. KHATAULI",663,581,0,1244,406,423,0,829,733,0,273,10,442,71,1,1,3,5,0,0,0,2,8,4,9,829
17,"P.S. HARIYAPUR",704,615,0,1319,449,387,0,836,771,0,146,16,571,71,4,1,1,8,3,1,0,3,5,4,2,836
18,"P.S. KICHAUCHA",582,504,0,1086,373,330,0,703,689,0,31,8,613,29,4,2,0,6,1,0,0,0,5,2,2,703
19,"P.S. JINDPUR",368,318,0,686,273,237,0,510,507,0,100,12,331,41,2,0,0,6,0,0,1,4,3,3,7,510
20,"P.S. SAMDABAD KUBHATI",528,469,0,997,293,260,0,553,507,0,136,9,326,53,0,4,1,12,0,1,1,3,2,3,2,553
21,"P.S. CHAKRASOOLPUR",416,339,0,755,273,207,0,480,480,0,13,15,401,21,3,1,1,6,0,1,2,5,8,1,2,480
22,"PANCHYAT GHAR CHAK MIRPUR",333,268,0,601,234,166,0,400,382,0,35,8,227,110,0,1,1,6,2,0,0,1,4,3,2,400
23,"P.S.  RBARAUHA  ROOM N0 1",615,553,0,1168,360,332,0,692,683,0,374,5,139,162,1,0,0,1,0,0,2,1,2,1,4,692
24,"P.S.  RBARAUHA  ROOM N0 2",540,480,0,1020,327,267,0,594,583,0,120,13,267,174,1,3,0,2,1,1,0,2,2,2,6,594
25,"P.S. KAMLAPUR",238,218,0,456,161,147,0,308,308,0,140,3,104,47,0,0,0,3,0,0,0,1,4,3,3,308
26,"P.S. MEULI",588,469,0,1057,415,337,0,752,749,0,294,20,103,316,2,0,0,4,1,0,0,4,1,2,5,752
27,"KANYA JU. BA.V.   BADAGAOUN ROOM N0 1",692,617,0,1309,444,374,0,818,612,0,178,32,520,33,3,2,1,12,4,0,1,2,11,8,11,818
28,"KANYA JU. BA.V.   BADAGAOUN ROOM N0 2",653,500,0,1153,423,323,0,746,560,0,160,12,473,49,1,2,0,6,0,0,2,6,14,6,15,746
29,"KANYA JU. BA.V.   BADAGAOUN ROOM N0 3",737,598,0,1335,475,391,0,866,866,0,347,5,167,311,3,1,1,4,1,2,0,2,3,3,16,866
30,"P.S.   SUJANPUR ROOM N0 1",681,599,0,1280,468,402,0,870,869,0,323,10,416,81,3,3,1,6,1,2,2,0,7,4,11,870
31,"P.S.   SUJANPUR ROOM N0 2",321,263,0,584,210,168,0,378,374,0,169,5,91,98,2,0,2,0,0,0,0,5,1,2,3,378
32,"P.S. BARWAT",279,241,0,520,180,165,0,345,345,0,90,2,206,28,0,1,1,5,0,0,1,2,6,1,2,345
33,"P.S. RAMPUR",429,338,0,767,271,273,0,544,544,0,187,13,256,64,1,1,0,5,1,0,3,2,5,1,5,544
34,"P.S. GAURI",529,427,0,956,338,273,0,611,611,0,134,6,409,36,1,1,1,6,2,2,1,2,1,3,6,611
35,"P.S. THAVAI",341,308,0,649,252,248,0,500,377,0,76,4,368,28,0,2,0,2,1,0,1,0,8,4,6,500
36,"P.S. KIRTIKHEDA MAJRE REY  ROOM N0 1",766,597,0,1363,476,350,0,826,796,0,138,10,521,111,2,1,2,11,4,2,1,6,6,5,6,826
37,"P.S. KIRTIKHEDA MAJRE REY  ROOM N0 2",305,271,0,576,191,173,0,364,364,0,31,9,304,7,1,3,1,3,1,0,0,2,0,0,2,364
38,"P.S. MAHAKHRDA MAZRE KODAR",546,458,0,1004,338,286,0,624,509,0,128,9,408,34,3,0,2,5,0,0,1,3,6,7,18,624
39,"P.S. KODAR",830,698,0,1528,469,397,0,866,866,0,160,20,589,58,3,1,0,14,1,0,1,1,8,8,2,866
40,"P.S. MILKINDERA MAJRE KODAR",576,468,0,1044,387,192,0,579,398,0,41,5,464,29,1,3,2,10,1,1,0,2,10,1,9,579
41,"U.P.S.  ADHAWAL ROOM N0 1",531,441,0,972,267,268,0,535,535,0,85,3,374,33,1,0,1,7,0,1,2,3,11,5,9,535
42,"U.P.S.  ADHAWAL ROOM N0 2",407,302,0,709,246,175,0,421,421,0,71,5,290,34,0,2,0,6,0,0,0,0,4,1,8,421
43,"U.P.S.  ADHAWAL ROOM N0 3",425,367,0,792,263,230,0,493,493,0,47,7,393,19,1,0,0,9,0,0,0,1,7,5,4,493
44,"P.S. DHANUHANDERA MAJRE ADHAWAL",396,322,1,719,235,203,0,438,438,0,46,6,325,41,0,0,1,7,1,1,1,1,3,4,1,438
45,"P.S. URAULI",740,530,0,1270,456,301,0,757,357,0,99,6,499,110,2,6,1,7,0,0,2,3,10,3,9,757
46,"P.S. DASAULI   ROOM N0 1",650,600,0,1250,365,406,0,771,475,0,226,3,470,11,0,3,3,17,2,1,1,2,16,3,13,771
47,"P.S. DASAULI   ROOM N0 2",633,552,0,1185,310,400,0,710,710,0,680,1,19,3,0,1,0,0,0,0,0,0,1,0,5,710
