"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
1,"P.S POORE MOHAN",479,438,0,917,285,275,0,560,560,0,204,155,20,1,0,1,5,1,1,3,1,154,0,0,3,11,560
2,"P.S. AUWAR",559,532,0,1091,266,282,0,548,548,0,35,103,86,1,0,1,1,1,5,0,4,296,3,5,2,5,548
3,"P.S. AUWAR",413,373,0,786,200,193,0,393,389,3,75,7,23,7,1,0,2,0,4,1,0,269,1,0,1,2,393
4,"P.S. NAMAK SAYER",397,347,0,744,150,169,0,319,319,0,33,4,12,13,0,0,0,1,3,3,4,236,2,2,2,4,319
5,"P.S. NAMAK SAYER",605,480,0,1085,269,256,0,525,525,0,49,11,8,2,0,1,1,1,1,1,2,440,3,1,0,4,525
6,"P.S POORE HIRAMAN",593,529,0,1122,249,302,0,551,517,25,234,62,76,2,1,1,0,0,0,2,2,157,0,1,5,8,551
7,"P.M.V POORE HIRAMAN",339,323,0,662,231,172,0,403,403,0,44,13,12,4,0,1,0,1,0,0,0,320,0,4,3,1,403
8,"P.S BHUIDAHA",768,621,0,1389,408,312,0,720,720,0,187,44,29,9,3,2,2,1,1,2,6,425,1,1,2,5,720
9,"P.S JAMUARI",280,217,0,497,168,103,0,271,271,0,55,15,24,3,1,0,1,1,2,1,2,155,1,0,4,6,271
10,"P.S. BHAGESARA CLASS R-1",550,437,0,987,305,218,0,523,522,1,71,10,20,5,0,0,1,1,5,0,4,395,0,5,1,5,523
11,"P.S. BHAGESARA CLASS R-2",402,365,0,767,224,203,0,427,37,0,40,16,19,5,1,0,0,1,0,1,3,331,2,1,0,7,427
12,"P.S RAJAPUR",656,560,0,1216,428,362,0,790,765,0,247,41,37,5,3,0,1,1,3,1,3,441,3,2,1,1,790
