"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
1,"P.S. SHAKHABARIPUR",722,594,0,1316,383,310,0,693,693,0,24,179,398,74,3,5,3,3,1,0,2,1,693
2,"P.S. MAKHDOOMPUR KAJI",644,542,0,1186,331,232,0,563,502,0,22,358,31,116,3,2,1,4,2,2,7,15,563
3,"P.S. SIHORI",587,516,0,1103,402,355,0,757,750,0,10,208,479,34,9,9,3,1,0,1,2,1,757
4,"P.S. RASOOLPUR KAJI",742,612,0,1354,374,376,0,750,601,0,28,108,368,221,5,2,1,0,4,1,5,7,750
5,"P.S. GRAMEEN BHARWARI",204,185,0,389,111,128,0,239,239,0,3,186,16,21,1,1,1,1,0,1,2,6,239
6,"NATIONAL I C BHARWARI WEST PART",469,465,0,934,251,190,0,441,400,0,16,314,81,30,0,0,0,0,0,0,0,0,441
7,"NATIONAL I C BHARWARI WEST PART FIRST",423,375,0,798,191,158,0,349,340,0,7,112,138,80,1,0,1,3,1,1,1,4,349
8,"NATIONAL I C BHARWARI CENTER PART",553,468,0,1021,304,184,0,488,488,0,12,230,125,111,0,2,1,1,1,0,3,2,488
9,"NATIONAL I C BHARWARI CENTER PART FIRST",402,418,0,820,175,192,0,367,148,0,19,82,211,43,1,2,0,0,0,2,4,3,367
10,"NATIONAL I C BHARWARI WEST PART 2",663,613,0,1276,279,254,0,533,530,0,24,66,327,99,4,3,2,0,0,1,3,4,533
11,"NATIONAL I C BHARWARI WEST PART 3",645,543,0,1188,224,180,0,404,215,0,15,105,211,55,1,0,1,2,1,1,4,8,404
12,"NATIONAL I C BHARWARI WEST PART 4",803,639,1,1443,269,228,0,497,432,0,36,168,185,98,3,1,0,1,0,1,2,2,497
13,"KASTOORBA GANDHI I C BHARWARI SOUTH PART 1",519,472,0,991,300,279,0,579,422,0,15,376,171,8,0,1,0,3,1,1,1,2,579
14,"KASTOORBA GANDHI I C BHARWARI SOUTH PART 2",641,509,0,1150,365,244,0,609,6,0,43,426,106,18,3,2,1,1,1,1,5,2,609
15,"KASTOORBA GANDDHI I C BHARWARI SOUTH PART 3",547,456,0,1003,312,233,0,545,541,0,14,430,78,15,0,1,0,0,0,1,2,4,545
16,"KASTOORBA GANDHI I C BHARWARI NORTH PART 1",602,498,0,1100,305,234,0,539,539,0,15,419,70,26,2,2,0,0,1,0,0,4,539
17,"KASTOORBA GANDHI I C BHARWARI NORTH PART 2",859,740,0,1599,412,315,0,727,695,0,17,552,96,49,2,5,2,0,0,1,0,3,727
18,"P.S. ASDULLAPUR ROHI EAST PART",610,483,0,1093,302,240,0,542,530,0,21,296,137,73,2,5,1,2,2,0,3,0,542
19,"P.S ASDULLAPUR ROHI EAST PART 1",360,342,0,702,172,172,0,344,324,0,19,243,26,39,0,4,3,5,0,0,3,2,344
20,"P.S. ASDULLAPUR ROHI EAST PART 2",627,523,0,1150,268,257,0,525,510,0,52,41,213,188,11,2,2,3,3,1,2,7,525
21,"P.S. ASDULLAPUR ROHI EAST PART 3",552,455,0,1007,242,211,0,453,443,0,16,174,98,133,4,4,8,1,1,1,9,4,453
22,"P.S. MARUFPUR",812,659,0,1471,460,430,0,890,623,0,22,519,185,108,8,12,2,3,7,3,6,15,890
23,"PS KASHIYA EAST PART",475,358,0,833,263,202,0,465,32,0,15,245,93,83,3,4,1,0,0,0,5,16,465
24,"PS KASHIYA EAST PART 1",666,541,0,1207,320,290,0,610,610,0,14,275,247,44,2,5,1,3,2,0,4,13,610
