"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAPIL MUNI KARWARIYA","2 - KESHAV PRASAD MAURYA","3 - MOHD. KAIF","4 - DHARAM RAJ SINGH PATEL","5 - GYANENDRA KUMAR SRIVASTAVA GYANI BHAI","6 - GANESHJI TRIPATHI","7 - DAKKHINI PRASAD KUSHWAHA","8 - NATHU RAM BOUDHA","9 - PARVEZ ASHFAQUE SIDDIQUI","10 - SHIMALA SHRI","11 - SURENDRA KUMAR MISHRA","12 - ZIAOUL HAQUE","13 - DR. NEERAJ","14 - MITHILESH KUMAR","15 - MILAN MUKERJEE","16 - None of the Above","Total Votes Secured"
1,"PRIMARY PATHSALA RAMPUR URF DAULATPUR",465,319,0,784,271,220,0,491,491,0,43,97,8,326,3,0,2,0,1,1,1,1,1,2,4,1,491
2,"ZILA PARISHAD PRIMARY PATHSALA SARAYGANI",569,450,0,1019,316,246,0,562,9,0,57,193,13,282,0,2,0,0,1,2,0,1,3,2,3,3,562
3,"ZILA PARISHAD PRIMARY SCHOOL SARAYGANI NAYA BHAWAN",448,345,1,794,226,219,0,445,145,0,63,78,15,283,1,2,1,0,0,0,0,1,0,0,1,0,445
4,"ZILA PARISHAD PRIMARY PATHSALA HASANPUR MAY CHAK MANSUR UTTARIBHAG",248,181,0,429,155,120,0,275,64,0,44,205,5,10,0,0,1,0,0,1,0,1,0,0,7,1,275
5,"ZILA PARISHAD PRIMARY PATHSALA HASANPUR MAY CHAK MANSOOR DAKSHINI BHAG",811,647,0,1458,390,388,0,778,778,0,83,486,45,133,4,3,1,2,0,3,2,3,1,2,9,1,778
6,"ZILA PARISHAD PRIMARY PATHSALA BHAREHTA",693,532,0,1225,415,352,0,767,58,0,140,429,14,144,5,0,0,2,1,2,4,2,4,4,12,4,767
7,"RA0 JU0 BE0 MA0 FAJALABAD URF KALUPUR PURVI BHAG",760,569,0,1329,415,290,0,705,382,0,25,240,20,398,4,2,2,0,2,2,0,2,2,0,2,4,705
8,"RA0 JU0 BE0 MA0 FAJALABAD URF KALUPUR MADYA BHAG",765,591,0,1356,413,333,0,746,71,0,27,376,42,270,3,1,1,1,2,5,4,1,2,3,4,4,746
9,"RA0 JU0 BE0 MA0 FAJALABAD URF KALUPUR PASCHIMEE  BHAG",686,506,0,1192,310,264,0,574,20,0,65,184,72,240,0,1,1,0,0,4,0,0,0,3,1,3,574
10,"SETHA GAYADEEN HIGHER MADMIC SCHOOL MAILAHA",659,537,0,1196,404,380,0,784,522,0,103,518,13,113,6,0,2,1,1,6,0,2,2,3,6,8,784
11,"ZILA PARISAD PRIMARY PATHSHALA MEERKAPUR PURVI BHAG",729,541,0,1270,457,359,0,816,816,0,215,302,18,253,4,0,2,0,0,1,0,3,2,1,7,8,816
12,"ZILA PARISAD PRIMARY PATHSHALA MEERKAPUR",242,225,1,468,165,139,0,304,273,0,35,82,6,167,3,3,0,0,0,0,0,1,0,3,0,4,304
13,"ZILA PARISAD PRIMARY PATHSHALA MIRKAPUR PASCHIMEEBHAG",488,417,0,905,306,268,0,574,109,0,108,342,10,92,2,0,1,1,0,1,1,3,2,1,7,3,574
14,"ZILA PARISAD PRIMARY PATHSHALA RAMGARH KOTHARI PURVI BHAG",695,548,0,1243,404,328,0,732,10,0,122,441,12,130,4,3,1,1,0,2,1,2,1,2,2,8,732
15,"ZILA PARISAD PRIMARY PATHSHALA RAMGARH KOTHARI PASCHIMEE BHAG",675,526,0,1201,340,284,0,624,624,0,177,217,2,197,6,1,1,0,2,2,1,1,5,2,3,7,624
16,"ZILA PARISAD PRIMARY PATHSHALA TULAPUR",587,460,0,1047,354,306,0,660,155,0,76,253,11,292,7,1,2,1,1,0,2,0,4,4,0,6,660
17,"ZILA PARISAD PRIMARY PATHSHALA CHAIMALPUR",784,608,0,1392,441,325,0,766,765,0,265,320,14,124,6,0,3,0,1,4,2,4,3,5,7,8,766
18,"ZILA PARISAD PRIMARY PATHSHALA VEERBHANPUR PURVI BHAG",772,674,0,1446,468,424,0,892,5,0,112,571,18,121,2,1,4,1,2,10,3,6,5,8,13,15,892
19,"PRIMARY PATSHALA NARAYANPUR",232,177,2,411,168,118,0,286,8,0,34,223,7,14,0,0,0,0,0,0,0,0,1,2,1,4,286
20,"PRIMARY PATSHALA PURANPUR",553,448,0,1001,401,331,0,732,732,0,72,552,9,86,0,3,1,0,1,0,1,1,0,2,2,2,732
21,"PRIMARY PATHSHALA SILOKHARA",763,605,0,1368,498,366,0,864,864,0,185,411,13,194,5,2,3,5,4,2,4,9,0,5,13,9,864
22,"ZILA PARISAD PRIMARY PATHSHALA PATULKI",537,445,0,982,290,283,0,573,530,0,55,366,9,114,3,1,1,1,0,1,1,2,3,2,10,4,573
23,"ZILA PARISAD PRIMARY PATHSHALA PATULKI",682,507,0,1189,391,289,0,680,216,0,110,452,13,76,2,1,1,0,0,1,3,6,0,4,8,3,680
24,"JU0 HIGH SCHOOL KANEHTI PASIMEE BHAG",436,370,1,807,284,259,0,543,5,0,157,308,10,45,2,0,2,0,2,1,2,4,0,7,2,1,543
25,"JU0 HIGH SCHOOL KANEHTI MADHAY BHAG",433,368,0,801,276,196,0,472,450,0,48,306,9,96,1,0,3,0,0,1,1,0,3,0,3,1,472
26,"JU0 HIGH SCHOOL KANEHTI PURVI  BHAG",428,364,0,792,287,242,0,529,241,0,33,370,14,89,1,1,2,0,1,0,2,0,1,3,5,7,529
27,"ZILA PARISAD PRIMARY PATHSHALA GIRDHARPUR",245,235,0,480,175,166,0,341,10,0,178,80,7,64,1,0,1,0,0,0,0,0,0,0,5,5,341
28,"PRIMARY PATHSHALA MANETHU",522,428,0,950,363,299,0,662,62,0,148,385,10,73,6,3,3,4,2,3,4,1,8,2,9,1,662
29,"ZILA PARISAD PRIMARY PATHSHALA ABHAYCHAND URF CHANDAUKI",278,212,0,490,11,1,0,12,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,12
30,"ZILA PARISAD PRIMARY PATHSHALASARAY ABHAYCHAND URF CHANDAUKI",346,295,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
