"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDYALAYA ARAIL ROOM NO. 1",727,491,0,1218,339,231,0,570,214,0,33,4,262,238,4,3,1,2,1,2,0,1,4,3,3,1,2,3,0,1,0,0,1,1,570
2,"PRATHMIK VIDYALAYA ARAIL ROOM NO. 2",558,452,0,1010,255,211,0,466,350,0,18,12,179,219,2,0,1,1,2,0,1,1,5,2,0,7,0,0,6,4,1,0,1,4,466
3,"PRATHMIK VIDYALAYA ARAIL ROOM NO. 3",553,369,0,922,264,163,0,427,190,0,13,15,213,164,1,2,0,1,2,0,0,0,3,1,0,6,0,0,0,0,2,0,1,3,427
4,"PRATHMIK VIDYALAYA ARAIL ROOM NO. 4",623,480,1,1104,296,207,0,503,490,0,59,27,240,139,3,7,0,0,0,0,1,2,1,3,2,7,0,1,2,3,2,0,3,1,503
5,"PRATHMIK VIDYALAYA SODHIA BHEET ROOM NO. 1",751,583,0,1334,306,175,0,481,31,0,10,40,79,325,4,6,0,0,0,1,0,2,2,0,1,3,1,1,0,3,3,0,0,0,481
6,"PRATHMIK VIDYALAYA SODHIA BHEET ROOM NO.2",601,499,1,1101,241,175,0,416,28,0,2,32,14,353,6,0,0,0,0,1,0,0,2,1,0,0,0,1,0,2,1,0,1,0,416
7,"PRATHMIK VIDYALAYA SODHIA BHEET ROOM 3",585,478,0,1063,328,269,0,597,470,0,119,22,194,219,3,5,0,1,0,1,2,4,3,2,6,9,0,0,1,1,2,1,1,1,597
8,"PRATHMIK VIDYALAYA SODHIYA BHEET ROOM NO. 4",595,483,0,1078,286,202,0,488,465,0,76,22,210,159,3,8,0,0,0,0,1,1,0,1,1,1,1,0,1,2,0,0,0,1,488
9,"PRATHMIK VIDYALAYA AVANTIKA ADA COLONY NAINI ROOM NO. 1",535,455,0,990,227,170,0,397,300,0,133,60,82,103,1,0,0,0,2,0,2,2,1,2,1,4,1,1,0,0,0,0,0,2,397
10,"PRATHMIK VIDYALAYA AVANTIKA ADA COLONY NAINI ROOM NO. 2",595,461,0,1056,282,219,0,501,501,0,148,46,217,65,3,3,0,2,1,4,2,0,0,1,0,6,1,0,0,1,0,0,0,1,501
11,"PRATHMIK VIDYALAYA AVANTIKA ADA COLONY NAINI ROOM NO. 3",492,422,0,914,222,178,0,400,52,0,104,42,93,137,0,2,0,1,2,2,0,0,1,0,3,7,1,0,0,2,0,0,0,3,400
12,"PRATHMIK VIDYALAYA AVANTIKA ADA COLONY NAINI ROOM NO. 4",653,502,0,1155,274,172,0,446,328,0,55,26,253,99,1,4,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,446
13,"PRATHMIK VIDYALAYA CHAKBABURA ALIMABAD ROOM NO. 1",554,430,0,984,168,116,0,284,248,0,21,12,176,63,0,5,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,1,284
14,"PRATHMIK VIDYALAYA CHAKBABURA ALIMABAD ROOM NO. 2",427,367,0,794,196,154,0,350,150,0,11,30,208,83,2,13,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,350
15,"PRATHMIK VIDYALAYA CHAKBABURA ALIMABAD ROOM NO.3",503,476,0,979,174,147,0,321,180,0,45,32,27,205,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,4,321
16,"PRATHMIK VIDYALAYA CHAKBABURA ALIMABAD ROOM NO.4",659,503,1,1163,262,168,0,430,250,0,42,47,41,288,1,1,0,0,0,0,0,1,2,0,1,3,0,2,1,0,0,0,0,0,430
17,"PRATHMIK VIDYALAYA CHAKBABURA ALIMABAD ROOM NO. 5",774,585,0,1359,355,255,0,610,403,0,53,36,381,98,2,24,0,0,0,0,1,1,0,2,0,3,1,0,1,2,0,2,0,3,610
18,"PRATHMIK VIDYALAYA DEVRAKH ROOM NO. 1",658,572,0,1230,376,325,0,701,416,0,154,20,218,269,2,2,0,3,0,7,3,1,1,0,4,6,5,1,0,0,1,2,0,2,701
19,"PRATHMIK VIDYALAYA DEVRAKH ROOM NO. 2",751,678,0,1429,326,278,0,604,297,0,141,29,205,194,3,16,0,1,1,2,2,1,0,2,0,2,0,1,0,0,0,0,0,4,604
20,"PRATHMIK VIDYALAYA MAVAIYA TA0 LAVAYAN ROOM NO. 1",895,705,0,1600,509,346,0,855,200,0,87,54,283,385,3,6,1,1,4,6,4,2,2,2,2,3,4,0,2,3,0,1,0,0,855
21,"PRATHMIK VIDYALAYA MAVAIYA TA0 LAVAYAN ROOM NO.2",541,415,0,956,358,247,0,605,605,0,34,32,162,336,4,3,5,3,0,0,0,2,2,6,0,6,1,0,1,2,1,4,0,1,605
22,"PRATHMIK VIDYALAYA MAVAIYA TA0 LAVAYAN ROOM NO.3",423,329,0,752,265,164,0,429,179,0,8,12,176,198,4,2,1,4,0,0,0,0,0,1,4,2,2,0,0,7,3,0,2,3,429
23,"RANJEET PT. INTER COLLEGE NAINI ROOM NO. 1",632,531,0,1163,323,267,0,590,7,0,32,44,398,64,1,26,0,2,1,0,0,1,1,3,3,5,1,0,2,1,1,0,1,3,590
