"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
1,"P.S. SISWARA ROOM NO. 1",568,469,0,1037,406,304,0,710,165,0,101,110,262,215,3,1,2,3,0,0,1,2,4,3,3,710
2,"P.S. DHARAMPUR ROOM NO. 1",259,247,0,506,193,179,0,372,320,0,71,23,256,8,1,0,0,1,0,1,1,1,5,1,3,372
3,"P.S. DAUDPUR ROOM NO. 1",667,615,0,1282,543,392,0,935,156,0,69,151,498,171,1,3,1,2,5,1,2,4,10,6,11,935
4,"P.S. TERA KHURD ROOM NO. 1",483,384,0,867,325,227,0,552,112,0,108,76,166,174,5,2,1,0,0,1,1,2,5,8,3,552
5,"P.S.MIRJANAGAR BEHTAI ROOM NO. 1",246,198,0,444,178,135,0,313,70,0,40,39,81,136,3,0,1,1,2,2,2,0,2,1,3,313
6,"P.S. MOHANPUR ROOM NO. 1",607,527,1,1135,434,342,0,776,766,0,271,94,338,50,1,1,0,0,0,0,1,2,6,3,9,776
7,"KRISHAK SAMAJ V. UDAWTNAGAR M. TERA KALA NORTH PART",560,493,0,1053,393,345,0,738,190,0,263,40,385,32,2,1,1,0,1,1,0,2,3,1,6,738
8,"KRISHAK SAMAJ V. UDWATNAGAR TERA KALA SOUTH PART",158,152,0,310,127,108,0,235,210,0,44,14,147,15,2,1,0,0,0,0,1,0,5,4,2,235
9,"P.S. KAIMAI ROOM NO. 1",405,305,0,710,305,233,0,538,6,0,154,54,210,101,2,1,3,3,3,0,0,1,3,1,2,538
10,"P.S. UKHARI ROOM NO. 1",769,660,0,1429,554,449,0,1003,803,0,163,135,610,32,3,3,2,0,3,2,2,7,5,9,27,1003
11,"P.S. PAHARPUR KUTLUPUR ROOM NO. 1",492,368,0,860,346,204,0,550,78,0,70,75,183,199,2,1,2,1,3,1,2,2,4,2,3,550
12,"P.S. KUMHARPUR ROOM NO. 1",311,251,0,562,230,187,0,417,396,0,11,96,189,113,3,0,0,0,0,0,1,1,0,1,2,417
13,"P.S. PIRANAGAR ROOM NO. 1",369,313,0,682,272,215,0,487,9,0,29,13,340,84,3,0,2,1,4,0,1,0,2,0,8,487
14,"P.S. BEHATA CHAKTAIRAMDAS ROOM NO. 1",422,355,0,777,299,211,0,510,254,0,76,63,206,138,3,3,1,2,4,0,0,4,5,2,3,510
15,"P.S. KHANWAHA ROOM NO. 1",545,453,0,998,427,296,0,723,187,0,96,95,304,201,2,6,0,1,3,0,2,2,6,1,4,723
16,"P. S. RASULPUR DARGAH ROOM NO. 1",230,213,0,443,182,142,0,324,263,0,77,62,163,15,0,0,0,0,0,0,1,1,4,0,1,324
17,"P. S. MAHAMUDABAD ROOM NO. 1",639,542,0,1181,476,307,0,783,300,0,66,66,421,202,1,4,1,0,1,0,2,6,3,3,7,783
18,"P. S. MAHAMUDABAD ROOM NO. 2",236,198,0,434,176,127,0,303,5,0,9,12,152,124,2,0,0,0,0,0,0,0,2,0,2,303
19,"P. S. INAYATPUR ROOM NO. 1",186,174,0,360,149,127,0,276,4,0,54,13,139,61,1,2,1,1,0,1,0,0,2,1,0,276
20,"P. S. SIKANDARPUR ROOM NO. 1",217,165,0,382,173,120,0,293,180,0,7,4,115,158,0,2,0,0,1,1,1,1,1,1,1,293
21,"P. S. KAIMA ROOM NO. 1",224,211,0,435,169,134,0,303,21,0,91,93,44,62,0,1,1,2,0,1,2,0,2,0,4,303
22,"J. H. S.DHARSANDA ROOM NO. 1",434,376,0,810,356,249,0,605,3,0,105,194,99,191,4,1,0,0,0,1,0,0,1,2,7,605
23,"P. S. BABURIHA M. HARRAI ROOM NO. 1",781,645,0,1426,534,402,0,936,133,0,219,97,410,171,4,1,1,2,1,2,6,3,8,8,3,936
24,"P.S. KURKHILA ROOM NO. 1",573,536,0,1109,451,376,0,827,135,0,215,121,235,240,2,0,4,0,1,1,0,1,5,0,2,827
25,"J. H. S. PEED ROO0M NO. 1",625,510,0,1135,419,298,0,717,693,0,131,106,231,212,1,4,1,0,2,3,1,5,11,6,3,717
26,"J. H. S. PEED ROO0M NO. 2",473,405,0,878,332,233,0,565,270,0,12,146,227,164,2,0,0,1,1,0,2,0,4,3,3,565
27,"P.S. HAJIKAJIPUR ROOM NO. 1",318,256,0,574,252,177,0,429,355,0,136,29,87,168,3,1,0,0,1,0,0,0,2,0,2,429
28,"J.H.S. SALEHANAGAR ROOM NO. 1",621,518,0,1139,481,315,0,796,20,0,42,64,267,400,5,2,0,2,2,4,2,0,3,0,3,796
29,"J.H.S. SALEHNAGAR ROOM NO. 2",577,512,0,1089,411,350,0,761,9,0,110,69,505,35,1,3,1,6,0,3,0,4,10,2,12,761
30,"P. S. KHAREHATA ROOM NO. 1",227,195,0,422,168,132,0,300,15,0,2,92,62,138,1,0,0,0,0,0,0,0,3,0,2,300
31,"J. H. S. REEWA RATANPUR ROOM NO. 1",375,305,0,680,274,179,0,453,298,0,106,56,162,109,3,1,2,1,2,0,1,2,2,4,2,453
32,"J.H.S. HIRPUR ROOM NO. 1",225,181,0,406,156,110,0,266,15,0,6,30,123,100,0,1,2,0,0,0,1,0,1,0,2,266
33,"SALARPUR NORTH PART",530,484,0,1014,420,292,0,712,13,0,266,49,284,96,2,0,0,0,0,2,0,3,4,1,5,712
34,"SARARPUR SOUTH PART",348,282,0,630,254,147,0,401,4,0,28,131,183,39,0,2,1,9,1,0,1,2,3,1,0,401
35,"J. H. S. JASANWARA ROOM N0. 1",361,306,0,667,295,244,0,539,165,0,13,212,276,18,1,2,1,0,1,1,1,1,3,4,5,539
36,"RAM SEVK YADAV S‍MARAK INTER COLLEGE KASIMGANJ",529,438,0,967,408,293,0,701,680,0,61,92,313,211,4,1,2,0,0,0,0,2,6,3,6,701
37,"P. S. PAWAIYABAD ROOM NO. 1",758,643,0,1401,482,335,0,817,107,0,126,154,424,87,1,2,2,0,0,5,0,1,5,6,4,817
38,"P. S. NAVEEN BHAVAN KOTWAKALA ROOM NO. 1",419,376,0,795,265,206,0,471,85,0,24,156,222,53,1,4,1,0,1,0,1,0,5,1,2,471
39,"P. S. NAVEEN BHAVAN KOTWAKALA ROOM N0. 2",483,410,0,893,352,208,0,560,90,0,37,76,341,80,3,3,1,2,3,0,1,1,6,2,4,560
40,"GIRL J. H. S. CHERIYA MAJRE NARAYANBHARI ROOM 2",504,445,0,949,342,234,0,576,122,0,77,82,376,25,1,4,4,0,2,0,1,0,2,0,2,576
41,"GIRL J. H. S. NARAYANBHARI ROOM NO. 2",643,604,0,1247,491,336,0,827,300,0,132,124,364,180,2,3,3,0,1,4,1,1,5,1,6,827
42,"P. S. JOLIYA BANARASPUR ROOM NO. 1",644,592,0,1236,472,316,0,788,10,0,163,137,292,175,2,0,1,1,2,3,3,2,3,2,2,788
43,"P. S. JOLIYA BANARASPUR ROOM NO. 2",282,255,0,537,192,156,0,348,8,0,80,31,134,75,1,0,0,10,0,1,10,0,4,1,1,348
44,"P. S. DEVKALIYA ROOM NO. 1",484,412,0,896,356,284,0,640,128,0,67,116,368,58,1,3,1,1,1,1,6,2,7,1,7,640
45,"P. S. GODHA ROOM NO. 1",687,642,0,1329,499,411,0,910,812,0,151,131,435,177,2,2,1,1,0,2,2,1,4,1,0,910
46,"P. S. DEVGOAN ROOM NO. 1",623,533,0,1156,463,290,0,753,203,0,56,93,404,180,2,2,1,0,0,3,1,1,4,1,5,753
47,"P. S. DEVGOAN ROOM NO. 2",608,532,1,1141,464,335,0,799,72,0,97,182,366,131,2,2,0,0,1,1,1,3,4,2,7,799
48,"P. S. AJGANA ROOM NO. 1",430,379,0,809,331,239,0,570,19,0,140,89,288,34,2,1,1,1,1,1,2,2,3,2,3,570
49,"P.S. AJGANA ROOM NO. 2",456,391,0,847,310,210,0,520,390,0,44,131,188,135,2,0,7,1,0,0,0,1,8,0,3,520
50,"P.S. MAUJANIPUR ROOM NO. 1",573,505,0,1078,427,311,0,738,721,0,104,82,347,184,4,1,2,1,0,1,0,2,5,2,3,738
51,"P.S. MAUJANIPUR ROOM NO. 2",182,174,0,356,132,101,0,233,17,0,93,10,32,97,0,0,0,0,0,0,0,0,1,0,0,233
52,"P.S. MANDAURA ROOM NO. 1",405,358,0,763,302,243,0,545,43,0,109,90,241,88,1,0,2,0,2,1,3,2,3,2,1,545
