"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
1,"P S HARSHPUR",412,373,0,785,272,231,0,503,503,0,30,22,80,338,6,3,2,2,9,6,1,4,503
2,"PS HARSHPUR CHANDUARA ROOM NO. 1",544,489,0,1033,274,274,0,548,548,0,31,49,144,265,4,1,26,4,8,4,3,9,548
3,"PS HARSHPUR CHANDUARA ROOM NO. 2",451,420,0,871,253,192,0,445,430,0,42,36,51,289,3,2,0,0,10,5,1,6,445
4,"JHS MOHAMADPUR ROOM-1",753,590,0,1343,417,343,0,760,760,0,24,90,114,483,1,0,26,3,2,4,3,10,760
5,"BAIJNATH INTER COLLEGE MOHAMMADPUR-2",560,459,0,1019,297,261,0,558,545,0,32,41,134,320,5,1,1,4,8,6,2,4,558
6,"BAIJNATH INTER COLLEGE MOHAMMADPUR 3",447,346,0,793,202,118,0,320,320,0,6,14,53,225,2,1,2,2,5,2,2,6,320
7,"BAIJNATH INTER COLLEGE MOHAMMADPUR-4",687,598,0,1285,342,282,0,624,191,0,73,104,168,207,5,9,10,6,13,10,6,13,624
8,"MAHATMA GANDHI INTER COLLEGE AMANIGANJ",569,519,0,1088,365,274,0,639,588,0,137,60,145,278,0,2,3,2,3,4,2,3,639
9,"PS JHABRA",422,387,0,809,293,251,0,544,544,0,64,36,106,298,5,2,3,6,9,2,5,8,544
10,"PS KOTIA-I - NORTH",650,608,0,1258,368,298,0,666,518,0,99,40,173,317,2,2,1,2,8,4,6,12,666
11,"PS KOTIA -I - SOUTH",803,654,0,1457,392,278,0,670,646,0,104,13,275,251,4,1,1,2,3,4,1,11,670
12,"PS KOTIA II - NORTH",473,407,1,881,234,210,0,444,300,0,51,26,110,239,1,0,1,2,3,5,2,4,444
13,"PS KOTIA II - SOUTH",346,288,0,634,184,166,0,350,348,0,25,22,72,197,4,1,17,2,3,2,3,2,350
14,"PS BHIKHI KA PURA",775,681,0,1456,406,403,0,809,143,0,138,32,215,372,6,5,2,5,8,3,3,20,809
15,"PS ICHHOI",784,695,0,1479,429,425,0,854,108,0,97,27,119,561,5,1,0,6,4,11,6,17,854
16,"PS VINAYAKPUR I - NORTH",697,586,0,1283,431,363,0,794,773,0,156,51,154,355,10,5,27,2,11,9,1,13,794
17,"PS VINAYAKPUR I - SOUTH",469,394,0,863,247,216,0,463,463,0,135,16,82,193,2,3,2,2,4,6,4,14,463
18,"PS TANDVA",783,670,0,1453,467,385,0,852,834,0,131,215,177,266,3,6,9,8,7,5,7,18,852
19,"PS KHADSEPUR",708,613,0,1321,465,340,0,805,805,0,73,155,274,245,3,1,2,2,12,9,9,20,805
20,"PS ORVA CHIRKI - EAST",565,499,0,1064,318,276,0,594,592,0,181,16,156,211,5,2,0,1,7,6,1,8,594
21,"PS ORVA CHIRKI - WEST",434,373,0,807,231,202,0,433,433,0,148,15,122,136,1,0,2,4,1,0,0,4,433
22,"PS BAKAULI",365,302,0,667,204,198,0,402,402,0,98,34,76,171,2,2,5,1,5,5,1,2,402
23,"PS SATNAPUR",433,386,0,819,252,215,0,467,466,0,70,21,135,215,5,1,1,4,4,3,2,6,467
24,"PS NANDAULI",451,430,0,881,345,301,0,646,205,0,213,28,127,260,2,1,2,1,4,2,1,5,646
25,"PS CHAMRUPUR",328,311,0,639,184,178,0,362,322,0,117,19,29,176,3,0,0,2,5,2,2,7,362
26,"PS NAWGAWA",310,286,0,596,225,219,0,444,52,0,88,30,171,146,1,0,1,0,1,1,3,2,444
27,"PS GAHNAG",608,519,0,1127,349,328,0,677,660,0,130,32,35,433,4,6,4,5,9,8,6,5,677
28,"SANSKRIT PATHSHALA RAIPATTI - NORTH",708,614,0,1322,375,304,0,679,654,0,246,18,154,226,7,1,0,1,7,9,2,8,679
29,"SANSKRIT PATHASHALA RAIPATTI - MIDDLE",710,601,1,1312,394,323,0,717,650,0,125,57,136,343,3,4,6,4,13,8,4,14,717
30,"SANSKRIT PATHASHALA RAIPATTI - SOUTH",703,592,0,1295,366,349,0,715,715,0,314,29,91,255,2,1,2,1,6,1,1,12,715
31,"PS RAMNAGAR AMAVANSUFI - EAST",549,478,0,1027,269,244,0,513,468,0,119,58,60,255,2,1,1,1,4,2,4,6,513
32,"PS RAMNAGAR AMAVANSUFI - WEST",628,526,0,1154,342,275,0,617,582,0,118,89,58,313,7,2,1,6,7,4,1,11,617
33,"PS DILI SARAIYA - EAST",442,377,0,819,240,176,0,416,360,0,88,11,89,188,3,5,2,0,4,6,6,14,416
34,"PS DILI SARAIYA EXTRA ROOM(GANDHI ROOM)",453,401,0,854,192,149,0,341,311,0,110,6,70,133,1,1,3,4,1,7,1,4,341
35,"PS DILI SARAIYA - WEST",644,505,0,1149,308,178,0,486,476,0,58,19,110,205,6,2,67,3,3,2,4,7,486
36,"PS DILI SARAIYA - EXTRA ROOM",481,443,0,924,199,222,0,421,415,0,152,23,58,148,7,4,17,1,6,2,0,3,421
37,"PS KANDAIKALA",658,571,0,1229,373,370,0,743,743,0,88,76,199,336,4,6,8,3,10,6,1,6,743
38,"PS IBRAHIMPUR",438,378,0,816,264,263,0,527,482,0,140,91,19,244,11,2,2,2,6,3,3,4,527
39,"PS CHAKWARA",219,208,0,427,133,121,0,254,180,0,135,14,33,55,1,3,4,1,1,2,2,3,254
40,"PS KITHAVAN",582,463,0,1045,274,271,0,545,188,0,55,68,128,246,8,5,10,5,4,4,3,9,545
41,"PS KUNDURKHAKALA",328,289,0,617,174,169,0,343,343,0,105,16,90,117,5,0,0,0,4,5,1,0,343
42,"PS BODEPUR",547,454,0,1001,308,257,0,565,352,0,107,58,96,256,8,2,1,12,6,6,1,12,565
43,"PS SHIVDASPUR",532,467,0,999,278,233,0,511,455,0,131,70,46,230,2,1,1,6,6,3,3,12,511
44,"PS KOTDEEH - EAST",508,440,0,948,249,251,0,500,25,0,87,49,172,180,0,2,2,1,2,3,1,1,500
45,"PS KOTDEEH - WEST",492,436,0,928,222,218,0,440,430,0,149,29,105,143,3,0,6,1,1,0,1,2,440
46,"PS MAUGHANSHYAMPUR",216,178,0,394,122,129,0,251,251,0,62,16,32,134,2,3,1,0,0,0,1,0,251
47,"PS DHOLI ASKARAN",696,630,0,1326,401,358,0,759,759,0,95,33,380,206,3,0,4,4,9,3,3,19,759
