"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
1,"PS RAJAURA NORTH",411,359,0,770,236,206,0,442,442,0,28,153,36,197,0,0,1,3,0,0,1,3,8,2,10,442
2,"PS RAJAURA SOUTH",400,413,0,813,286,260,0,546,470,0,15,345,45,110,3,0,3,4,3,7,0,4,3,4,0,546
3,"PS JALALPUR BHAGGU",749,685,0,1434,417,423,0,840,800,0,29,359,140,261,2,3,0,4,3,0,1,13,8,3,14,840
4,"PS MAURAWAN",385,324,0,709,233,213,0,446,420,0,15,83,138,185,0,0,2,4,1,1,3,10,1,2,1,446
5,"PS DEHARIYAWAN NORTH",367,328,0,695,218,203,0,421,317,0,6,64,35,298,3,2,0,0,1,0,2,4,3,1,2,421
6,"PS   DEHARIYAWAN SOUTH",370,317,0,687,203,183,0,386,383,0,5,22,251,99,0,0,0,1,0,1,0,1,3,2,1,386
7,"PS ASKARANPUR NORTH",643,553,0,1196,361,320,0,681,678,0,27,101,154,370,6,0,1,8,1,3,0,6,2,1,1,681
8,"PS  ASKARANPUR  SOUTH",499,422,0,921,247,199,0,446,445,0,18,61,179,167,3,0,2,2,0,2,1,3,5,3,0,446
9,"PS  SAHAJPUR",392,366,0,758,240,230,0,470,250,0,13,215,128,89,3,0,1,2,0,1,1,6,3,7,1,470
10,"PS  BANKAT",759,684,0,1443,443,380,0,823,461,0,61,114,232,367,7,1,2,4,4,5,5,4,10,3,4,823
11,"KANYA PS  MARUI SAHAYSINGH NORTH",700,591,0,1291,346,322,0,668,655,0,30,86,210,294,5,2,4,4,2,2,2,9,6,5,7,668
12,"KANYA PS  MARUI SAHAYSINGH SOUTH",498,475,0,973,268,275,0,543,441,0,27,114,150,235,1,1,0,2,0,1,2,2,3,2,3,543
13,"PS  SAFIPUR",274,242,0,516,160,150,0,310,310,0,5,66,109,116,0,0,0,0,2,1,2,0,5,1,3,310
14,"PS  GEENJA",191,157,0,348,112,102,0,214,214,0,8,27,25,146,1,0,0,0,0,0,1,1,0,3,2,214
15,"KANYA JHS DAYALJOT",392,342,0,734,231,190,0,421,347,0,14,63,77,242,4,1,2,2,0,7,1,3,1,2,2,421
16,"JHS MOHAMMADPUR",537,448,0,985,278,273,0,551,395,0,25,88,225,190,5,0,1,1,0,0,2,4,5,1,4,551
17,"KANYA PS DEVAPUR",289,257,0,546,102,129,0,231,209,0,2,35,112,70,1,0,1,2,0,0,2,1,3,1,1,231
18,"K. K. A. D. INTER COLLEGE MAZRUDDINPUR EAST",684,603,0,1287,426,371,0,797,797,0,38,181,167,381,4,2,0,1,1,3,2,8,4,1,4,797
19,"K. K. A. D. INTER COLLEGE MAZRUDDINPUR WEST",672,598,0,1270,401,419,0,820,820,0,21,283,150,327,4,2,1,5,1,1,2,2,7,2,12,820
20,"PS BHAWANIPUR (TAJPUR)",507,450,0,957,299,266,0,565,565,0,31,80,242,172,4,3,0,0,2,0,2,6,10,3,10,565
21,"JHS KONCCHA NORTH",692,588,0,1280,365,332,0,697,397,0,34,164,232,232,5,0,0,1,0,3,5,3,4,5,9,697
22,"JHS KONCCHA SOUTH",759,601,0,1360,388,281,0,669,667,0,16,89,268,261,2,0,2,0,2,0,2,6,5,4,12,669
23,"JHS KONCCHA CENTER",659,567,0,1226,367,352,0,719,718,0,19,237,116,290,3,3,2,4,2,10,2,3,10,9,9,719
24,"PS SONVERSA MUSALMEEN",708,624,0,1332,452,328,0,780,624,0,28,218,192,303,0,7,0,4,0,1,2,8,5,5,7,780
25,"PS KODRA MUSALMEEN",371,322,0,693,212,218,0,430,411,0,23,131,110,138,1,4,1,4,1,3,2,6,0,4,2,430
26,"PS MUMARIJNAGAR",597,496,0,1093,267,262,0,529,359,0,12,119,100,269,0,0,1,1,1,1,2,9,6,3,5,529
27,"PS AMAWAN",320,301,0,621,169,189,0,358,358,0,17,135,128,67,1,0,1,1,0,1,1,2,2,2,0,358
28,"PS SARAYKHARGI NORTH",460,383,0,843,235,211,0,446,248,0,37,99,14,274,1,0,0,0,1,0,2,2,4,6,6,446
29,"PS SARAYKHARGI SOUTH",489,428,0,917,278,261,0,539,347,0,18,158,195,150,1,2,0,1,1,1,0,7,0,2,3,539
30,"PS SHIVTAR",706,619,0,1325,409,346,0,755,700,0,63,181,108,362,5,2,1,2,1,2,4,7,8,3,6,755
31,"PS ASREWA ROOM NO. 1",673,563,0,1236,402,320,0,722,722,0,23,114,231,292,3,3,2,4,2,25,5,4,4,3,7,722
32,"PS ASREWA ROOM NO. 2",714,633,0,1347,436,315,0,751,751,0,36,133,169,359,5,5,1,3,3,4,2,8,9,6,8,751
33,"PS HARVANSHPUR",110,103,0,213,69,74,0,143,99,0,2,31,86,23,0,0,0,0,0,0,0,1,0,0,0,143
34,"JHS MANGARI",725,605,0,1330,421,355,0,776,770,0,26,87,420,200,2,3,3,5,1,1,4,9,6,4,5,776
35,"PS RAMNAGAR EAST",236,196,0,432,131,120,0,251,198,0,31,43,73,100,0,1,0,3,0,0,0,0,0,0,0,251
36,"PS RAMNAGAR WEST",803,703,0,1506,486,388,0,874,874,0,145,172,201,319,7,0,3,5,5,3,1,2,6,3,2,874
37,"PS NUWAWA BAIDRA",709,635,0,1344,386,377,0,763,758,0,85,129,193,293,6,3,3,4,1,2,3,13,8,4,16,763
