"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAFISUDDIN","2 - BEGUM NOOR BANO URF MEHTAB","3 - HAJI MOHD YAQOOB","4 - KUNWER SARVESH KUMAR","5 - DR S T HASAN","6 - AMIT KUMAR","7 - KAMAR ALAM","8 - JAIPAL SINGH SAINI","9 - MOHD ZAFAR IQBAL","10 - TEAJ SINGH SAINI","11 - ENGINEER MOHAMMAD IRFAN","12 - VIMAL KUMAR","13 - SATISH CHANDRA SHARMA","14 - SANDEEP KUMAR","15 - SAURABH PRATAP SINGH","16 - HARIOM","17 - RAJ KUMAR GUPTA","18 - ROOPA CHANDRA SINGH","19 - None of the Above","Total Votes Secured"
1,"GOVT. INTER COLLEGE ROOM 3",693,630,0,1323,427,320,0,747,700,0,0,30,21,1,687,1,0,0,0,0,1,3,0,0,0,1,0,0,2,747
2,"GOVT. INTER COLLEGE ROOM 6",241,224,0,465,143,106,0,249,172,0,0,12,11,3,221,0,0,0,0,0,0,2,0,0,0,0,0,0,0,249
3,"PRIMARY SCHOOL LAKDIWALAN ROOM 1",545,476,0,1021,359,251,0,610,607,0,1,17,23,8,553,1,0,0,0,0,1,2,0,1,0,1,1,0,1,610
4,"PRIMARY SCHOOL LAKDIWALAN ROOM 2",713,541,0,1254,392,213,0,605,386,0,1,19,10,3,562,0,0,0,0,0,8,0,1,0,0,0,0,0,1,605
5,"PRIMARY SCHOOL MUGALPURA ROOM 5",428,373,0,801,260,173,0,433,428,0,0,11,13,2,394,2,1,0,0,0,10,0,0,0,0,0,0,0,0,433
6,"MUSLIM GIRLS INTER COLLEGE ROOM 1",808,667,0,1475,525,352,0,877,877,0,1,19,17,4,814,4,0,1,0,0,11,0,0,0,0,3,0,0,3,877
7,"MUSLIM GIRLS INTER COLLEGE ROOM 2",780,681,0,1461,489,294,0,783,713,0,1,18,36,6,714,1,0,0,0,0,1,3,0,0,1,1,0,0,1,783
8,"MUSLIM GIRLS INTER COLLEGE ROOM 3",856,652,0,1508,457,256,0,713,373,0,3,9,9,5,664,5,0,2,1,0,4,2,0,0,3,5,0,0,1,713
9,"PRATAP SINGH GIRLS INTER COLLEGE ROOM 3",185,156,0,341,113,80,0,193,192,0,0,4,0,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
10,"MAHARAJA AGARSEN PUBLIC SCHOOL ROOM 1",435,370,0,805,310,213,0,523,513,0,0,22,4,466,28,0,0,0,0,0,0,1,0,0,1,1,0,0,0,523
11,"PRIMARY SCHOOL KATRA PURANJAAT ROOM 1",566,521,0,1087,404,314,0,718,688,0,2,13,3,661,19,1,1,0,0,0,1,5,0,0,3,0,0,1,8,718
12,"PRIMARY SCHOOL KATRA PURANJAAT ROOM 2",755,675,0,1430,501,386,0,887,886,0,2,17,10,838,3,0,0,1,0,1,0,2,0,0,4,4,0,1,4,887
13,"SUSHILA ARYA JUNIOR HIGH SCHOOL ROOM 3",246,240,0,486,177,177,0,354,320,0,0,10,6,313,15,0,0,0,0,0,0,9,0,0,0,0,0,0,1,354
14,"YADAV RAJPOOT PANCHAYTI DHARAMSHALA MORADABAD",674,613,0,1287,490,421,0,911,430,0,0,10,14,828,51,0,1,0,1,0,0,3,1,0,0,2,0,0,0,911
15,"PARKAR INTER COLLEGE ROOM 1",552,499,0,1051,384,318,0,702,609,0,4,22,8,653,4,0,0,2,0,0,1,4,0,1,1,1,0,0,1,702
16,"PARKAR INTER COLLEGE ROOM 2",593,501,0,1094,409,299,0,708,703,0,1,41,5,616,29,0,2,1,0,0,0,0,0,1,4,1,3,2,2,708
17,"PARKAR INTER COLLEGE ROOM 3",749,608,0,1357,630,431,0,1061,1012,0,3,36,12,881,101,0,0,0,1,0,0,11,1,0,5,1,0,0,9,1061
18,"GULZARIMAL DHARAMSHALA MORADABAD ROOM 1",487,439,0,926,312,258,0,570,563,0,2,17,2,535,7,0,0,0,0,0,0,0,0,0,2,2,0,0,3,570
19,"GULZARIMAL DHARAMSHALA MORADABAD ROOM 2",438,434,0,872,330,264,0,594,581,0,2,5,5,554,10,0,1,0,1,2,1,4,0,0,6,1,1,1,0,594
20,"GULZARIMAL DHARAMSHALA MORADABAD ROOM 3",660,605,0,1265,459,369,0,828,795,0,1,122,26,504,157,0,0,0,1,0,0,3,0,0,4,3,2,0,5,828
21,"ARYA KANYA INTER COLLEGE ROOM 1",832,727,0,1559,542,416,0,958,845,0,0,17,33,880,11,1,1,1,0,1,0,3,0,1,7,1,0,0,1,958
22,"ARYA KANYA INTER COLLEGE ROOM 2",833,777,0,1610,631,491,0,1122,1118,0,0,29,7,1053,9,0,0,0,0,1,0,12,0,1,3,1,1,2,3,1122
23,"S.S. INTER COLLEGE ROOM 1",463,407,0,870,276,207,0,483,422,0,0,12,1,452,5,0,0,0,0,0,0,7,1,0,0,0,0,0,5,483
24,"S.S. INTER COLLEGE ROOM 4",492,481,0,973,361,281,0,642,614,0,1,14,1,594,16,0,0,0,0,0,0,11,0,0,1,0,0,0,4,642
25,"S.S. INTER COLLEGE ROOM 2",471,448,2,921,335,282,0,617,600,0,0,5,4,585,8,0,0,0,0,1,0,9,0,0,2,0,0,1,2,617
26,"S.S. INTER COLLEGE ROOM 3",451,389,0,840,330,220,0,550,534,0,0,12,2,510,11,0,0,0,0,0,0,6,1,1,4,0,0,0,3,550
27,"S.S. INTER COLLEGE ROOM 5",472,446,0,918,324,264,0,588,522,0,0,10,2,546,20,0,0,0,0,0,0,5,0,0,3,0,0,0,2,588
28,"HINDU INTER COLLEGE ROOM 1",755,664,0,1419,479,332,0,811,411,0,3,13,10,750,15,0,0,0,0,1,0,2,5,1,2,0,1,0,8,811
29,"HINDU INTER COLLEGE ROOM 2",656,590,0,1246,412,324,0,736,726,0,1,11,7,675,12,1,0,1,1,2,0,5,2,1,1,3,1,3,9,736
30,"HINDU INTER COLLEGE ROOM 3",692,602,0,1294,452,295,0,747,732,0,2,13,155,547,10,1,0,1,0,1,0,8,0,2,1,1,2,0,3,747
