"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
1,"P.P. BABHAN PURWA EAST",630,455,0,1085,285,230,0,515,608,0,19,24,246,73,42,0,3,82,3,3,0,3,5,2,4,6,515
2,"P.P. BABHAN PURWA WEST",438,324,0,762,199,107,0,306,300,0,29,8,199,19,20,1,0,24,0,2,0,1,0,2,1,0,306
3,"J. H. SHCOOL ALLIPUR BUJURG",361,255,0,616,187,128,0,315,315,0,17,9,153,66,32,1,1,16,2,2,1,2,2,4,3,4,315
4,"P.P. AMARE BHARIYA",489,365,0,854,199,173,0,372,372,0,147,10,111,24,27,1,1,22,3,5,1,2,3,5,3,7,372
5,"P.P. PIPRA EKDANGA EAST",460,337,0,797,168,84,0,252,252,0,2,6,155,58,7,1,0,22,0,0,0,0,1,0,0,0,252
6,"P.P. PIPRA EKDANGA WEST",439,359,0,798,201,158,0,359,357,0,52,6,139,72,70,0,2,8,1,3,1,1,2,1,0,1,359
7,"P.P. BARAYAL",369,291,0,660,190,161,0,351,349,0,4,4,93,169,14,0,2,45,2,5,0,1,4,0,1,7,351
8,"P.P. UPRAHULA",364,276,0,640,120,92,0,212,210,0,16,3,90,73,14,0,0,5,0,3,1,0,6,1,0,0,212
9,"P.P. RAJPUR MAFI",379,321,0,700,126,108,0,234,216,0,14,6,117,67,17,0,0,8,0,1,1,0,3,0,0,0,234
10,"P.P. KATRA",548,481,0,1029,302,269,0,571,571,0,45,18,312,62,113,2,2,6,2,0,0,1,5,1,0,2,571
11,"P.P. BARAM K0 N0-1",652,479,0,1131,301,216,0,517,246,271,94,19,283,48,45,4,2,9,1,1,0,3,2,0,0,6,517
12,"P.P. BARAM K0 N0-2",238,190,0,428,132,87,0,219,164,0,10,7,96,16,20,1,1,58,2,1,1,1,2,1,1,1,219
13,"P.P. KOHINIYA",302,203,0,505,185,123,0,308,227,81,55,12,150,18,33,1,0,35,0,1,0,0,1,2,0,0,308
14,"P.P. FATTEPUR",607,504,0,1111,305,254,0,559,559,0,73,9,177,162,107,1,1,6,1,0,3,0,5,6,7,1,559
15,"P.P. RUSTAM NAGAR",594,468,0,1062,255,168,0,423,364,0,57,10,157,19,153,3,0,8,0,3,1,3,2,1,0,6,423
16,"P.P. ALLANAGAR",402,333,0,735,200,207,0,407,403,0,66,8,246,47,19,0,0,6,1,2,0,0,3,2,2,5,407
17,"P.P. FAGUIYA",203,180,0,383,131,111,0,242,242,0,61,4,98,26,47,1,0,0,0,0,1,1,0,2,0,1,242
18,"J. H. SHCOOL",167,148,0,315,79,76,0,155,150,0,8,4,61,3,75,2,0,1,0,0,0,0,0,0,0,1,155
19,"P.P. PALAPUR",809,693,0,1502,370,375,0,745,730,0,117,11,168,369,46,1,1,6,3,2,1,0,1,5,2,12,745
20,"P.P. BIRDA BANIYA BHARI",931,649,0,1580,247,341,0,588,588,0,114,16,176,137,104,2,1,5,0,7,0,3,6,3,2,12,588
21,"P.P. MOHANJOT WEST",462,395,0,857,142,108,0,250,250,0,38,9,88,34,61,0,0,13,1,2,0,1,0,2,0,1,250
22,"P.P. MOHANJOT EAST",695,541,0,1236,266,229,0,495,495,0,33,15,159,60,201,0,3,14,1,6,0,1,0,0,0,2,495
23,"P.P. MILAULI BAGHAJOT",386,276,0,662,234,148,0,382,382,0,36,13,204,17,84,1,0,16,1,0,1,2,2,2,1,2,382
24,"P.P. MATIYARIYA KARMA",726,553,0,1279,364,271,0,635,600,0,86,21,267,169,71,2,0,6,1,0,0,1,6,2,2,1,635
25,"P.P. TILKHI BADHYA",869,681,0,1550,422,328,0,750,750,0,139,21,461,36,36,0,2,27,3,4,2,1,3,9,1,5,750
26,"P.P. DEVARIYA ARJUN",265,215,0,480,170,137,0,307,307,0,5,11,267,20,1,0,0,0,0,0,0,1,0,0,1,1,307
27,"P.P. MAHUWADHANI EAST",799,595,0,1394,387,222,0,609,609,0,140,15,185,174,47,1,0,35,1,1,0,0,2,4,2,2,609
28,"P.P. MAHUWADHANI WEST",879,664,0,1543,208,380,0,588,380,0,20,17,235,190,32,1,0,83,0,0,0,0,8,1,0,1,588
29,"P.P. SURAHIYA DEWAR",282,240,0,522,106,99,0,205,205,0,23,9,83,27,32,1,0,22,0,0,1,2,1,0,0,4,205
30,"P.P. DODADEEH NORTH ( MAJRA PARSAUNA)",851,672,0,1523,343,251,0,594,594,0,80,10,248,39,42,1,1,158,4,0,0,1,6,2,0,2,594
31,"P.P. DODADEEH SOUTH ( MAJRA PARSAUNA)",733,587,0,1320,302,134,0,436,432,0,92,7,126,116,54,2,2,29,0,3,1,0,1,2,1,0,436
32,"P.P. DUBAULI (MAJRA PARSAUNA)",754,548,0,1302,293,182,0,475,350,0,83,9,197,112,16,0,1,41,1,1,1,2,1,3,2,5,475
