"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
1,"P.S. CHAUBAH",671,602,0,1273,536,425,0,961,961,0,18,478,168,259,10,2,5,0,1,0,5,8,1,6,961
2,"P.S. BAKYNIYA DEEP",883,705,1,1589,495,446,0,941,323,0,18,133,401,361,5,1,3,1,1,1,5,5,2,4,941
3,P.S.NACHANA,615,533,0,1148,371,328,0,699,699,0,18,186,192,282,3,1,1,0,1,1,2,3,3,6,699
4,"P.S. FOOLWARIYA BARGAH",361,301,0,662,181,154,0,335,327,0,5,150,91,65,1,0,3,1,10,0,0,5,2,2,335
5,"P.S. METAN JOOT",590,518,0,1108,342,328,0,670,230,0,35,117,234,268,4,1,4,0,2,0,1,3,0,1,670
6,"P.S. NAGAR FIRST",594,438,0,1032,345,250,0,595,584,0,13,141,47,379,4,1,1,0,1,1,1,0,1,5,595
7,"P.S. NAGAR FIRST",463,408,0,871,263,242,0,505,470,0,8,116,29,335,4,0,0,1,0,2,0,1,2,7,505
8,"P.S. NAGAR FIRST",598,541,0,1139,283,289,0,572,565,0,22,269,21,248,2,0,1,1,1,1,0,1,1,4,572
9,"P.S. NAGAR FIRST",492,354,0,846,225,223,0,448,448,0,22,127,43,243,1,0,3,0,2,0,2,1,2,2,448
10,"P.S. NAGAR SECOND",582,460,0,1042,327,289,0,616,613,0,9,109,166,286,5,0,4,3,2,1,7,6,3,15,616
11,"P.S. NAGAR SECOND",444,335,0,779,204,197,0,401,401,0,9,88,42,228,5,1,6,1,4,2,1,1,1,12,401
12,"J.H.S. NAGAR",803,691,0,1494,354,401,0,755,755,0,31,132,70,461,10,2,3,4,2,8,9,5,5,13,755
13,"P.S. HARNAKHA",573,514,0,1087,318,283,0,601,591,0,27,88,168,279,9,0,8,1,3,1,4,3,3,7,601
14,"P.S. LAKHNAHAT",461,430,0,891,254,225,0,479,470,0,50,23,137,251,3,1,0,3,3,0,0,5,0,3,479
15,"J.H.S.BHOYAR UPADHYA",206,195,0,401,103,130,0,233,233,0,4,75,24,119,3,0,1,2,0,0,2,0,1,2,233
16,"P.S. HATHIYA",311,250,0,561,181,160,0,341,59,0,1,64,103,157,2,0,0,1,0,0,1,2,2,8,341
17,"P.S. JASEPUR",269,204,0,473,142,134,0,276,274,0,4,75,67,116,1,1,1,0,1,1,3,1,2,3,276
18,"J.H.S. SCHOOL ATHDAMA",392,299,0,691,276,187,0,463,85,0,2,357,36,65,0,0,2,0,0,0,0,1,0,0,463
19,"P.S. DUBHRA CHAUBY",339,276,0,615,195,177,0,372,372,0,25,103,123,109,1,0,1,0,1,1,1,4,1,2,372
20,"P.S. NAGHARA",317,268,0,585,164,179,0,343,150,0,8,95,142,89,2,0,0,2,0,1,1,0,2,1,343
21,"P.S. POKHRNEE",508,351,0,859,228,256,0,484,380,0,35,108,48,257,5,2,4,2,0,2,2,5,5,9,484
22,"P.S. POKHRNEE",412,369,0,781,205,228,0,433,400,0,16,89,143,180,1,0,2,0,0,0,1,0,0,1,433
23,"P.S. KAYTHWALIYA",439,401,0,840,209,213,0,422,422,0,24,142,72,162,6,2,2,1,3,0,0,1,2,5,422
24,"P.S. PAKRI MISHRAYN",735,654,0,1389,385,391,0,776,772,0,20,216,213,296,8,2,1,1,1,0,2,3,0,13,776
25,"P.S. KADAU JAT",573,508,0,1081,319,320,0,639,638,0,11,113,181,293,3,5,1,3,1,5,4,6,4,9,639
26,"P.S. KADAU KHURD",484,402,0,886,248,248,0,496,494,0,10,63,122,281,8,1,2,0,1,1,3,0,0,4,496
27,"P.S. KRHALI BUZURG",421,347,0,768,253,248,0,501,501,0,15,56,178,236,4,1,1,3,1,2,1,1,1,1,501
28,"P.S. SESWARI RAGHUVEER SINGH",591,524,0,1115,360,297,0,657,657,0,12,201,193,207,8,4,4,8,2,2,2,1,3,10,657
29,"P.S. BABHNIYAW BUZURG",714,640,0,1354,369,405,0,774,237,0,14,192,235,299,5,3,4,3,3,2,3,0,1,10,774
30,"P.S. BABHNIYAW KHURD",665,573,1,1239,411,343,0,754,721,0,15,374,87,237,8,3,3,4,9,1,0,3,2,8,754
31,"S.N.U.M.V. DEVAPAR",653,572,0,1225,354,397,0,751,748,0,21,131,309,241,7,3,6,3,5,3,5,4,1,12,751
32,"S.N.U.M.V. DEVAPAR",253,218,0,471,157,143,0,300,224,0,5,137,79,67,2,1,0,0,2,1,0,1,2,3,300
33,"P.S. RAUSINGHAPAR",216,193,0,409,154,150,0,304,304,0,2,9,219,67,0,0,2,1,0,0,1,2,0,1,304
34,"P.S. KUDHA PATTI PARTHI",524,508,0,1032,289,290,0,579,520,0,16,59,245,210,7,1,4,3,3,1,3,8,3,16,579
35,"P.S. KUDHA PATTI DARIYAV",468,343,0,811,315,275,0,590,585,0,5,79,269,221,3,0,5,1,0,0,1,3,2,1,590
36,"P.S. TEMA",639,564,1,1204,331,376,0,707,707,0,34,233,134,295,3,0,1,0,0,0,0,1,2,4,707
37,"P.S. MARWATIYA BABU",604,568,0,1172,358,287,0,645,592,0,25,183,186,208,3,2,1,3,4,5,8,5,4,8,645
38,"P.S. KHUTAHANA",437,389,0,826,274,234,0,508,505,0,10,117,80,286,5,1,0,0,1,0,3,3,1,1,508
39,"K.U.M.V. BELADI",564,481,0,1045,311,265,0,576,573,0,66,99,201,184,2,0,2,1,3,1,3,4,4,6,576
40,"PANCHAYAT BHAWAN OTHDHANPUR KALA",386,356,0,742,266,249,0,515,491,0,22,230,159,74,10,11,1,1,0,1,1,2,1,2,515
41,"P.S. DAYALPUR",428,361,0,789,264,255,0,519,399,0,2,85,179,244,1,0,1,1,1,1,0,0,0,4,519
42,"P.S. PAGAR",390,318,0,708,227,208,0,435,430,0,19,176,70,154,4,0,3,1,2,1,1,0,2,2,435
43,"P.S. MADAN",375,345,0,720,197,196,0,393,390,0,2,116,78,181,3,0,0,1,4,2,1,3,1,1,393
44,"P.S. BAKSAR",746,613,0,1359,373,448,0,821,321,0,27,153,188,428,7,1,4,1,1,2,3,2,1,3,821
45,"P.S. BAKSAR",498,434,0,932,283,271,0,554,554,0,30,332,26,150,1,3,1,2,0,0,1,0,0,8,554
46,"P.S. CHANDO",758,693,0,1451,473,387,0,860,35,0,29,374,155,268,5,1,3,3,2,3,4,6,6,1,860
47,"P.S. MALHAWARA",395,342,0,737,276,165,0,441,421,0,9,83,117,207,2,1,1,0,0,0,5,6,5,5,441
48,"P.S. AGAI BHAGAN",599,527,0,1126,415,350,0,765,755,0,6,283,189,127,4,2,2,4,132,2,0,5,4,5,765
49,"P.S. AGAI BHAGAN",620,571,0,1191,415,357,0,772,415,0,75,162,272,174,4,1,3,3,43,6,4,7,4,14,772
50,"P.S. BAGIYAPAR",459,360,0,819,203,172,0,375,360,0,30,105,57,153,9,0,5,3,6,2,1,1,1,2,375
51,"P.S. RAJALI",293,233,0,526,131,145,0,276,272,0,3,120,53,72,4,20,1,0,1,1,1,0,0,0,276
52,"P.S. BHELWAL",634,541,0,1175,398,362,0,760,760,0,4,143,225,361,7,0,3,1,2,0,3,8,1,2,760
53,"P.S. NARAYANPUR",402,394,0,796,251,280,0,531,530,0,6,271,69,160,4,0,1,0,1,4,2,3,4,6,531
54,"P.S. KATARUWAVEER SINGH",249,222,0,471,147,117,0,264,258,0,8,116,40,94,1,2,2,0,0,0,1,0,0,0,264
55,"P.S. PRATAPPUR",484,438,0,922,242,219,0,461,436,0,9,91,134,210,4,0,1,2,0,1,0,1,5,3,461
56,"P.S. ARWAPUR",274,238,0,512,143,145,0,288,273,0,3,70,99,111,3,0,1,0,0,0,0,1,0,0,288
57,"P.S. SISWARI BADAN SINGH",373,298,0,671,194,217,0,411,160,0,8,242,95,57,1,1,1,1,0,0,0,1,1,3,411
58,"P.S. DHAURAHRA",697,623,0,1320,461,366,0,827,605,0,43,307,170,222,20,2,7,4,5,7,4,11,3,22,827
59,"H.S.S. PIPARA GAUTAM EAST",431,346,0,777,188,217,0,405,405,0,4,106,58,140,1,1,1,3,71,5,3,1,3,8,405
60,"H.S.S. PIPARA GAUTAM WEST",755,660,0,1415,491,429,0,920,530,0,8,309,208,341,5,2,2,1,10,1,3,8,6,16,920
61,"H.S.S. PIPARA GAUTAM SOUTH",552,508,0,1060,369,275,0,644,620,0,14,319,26,257,1,2,4,0,4,1,7,3,1,5,644
62,"H.S.S. PIPARA GAUTAM MIDDLE",611,553,0,1164,375,344,0,719,500,0,15,360,83,221,3,1,1,1,6,0,2,5,5,16,719
63,"P.S. MAHADEVA",426,336,0,762,287,220,0,507,284,0,9,328,26,134,3,0,1,2,0,0,0,0,1,3,507
64,"P.S. CHILWANIYA",523,422,0,945,391,320,0,711,705,0,12,547,77,55,0,1,1,0,1,1,0,3,6,7,711
65,"P.S. BHUWANI",679,551,0,1230,479,375,0,854,852,0,12,647,62,97,1,0,1,1,0,1,2,6,9,15,854
66,"P.S. BALUWA",321,252,0,573,193,207,0,400,399,0,5,313,40,36,1,0,1,1,0,0,0,1,1,1,400
67,"P.S. GANGIYAKOHAL",366,287,0,653,322,233,0,555,555,0,3,520,14,13,3,0,0,0,0,0,0,0,0,2,555
68,"J.H.S. CHANGERA",247,222,0,469,200,145,0,345,272,0,0,309,16,16,0,0,0,0,0,0,0,1,1,2,345
69,"P.S. SUKARAULI",401,311,0,712,248,211,0,459,98,0,14,247,89,88,1,1,1,1,8,0,1,3,2,3,459
70,"P.S. HALUWAPAR",559,464,0,1023,416,321,0,737,499,0,15,340,125,244,1,0,2,1,0,1,2,2,0,4,737
71,"P.S. GOPALPUR",825,682,0,1507,532,422,0,954,900,0,13,465,218,222,6,1,1,2,1,0,4,4,4,13,954
72,"P.S. UMARI",162,137,0,299,97,105,0,202,202,0,15,11,73,93,4,1,1,0,0,1,1,0,0,2,202
73,"P.S. BALLIPAPPI",187,191,0,378,123,143,0,266,15,0,2,95,159,3,1,2,0,0,0,0,0,1,1,2,266
74,"P.S. CHHARAUCHHA",656,593,1,1250,399,431,0,830,813,0,9,314,146,329,5,2,0,0,1,2,3,4,7,8,830
75,"P.S. TADIJOT EAST",285,262,0,547,205,188,0,393,393,0,5,79,121,176,2,0,0,1,0,1,2,4,0,2,393
76,"P.S. TADIJOT EAST",312,280,0,592,205,196,0,401,198,0,12,109,116,153,3,0,2,1,1,0,0,0,0,4,401
77,"P.S. SAMASPUR",608,548,0,1156,514,216,0,730,729,0,11,576,64,76,0,2,0,0,1,0,0,0,0,0,730
78,"P.M.V. KHAKHUAA",553,496,0,1049,369,345,0,714,699,0,7,115,140,436,5,0,0,0,4,1,1,2,0,3,714
79,"P.S. SUSIPAR",527,415,0,942,354,246,0,600,536,0,8,190,263,118,2,1,0,1,1,0,4,0,1,11,600
80,"P.S. SAHUPAR",845,695,0,1540,478,350,0,828,720,0,12,488,167,133,2,0,1,0,1,0,4,5,3,12,828
81,"P.S. SAHUPAR",275,214,0,489,145,120,0,265,263,0,3,92,102,59,0,0,1,1,1,0,0,0,3,3,265
82,"P.S. PHARADA",354,309,0,663,221,191,0,412,410,0,5,179,155,68,1,0,2,0,0,0,0,0,1,1,412
83,"P.S. SODHARI",297,248,0,545,234,172,0,406,367,0,10,226,101,55,0,6,0,0,1,1,1,2,1,2,406
84,"P.S. RAKSA",215,174,0,389,166,112,0,278,278,0,4,246,9,19,0,0,0,0,0,0,0,0,0,0,278
