"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
1,P.P.KHANUWA,459,428,0,887,276,290,0,566,564,0,281,95,129,11,0,3,2,1,0,2,5,2,0,1,1,7,7,6,2,1,2,2,1,5,566
2,"P.P. FARENDA",623,547,0,1170,383,367,0,750,713,0,265,277,118,18,1,2,2,1,2,2,4,1,1,3,10,10,6,6,3,1,1,6,5,5,750
3,"P.P. A.S. URF KEWTALIYA K.N.1",380,342,0,722,235,224,0,459,459,0,259,46,109,17,1,1,2,0,0,1,6,1,1,4,1,3,2,0,0,2,2,0,0,1,459
4,"P.P. A.S. URF KEWATALIYA K.N.2",501,484,0,985,332,306,0,638,638,0,243,110,210,27,3,0,2,0,1,2,1,1,0,3,1,17,4,1,3,0,5,1,0,3,638
5,"P.P. JUGAULI PURAB EK KACCHIY BHAWAN",830,672,2,1504,445,344,0,789,776,0,199,116,344,74,1,0,17,0,5,0,4,3,0,1,0,3,6,6,3,0,2,1,1,3,789
6,"P.P. JUGAULI PASCHIM EK KACHHIY BHAWAN",389,304,0,693,253,211,0,464,464,0,122,51,197,74,0,0,0,2,3,1,0,1,0,1,0,3,0,3,0,0,0,1,0,5,464
7,"KANYA P.P. JUGAULI K.N.1",374,306,0,680,291,202,0,493,333,0,82,64,282,45,2,0,2,1,1,0,2,1,0,0,0,5,0,2,0,0,1,0,0,3,493
8,"KANYA P.P. JUGAULI",579,506,1,1086,349,308,0,657,640,0,86,87,422,36,0,0,0,0,3,2,2,0,2,0,1,4,2,1,1,0,1,1,2,4,657
9,"P.P. SUKARAULI",620,517,1,1138,431,356,0,787,787,0,124,214,234,154,6,4,3,0,3,0,5,3,5,3,1,12,5,5,2,1,1,2,0,0,787
10,"P.P. SUKARAULI",448,356,0,804,234,174,0,408,397,0,87,74,154,79,0,1,0,0,3,1,1,0,2,0,1,3,1,0,0,0,0,1,0,0,408
11,"P.P. NAUNIYA",774,664,0,1438,453,378,0,831,831,0,272,150,208,61,3,1,1,5,4,2,6,2,0,9,7,82,7,2,1,1,1,4,2,0,831
12,P.P.SHYAMKAT,526,471,0,997,380,314,0,694,694,0,159,248,208,33,2,1,0,1,1,2,2,2,2,0,3,8,3,7,3,0,2,5,0,2,694
13,"P.P. BHAGAWANPUR UTTAR",682,544,0,1226,461,362,0,823,819,0,227,374,170,14,1,1,1,0,7,0,2,0,0,2,1,4,6,7,1,1,0,1,1,2,823
14,"P.P. BHAGAWANPUR DASHIN",506,430,0,936,364,303,0,667,667,0,164,254,192,9,1,2,3,1,9,0,1,1,0,0,1,14,3,3,2,1,0,4,1,1,667
15,"P.P. NIPANIYA K0N01",459,401,0,860,302,281,0,583,583,0,64,228,233,11,2,2,1,1,0,1,3,2,4,2,0,13,4,2,2,0,4,2,0,2,583
