"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
1,"LALBAHADUR SHASTRI PU.MA.VID.MOHRIPUR ROOM.NO.1",776,596,0,1372,450,325,0,775,425,0,11,413,95,222,2,2,4,2,1,5,2,0,5,7,2,2,775
2,P.VID.MOHARIPUR.GORAKHPUR,315,248,0,563,177,142,0,319,317,0,10,137,65,98,1,3,0,1,0,0,2,0,1,1,0,0,319
3,P.VID.MOHARIPUR.GORAKHPUR,460,375,0,835,273,250,0,523,179,0,8,322,30,143,3,1,1,0,0,1,0,1,4,3,0,6,523
4,P.VID.MOHARIPUR.GORAKHPUR,412,327,0,739,218,214,0,432,378,0,24,229,46,117,1,2,3,0,0,4,1,0,2,1,1,1,432
5,"LALBAHADUR SHASTRI PU.MA.VID.MOHRIPUR ROOM.NO.5",656,516,0,1172,380,360,0,740,740,0,11,542,51,103,1,3,4,0,4,2,0,3,2,2,5,7,740
6,"LALBAHADUR SHASTRI PU.MA.VID.MOHRIPUR ROOM.NO.6",528,379,0,907,348,241,0,589,55,0,20,438,86,29,0,0,2,1,3,6,1,0,2,0,0,1,589
7,"LALBAHADUR SHASTRI PU.MA.VID.MOHRIPUR ROOM.NO.7",479,430,0,909,299,273,0,572,525,0,12,262,55,213,0,0,5,2,1,12,0,1,1,6,0,2,572
8,"MADHAN MOHAN MALVIYA I.COLL.BHAGWANPUR ROOM.NO.1",832,639,0,1471,390,268,0,658,40,0,36,512,25,58,1,0,1,2,2,17,0,0,0,2,0,2,658
9,"MADAN MOHAN MALVIYA I.COLL.BHAGWANPUR ROOM.NO.2",721,557,0,1278,328,259,0,587,240,0,34,483,22,22,0,1,1,1,4,12,1,0,0,0,1,5,587
10,"MADAN MOHAN MALVIYA I.COLL.BHAGWANPUR ROOM.NO.3",658,484,0,1142,285,197,0,482,200,0,27,410,9,17,1,0,1,0,1,12,0,0,0,0,0,4,482
11,"MADAN MOHAN MALVIYA I.COLL.BHAGWANPUR ROOM.NO.4",856,721,0,1577,439,339,0,778,680,0,41,613,31,55,1,1,8,0,0,21,0,0,0,0,0,7,778
12,"MADAN MOHAN MALVIYA I.COLL.BHAGWANPUR ROOM.NO.5",651,504,1,1156,217,225,0,442,300,0,24,355,22,20,0,1,1,0,0,13,0,0,0,1,0,5,442
13,"P.VID..JAN.NAKHA.NO.02 ROOM.NO.1.POORAB",579,452,1,1032,289,214,0,503,206,0,28,376,71,17,0,0,1,0,1,5,1,0,0,1,0,2,503
