"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
1,"P.V.NEWAS ROOM NO 1",548,480,0,1028,281,271,0,552,9,0,84,230,83,108,2,1,7,1,6,1,2,2,5,4,10,6,552
2,"P.V NEWAS ROOM NO. 2",418,331,0,749,188,168,0,356,353,0,89,191,34,16,0,0,2,1,1,0,2,3,4,4,3,6,356
3,"P.M.V NEWAS ROOM NO 1",600,465,0,1065,265,204,0,469,469,0,92,236,8,100,1,1,1,1,0,0,2,1,3,7,5,11,469
4,"P.V TIVRAN",757,604,0,1361,416,366,0,782,782,0,83,526,42,54,3,1,3,3,2,18,5,6,9,4,10,13,782
5,"P.V BHAGVANPUR",388,312,0,700,195,184,0,379,379,0,73,97,5,193,1,0,0,0,1,0,0,3,3,1,0,2,379
6,"P.V HASPATI",243,202,0,445,155,130,0,285,266,0,35,199,10,29,2,2,0,2,0,1,1,0,0,2,1,1,285
7,"P.V GOVINDPUR ROOM NO 1",394,311,0,705,163,178,0,341,341,0,50,175,37,50,0,1,3,0,1,2,3,2,4,6,3,4,341
8,"P.V GOVINDPUR ROOM NO 2",804,651,0,1455,353,365,0,718,718,0,69,259,86,218,3,6,12,2,5,8,6,3,10,5,8,18,718
9,"P.V SONBARSA",721,566,0,1287,340,375,0,715,315,0,292,159,56,163,1,3,3,0,0,3,2,3,6,3,5,16,715
10,"P.V SEHRI",719,565,0,1284,390,363,0,753,753,0,78,176,187,248,8,1,15,0,4,2,1,4,11,6,3,9,753
11,"P.V NARANGPATTI",676,543,0,1219,351,279,0,630,630,0,120,273,139,56,1,2,4,0,4,10,1,3,5,0,4,8,630
12,"P.V JALHEPAR",557,431,0,988,303,243,0,546,46,0,37,268,106,107,0,0,0,0,0,0,0,1,6,8,6,7,546
13,"P.V THATEBARI",306,249,0,555,177,138,0,315,315,0,11,200,7,80,1,0,1,1,0,1,1,1,5,4,2,0,315
14,"P.V CHANDRAV",537,425,0,962,290,226,0,516,1,0,45,339,98,2,5,0,0,0,3,11,1,0,0,2,4,6,516
15,"SANKUL BHAWAN CHANDRAV",562,461,0,1023,265,249,0,514,11,0,33,302,35,115,0,1,10,1,1,3,0,0,1,3,4,5,514
16,"P.V MUJAULI",572,433,0,1005,322,263,0,585,541,0,42,417,44,61,1,0,0,1,0,2,0,2,4,4,7,0,585
17,"P.V VIDAR",478,405,0,883,218,257,0,475,475,0,16,339,45,51,0,0,1,0,0,2,0,2,1,3,10,5,475
18,"P.V MANT ROOM NO 1",772,575,1,1348,363,322,0,685,677,0,46,398,70,123,4,0,7,1,3,2,2,5,7,6,9,2,685
19,"P.V MANT ROOM NO 2",616,500,0,1116,319,278,0,597,9,0,52,240,99,170,1,2,2,2,0,4,0,3,6,4,1,11,597
20,"P.V SISAI",697,546,0,1243,388,370,0,758,758,0,28,274,153,273,3,0,3,2,0,0,1,1,6,5,5,4,758
21,"P.M.V BHAKSA ROOM NO 1",412,295,0,707,218,147,0,365,365,0,74,117,122,33,1,0,1,0,0,2,1,1,2,2,6,3,365
22,"P.M.V BHAKSA ROOM NO 2",549,428,0,977,284,242,0,526,26,0,52,64,135,228,5,0,4,0,1,2,1,1,6,11,5,11,526
23,"P.V MATIYARI",379,300,0,679,213,156,0,369,22,0,54,248,17,41,1,1,0,1,0,1,0,0,1,0,1,3,369
