"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
1,"P.PMEHARULI UTTAR",440,322,0,762,180,184,0,364,20,0,204,4,126,16,1,1,0,1,0,1,4,2,4,364
2,"P.P MEHARULI D.",730,656,0,1386,273,295,0,568,336,0,227,14,306,11,0,0,0,2,1,1,1,0,5,568
3,"P.P KUSMUL UTTAR",730,593,0,1323,349,287,0,636,593,0,379,136,66,26,7,1,0,3,1,6,1,1,9,636
4,"P.P KUSMAUL D.",602,513,0,1115,243,265,0,508,19,0,214,51,197,16,0,1,1,1,3,2,7,1,14,508
5,"J.H.S NAURDEUR",269,203,1,473,132,95,0,227,117,0,127,33,57,3,0,1,0,0,3,0,1,0,2,227
6,"P.P CHANDULI KHURD",303,239,0,542,132,176,0,308,304,0,25,2,254,9,0,0,0,2,5,2,3,1,5,308
7,"P.P DAVARPAR UTTAR",554,480,0,1034,222,168,0,390,3,0,196,8,152,22,1,0,1,0,0,2,1,0,7,390
8,"P.P DAVARPAR D.",646,496,0,1142,232,211,0,443,1,0,126,157,132,12,0,0,2,3,2,3,2,1,3,443
9,"P.P CHARPAN BUJURG UTTAR",547,426,0,973,196,186,0,382,1,0,245,2,50,67,2,0,0,3,2,2,2,3,4,382
10,"P.P CHARPAN KHURD D.",498,449,0,947,209,201,0,410,405,0,208,2,172,9,2,0,0,1,4,4,2,0,6,410
11,"P.P SUAADA PURAB",401,328,0,729,184,161,0,345,145,0,220,39,45,9,2,1,1,1,0,6,6,3,12,345
12,"P.P SUAADA P.",560,489,0,1049,207,220,0,427,1,0,212,15,178,8,1,0,1,0,0,3,2,2,5,427
