"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
1,"PRI. SCHOOL RATUPURA ROOM-1",473,429,0,902,320,181,0,501,498,0,217,1,267,1,3,0,1,0,0,1,0,2,2,6,501
2,"PRI. SCHOOL RATUPURA ROOM-2",483,390,0,873,311,192,0,503,503,0,326,5,141,26,0,0,0,0,0,2,1,2,0,0,503
3,"JU. HI. SCHOOL RATUPURA ROOM-1",545,414,0,959,328,184,0,512,512,0,332,3,91,72,2,0,1,0,0,2,3,1,2,3,512
4,"JU. HI. SCHOOL RATUPURA ROOM-2",510,393,0,903,270,167,0,437,437,0,234,2,171,16,0,0,3,0,1,0,0,1,2,7,437
5,"PRI. SCHOOL NAGLA NEEDAR",598,487,0,1085,368,320,0,688,688,0,110,24,40,400,6,84,2,2,1,2,4,1,1,11,688
6,"PRI. SCHOOL KHAIMPUR",431,339,0,770,318,233,0,551,551,0,188,2,2,335,5,1,0,0,1,3,6,2,3,3,551
7,"PRI. SCHOOL SEVAPUR",553,421,0,974,451,311,0,762,762,0,399,7,11,315,4,6,0,2,3,1,4,3,3,4,762
8,"PRI. SCHOOL BHAISODA",728,590,0,1318,502,382,0,884,884,0,224,8,10,584,9,13,1,1,3,5,13,4,2,7,884
9,"PRI. SCHOOL BHAISODA ROOM-2",619,430,0,1049,426,237,0,663,663,0,92,3,145,378,4,8,16,0,1,2,5,4,1,4,663
10,"JU. HI. SCHOOL GUMSANI ROOM-1",866,724,0,1590,835,407,0,1242,1242,0,841,12,7,341,3,6,0,0,1,0,8,6,4,13,1242
11,"JU. HI. SCHOOL GUMSANI ROOM-2",704,552,0,1256,479,332,0,811,811,0,78,68,38,585,5,5,0,6,3,1,10,4,4,4,811
