"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
1,"JUNIOR HIGH  SCHOOL GOITI BUJURG ROOM NU. 1",602,505,0,1107,329,287,0,616,596,0,187,177,89,141,0,2,1,0,1,2,0,4,4,2,6,616
2,"JUNIOR HIGH  SCHOOL GOITI BUJURG ROOM NU. 2",334,279,0,613,176,131,0,307,307,0,42,169,45,30,1,1,2,9,1,0,1,0,3,1,2,307
3,"JUNIOR HIGH  SCHOOL SISWA GOITI ROOM NU. 1",213,160,0,373,97,69,0,166,161,0,96,65,0,2,1,0,0,1,0,0,0,0,1,0,0,166
4,"JUNIOR HIGH  SCHOOL SISWA GOITI ROOM NU. 2",645,529,0,1174,397,315,0,712,712,0,225,136,37,283,4,2,1,3,1,1,3,10,3,1,2,712
5,"JUNIOR HIGH  SCHOOL SISWA GOITI ROOM NU. 3",316,233,0,549,182,133,0,315,315,0,131,68,7,96,0,2,0,1,2,0,0,1,0,3,4,315
6,"PRIMARY SCHOOL SABYA ABADKARI ROOM NU. 1",389,299,0,688,200,201,0,401,401,0,59,82,2,53,2,2,1,182,4,0,1,3,4,3,3,401
7,"PRIMARY SCHOOL MISHRAULI ROOM NU. 1",352,273,0,625,226,183,0,409,409,0,141,76,71,89,7,4,0,0,3,1,0,3,2,7,5,409
8,"PRIMARY SCHOOL PAKHNAHAN ROOM NU. 1",559,458,0,1017,373,280,0,653,649,0,122,366,22,123,0,3,2,0,2,0,0,2,4,2,5,653
9,"PRIMARY SCHOOL PAKHNAHAN ROOM NU. 2",219,178,0,397,144,102,0,246,246,0,57,80,72,16,2,3,2,0,2,1,0,2,1,4,4,246
10,"PRIMARY SCHOOL AHIRAULI ROOM NU. 1",780,647,0,1427,528,420,0,948,925,0,186,425,187,98,5,4,4,2,4,4,2,4,8,2,13,948
11,"PRIMARY SCHOOL NARHARIYA ROOM NU. 1",586,466,0,1052,323,239,0,562,562,0,76,301,44,110,1,5,1,1,1,2,1,5,9,2,3,562
12,"PRIMARY SCHOOL NARHARIYA ROOM NU. 2",514,394,0,908,298,238,0,536,536,0,149,279,36,59,0,3,1,1,1,3,2,0,1,0,1,536
13,"PRIMARY SCHOOL GHURCHHAPRA ROOM NU. 1",722,528,0,1250,429,322,0,751,751,0,443,114,10,153,2,3,4,0,0,1,2,3,2,6,8,751
14,"JUNIOR HIGH  SCHOOL KANTHI CHHAPRA ROOM NU. 1",781,624,0,1405,473,408,0,881,881,0,251,414,100,43,0,4,4,31,6,3,5,3,2,8,7,881
