"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KALRAJ MISHRA","2 - NIYAJ AHMAD","3 - BALESHWAR YADAV","4 - SABHA KUNWAR","5 - AROON KUMAR TRIPATHI","6 - AWADH KISHOR NIGAM","7 - INTZARUL","8 - UMESH","9 - RAJU","10 - RAM PRAVESH","11 - RAM PREET","12 - VED PRAKASH MALL","13 - SHYAM SUNDAR","14 - BARKHA KINNAR","15 - HEMANT KISHOR SRIVASTAVA","16 - None of the Above","Total Votes Secured"
1,"PRIMARY  SCHOOL BINAD TOLI  BASGAW",416,319,0,735,210,193,0,403,403,0,132,62,189,5,2,1,0,2,2,4,2,1,1,0,0,0,403
2,"PRIMARY  SCHOOL JAMUAN  N. KHAND",1063,693,0,1756,483,326,0,809,806,0,322,232,118,18,2,1,4,6,7,15,6,4,19,11,14,30,809
3,"PRIMARY  SCHOOL JAMUAN  GHAT  S. KHAND",546,429,0,975,338,253,0,591,1,0,135,155,159,83,8,1,3,2,8,7,3,0,3,5,7,12,591
4,"PRIMARY  SCHOOL JAMUAN  GHAT  ATRICAT KAKSH",433,268,0,701,209,154,0,363,358,0,101,106,77,45,6,2,0,0,1,6,1,1,3,4,3,7,363
5,"PRIMARY  SCHOOL BANSGAW  KHAS   E.  KHAND",632,420,0,1052,339,255,0,594,545,0,213,210,82,26,2,0,0,2,14,9,3,3,9,5,5,11,594
6,"PRIMARY  SCHOOL BANSGAW  KHAS   E.  KHAND",500,398,1,899,251,209,0,460,5,0,220,154,36,33,3,1,1,0,5,1,0,0,3,0,2,1,460
7,"PRIMARY  SCHOOL BANSGAW  KHAS   W.  KHAND",604,423,0,1027,304,247,0,551,551,0,370,115,22,8,2,1,2,0,0,6,0,2,5,1,5,12,551
8,"J.H.SCHOOL PUSHKAR BANSGAW  KHAS   N. KHAND",518,317,1,836,250,180,0,430,2,0,234,166,9,5,0,0,0,1,2,1,0,1,3,0,5,3,430
9,"PRIMARY  SCHOOL DHUR PATTI  ROOM NO.1",639,433,0,1072,370,252,0,622,558,0,243,192,39,105,2,3,3,4,2,4,1,2,5,4,4,9,622
10,"PRIMARY  SCHOOL DHUR PATTI  ROOM NO.2",549,367,2,918,273,204,0,477,320,0,235,107,25,86,2,1,1,1,3,2,0,1,2,1,5,5,477
11,"GIRLS PRIMARY SCHOOL BANSGAW  TOLA KHAIRAWA  ROOM NO. 1",495,382,0,877,279,261,0,540,230,0,168,136,87,100,2,2,2,2,9,9,3,0,3,5,5,7,540
12,"GIRLS PRIMARY SCHOOL BANSGAW TOLA KHAIRAWA  ROOM NO.2",447,336,0,783,238,228,0,466,1,0,260,71,47,48,1,0,0,2,2,3,3,1,4,2,3,19,466
13,"SAMU.VIVAH BHAWAN  JATWALIYA BASGAW  ROOM NO.1",517,375,0,892,283,246,0,529,100,0,164,239,26,57,2,0,1,2,3,3,0,3,5,1,8,15,529
14,"SAMU.VIVAH BHAWAN  JATWALIYA BASGAW ROOM NO.2",434,350,0,784,231,133,0,364,1,0,138,133,16,62,1,0,0,0,2,1,0,1,2,1,2,5,364
