"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
1,P.S.DHANAUTI,359,313,0,672,180,179,0,359,357,0,39,53,93,106,4,39,1,2,0,1,8,4,2,7,359
2,"P.S. BARHARA",455,406,0,861,208,201,0,409,408,0,58,223,63,55,0,2,0,0,0,0,3,3,2,0,409
3,"P.S. MUSAILA KHURD",407,369,0,776,193,189,0,382,379,0,71,123,150,16,0,1,4,2,1,0,3,2,4,5,382
4,"SARVODAY U.M.V.MUSAILA BUJURG",294,243,0,537,146,121,0,267,265,0,8,151,19,82,1,1,2,0,1,0,0,0,1,1,267
5,"P.S. BHALUANI",228,187,0,415,108,116,0,224,222,0,38,73,88,21,1,0,1,1,0,1,0,0,0,0,224
6,P.S.BARDIHA,178,157,0,335,108,92,0,200,199,0,14,84,4,10,0,85,2,1,0,0,0,0,0,0,200
7,"P.S. TILAULI URF DEHARI R.N.1",410,346,0,756,172,167,0,339,336,0,14,136,88,79,1,2,4,1,2,0,3,6,2,1,339
8,"P.S. TILAULI URF DEHARI R.N.2",400,346,0,746,202,178,0,380,378,0,45,169,90,56,0,6,2,0,0,0,2,1,2,7,380
9,"J.H.S.TILAULI URF DEHARI AT DHOBI",290,276,0,566,190,178,0,368,367,0,24,104,6,223,4,2,1,0,0,1,0,1,0,2,368
10,"J.H.S.MAHANPUR BUJURG",249,194,0,443,146,123,0,269,267,0,4,94,80,81,2,2,0,1,0,1,0,1,1,2,269
11,"P.S. PARSIYA BANSHI",473,370,0,843,282,189,0,471,468,0,7,228,22,180,7,2,2,0,2,1,2,4,7,7,471
12,"PANCHAYAT BHAWAN PIPRA URF MUSAILA",255,221,0,476,106,107,0,213,211,0,15,95,19,70,1,5,0,1,0,0,1,1,1,4,213
13,P.S.KOLHUA,369,264,0,633,156,141,0,297,296,0,6,117,93,66,1,2,0,0,1,2,0,2,1,6,297
14,"NAV YUVAK U.M.V.PURAINA",640,550,0,1190,344,308,0,652,649,0,79,330,79,88,4,61,2,1,1,0,1,1,2,3,652
15,P.S.JAMUA,462,370,0,832,214,261,0,475,473,0,8,376,32,39,0,2,0,0,0,1,1,2,10,4,475
16,P.S.PURAINI,586,525,0,1111,278,302,0,580,577,0,21,265,109,115,2,46,4,2,4,0,3,2,3,4,580
17,"P.S.PIPRA BHANMATI",394,349,0,743,218,223,0,441,438,0,9,134,98,130,4,48,2,1,1,3,5,1,1,4,441
18,"P.S. JAMUI R.N.1",425,367,0,792,216,216,0,432,431,0,26,242,93,16,3,22,1,0,1,2,5,5,5,11,432
19,"P.S. JAMUI R.N.2",420,350,0,770,209,223,0,432,430,0,47,164,39,161,5,1,2,0,0,1,1,1,2,8,432
20,"P.S. PARSIYA ABHILASH",162,153,0,315,101,102,0,203,200,0,8,132,48,8,0,1,0,0,1,0,1,1,2,1,203
21,P.S.MANIHARI,608,588,0,1196,265,279,0,544,542,0,34,309,40,114,4,25,3,4,0,0,1,1,4,5,544
22,P.S.SARBAULI,143,119,0,262,98,99,0,197,196,0,0,2,175,17,0,0,0,0,0,0,1,1,0,1,197
23,"P.S.DUMWALIYA R.N.1",683,570,0,1253,337,221,0,558,555,0,65,403,44,28,2,6,0,0,2,2,1,1,1,3,558
24,"P.S.DUMWALIYA R.N.2",722,664,0,1386,341,296,0,637,635,0,43,397,115,40,3,8,2,1,0,1,5,3,7,12,637
25,P.S.MATIYARA,392,346,0,738,226,202,0,428,427,0,18,315,71,7,0,6,0,0,1,0,0,1,1,8,428
26,"SADHAN SAHKARI SAMITI MAHUAWA PANDEY",197,171,0,368,100,94,0,194,191,0,11,118,38,23,1,0,1,0,0,1,0,0,1,0,194
27,P.S.HARAIYA,315,289,0,604,170,172,0,342,340,0,15,137,30,85,1,59,2,1,0,1,3,1,1,6,342
28,"P.S.SISWA DIXIT",199,178,0,377,107,80,0,187,186,0,10,166,2,6,0,1,0,0,1,0,0,0,0,1,187
29,P.S.BHIMPUR,629,678,0,1307,310,403,0,713,709,0,29,487,74,15,6,43,9,2,4,2,11,6,12,13,713
30,"BHIKHAM PRASAD SMARAK DALIT I.C. MAHADAHABAG",194,171,0,365,129,112,0,241,238,0,14,110,24,89,0,1,1,0,0,0,0,0,1,1,241
31,"P.S.SISWA PANDEY",500,457,0,957,239,266,0,505,503,0,28,289,86,69,2,0,3,2,1,2,4,1,8,10,505
32,"PANCHAYAT BHAWAN CHAKBANDI URF BIGAHI",427,356,0,783,267,260,0,527,526,0,7,237,51,217,2,3,0,0,1,1,1,2,1,4,527
33,"P.S. RAJDIHA (DHANPURWA)",420,426,0,846,260,283,0,543,540,0,6,246,164,51,2,70,0,0,0,1,0,0,0,3,543
34,"P.S. MADHAWAPUR R.N. 1",609,595,0,1204,301,264,0,565,563,0,37,295,150,49,1,0,16,0,3,0,1,1,5,7,565
35,"P.S.MADHAWAPUR R.N-2",364,306,0,670,170,152,0,322,321,0,10,169,69,60,1,0,0,1,1,0,2,0,2,7,322
36,"P.S. MADHAWAPUR R.N.3",367,347,0,714,114,102,0,216,213,0,6,44,25,97,3,39,1,0,0,0,0,0,0,1,216
37,"P.S.RAMPUR BUJURG",692,594,0,1286,362,391,0,753,751,0,62,476,133,5,4,55,4,0,1,0,4,2,1,6,753
38,"J.H.S.RAMPUR BUJURG",513,435,0,948,248,226,0,474,473,0,20,204,69,145,3,20,1,2,0,1,1,3,1,4,474
39,P.S.MAJHAUWA,381,310,0,691,197,196,0,393,390,0,34,232,81,37,1,0,1,0,0,1,1,0,3,2,393
40,"P.S. CHORDIHA",707,539,0,1246,350,279,0,629,627,0,19,335,102,143,1,1,3,1,2,3,2,4,5,8,629
41,"P.S. PARSIYA KHAP",281,221,0,502,159,133,0,292,290,0,10,145,4,109,4,2,2,0,1,3,5,3,1,3,292
42,P.S.DOGHARA,660,570,0,1230,323,333,0,656,655,0,27,297,100,149,5,53,3,2,1,3,5,2,4,5,656
43,"P.S.KHAKHARI   R.N. 1",400,321,0,721,213,200,0,413,410,0,15,214,16,50,4,88,5,3,3,1,2,1,4,7,413
44,"P.S. KHAKHARI R.N.2",521,425,0,946,320,232,0,552,550,0,28,258,93,132,6,4,6,2,2,5,3,3,3,7,552
45,"P.S. PARASIYA BHAGAUTI R.N.2",769,622,0,1391,425,395,0,820,819,0,41,437,161,160,2,5,3,0,1,1,3,1,1,4,820
46,"P.S.PARSIYA BHAGAUTI R.N 2",554,436,0,990,211,239,0,450,448,0,39,3,199,121,1,71,2,0,1,0,3,1,2,7,450
47,"ISALAMIYA P.S.BALEPUR KALA R.N.1",527,465,0,992,280,171,0,451,448,0,36,12,122,265,3,2,1,1,0,3,4,1,0,1,451
48,"ISLAMIYA P.S.BALEPUR KALA R.N.2",649,553,0,1202,297,281,0,578,576,0,24,229,79,203,4,2,10,1,1,1,5,3,4,12,578
49,"J.H.S. CHERO R.N. 1",789,665,0,1454,397,366,0,763,762,0,24,415,71,126,8,93,7,1,1,0,4,2,5,6,763
50,"J.H.S. CHERO R.N. 2",810,734,0,1544,522,404,0,926,923,0,14,373,235,165,11,102,5,2,1,2,4,5,3,4,926
51,"BABA SHOBHA MANI L. M.V.BARTHI",332,265,0,597,213,165,0,378,376,0,9,331,4,22,5,1,1,0,1,0,1,1,0,2,378
52,"J.H.S.CHAKRA GOSAI R.N.1",464,400,0,864,237,219,0,456,453,0,100,263,38,13,6,5,2,0,1,3,4,5,5,11,456
53,"J.H.S.CHAKRA GOSAI R.N.2",455,431,0,886,213,187,0,400,398,0,81,139,94,55,3,10,0,3,1,1,2,3,2,6,400
54,"J.H.S.BARTHA BABU",186,177,0,363,97,95,0,192,191,0,8,67,43,22,2,47,0,1,0,0,1,0,1,0,192
55,"P.S.KARAUTA R.N.1",682,573,0,1255,333,350,0,683,681,0,23,352,267,25,8,0,1,1,0,0,0,1,1,4,683
56,"P.S.KARAUTA R.N.2",241,216,0,457,108,100,0,208,205,0,14,128,54,3,1,3,1,0,0,1,0,1,0,2,208
57,P.S.MAHATHAPAR,605,538,0,1143,389,328,0,717,715,0,16,605,46,30,1,12,0,0,0,0,2,1,3,1,717
58,"P.S.THAKUR GAURI",780,683,0,1463,353,321,0,674,673,0,30,363,195,61,4,1,1,0,1,0,2,2,5,9,674
59,P.S.PADMAPAR,382,323,0,705,171,151,0,322,319,0,8,148,101,55,4,0,2,0,1,0,0,1,1,1,322
60,"P.S.PARSIYA TARA",588,501,1,1090,287,238,0,525,523,0,40,203,186,48,3,26,2,0,1,0,3,3,1,9,525
61,"P.S. ITHUA CHANDAULI",607,549,0,1156,319,346,0,665,664,0,22,354,202,74,1,4,0,2,0,0,1,2,3,0,665
62,"P.S. PAKARI",560,484,1,1045,305,246,0,551,548,0,37,342,104,42,9,7,5,0,1,0,1,1,1,1,551
63,"P.S. CHANDPALIYA",521,453,0,974,296,320,0,616,314,0,25,330,219,14,2,3,9,0,1,1,2,2,4,4,616
64,"P.S. BANJARIYA",702,561,0,1263,429,336,0,765,764,0,60,560,70,26,4,11,2,1,2,0,1,5,6,17,765
65,"P V DEVPAR",235,203,0,438,119,93,0,212,210,0,31,116,2,58,0,0,0,0,1,2,0,1,0,1,212
66,"BAPU MAHA.V.I.C.SALEMPUR R.N.1",576,560,0,1136,294,279,0,573,570,0,29,390,32,95,0,14,7,0,1,0,1,1,1,2,573
67,"BAPU MAHA.V.I.C.SALEMPUR R.N.2",941,801,0,1742,344,268,0,612,610,0,57,479,31,35,0,0,1,0,1,0,1,0,2,5,612
68,P.S.SONBARSA,792,673,0,1465,520,365,0,885,884,0,44,209,194,396,6,10,1,2,1,2,1,5,5,9,885
69,"SRI SARWAR ADARSH SANSKRIT MAHA.V R.N.1",493,443,0,936,278,209,0,487,484,0,22,432,14,3,0,1,6,1,1,0,0,1,2,4,487
70,"SRI SARWAR ADARSH SANSKRIT MAHA.V R.N.2",413,356,0,769,239,180,0,419,417,0,33,332,15,27,0,0,4,0,0,0,1,0,1,6,419
71,"SRI SARWAR ADARSH SANSKRIT MAHA.V R.N.3",783,734,0,1517,458,413,0,871,870,0,50,385,138,269,6,1,4,1,0,0,3,1,2,11,871
72,"P.S.ICHAUNA SALEMPUR R.N.1",734,630,0,1364,440,325,0,765,762,0,27,663,20,41,0,0,7,0,2,0,1,0,0,4,765
73,"P S ICHAUNA SALEMPUR R.N.2",813,675,0,1488,385,278,0,663,661,0,58,558,13,19,0,1,5,2,2,1,1,0,1,2,663
74,"MATA ASTBHUJI S.S. SALEMPUR R.N.1",693,596,0,1289,329,159,0,488,487,0,37,367,17,55,0,1,6,0,0,1,1,0,1,2,488
75,"MATA ASTBHUJI S.S. SALEMPUR R.N.2",790,638,0,1428,421,327,0,748,745,0,42,433,147,86,1,4,6,0,3,1,5,2,4,14,748
76,"KANYA P.S.HARAIYA R.N.1",552,455,0,1007,300,238,0,538,536,0,29,382,89,25,1,2,2,0,0,0,3,0,1,4,538
77,"KANYA P.S.HARAIYA R.N.2",846,705,0,1551,367,367,0,734,732,0,24,555,56,67,3,10,0,0,1,1,1,1,5,10,734
78,"MAHAJAN L.M.V.NADAWAR",538,422,0,960,276,250,0,526,525,0,29,170,262,37,6,1,1,0,0,0,4,3,3,10,526
79,"P.S.PRAN CHHAPRA",441,386,0,827,256,230,0,486,483,0,12,174,69,217,3,1,2,0,0,1,2,0,3,2,486
80,P.S.NADAULI,343,280,0,623,206,136,0,342,340,0,7,97,10,210,1,2,0,1,3,1,2,1,1,6,342
81,P.S.ANUAPAR,206,189,0,395,90,87,0,177,176,0,7,83,22,50,1,3,1,0,0,1,3,1,0,5,177
82,"P.S. BARSIPAR R.N.1",697,578,0,1275,337,290,0,627,625,0,24,266,47,79,9,136,4,5,3,5,8,7,19,15,627
83,"P.S. BARSIPAR R.N.2",244,213,0,457,137,122,0,259,256,0,2,64,4,94,3,79,2,0,0,0,3,3,1,4,259
84,"J.H.S. BARSIPAR R.N.1",679,553,0,1232,348,302,0,650,648,0,5,279,25,169,8,124,7,1,1,2,2,4,5,18,650
