"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA PRATAP","2 - PARASNATH YADAV","3 - RAVI KISHAN","4 - SUBHASH PANDEY","5 - ANUPATI RAM YADAV","6 - ARVIND","7 - GULAB CHAND DUBEY","8 - PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL","9 - PREMCHAND BIND","10 - DR. K. P. YADAV","11 - RAVISHANKAR MAURYA","12 - RAJESH PRAJAPATI","13 - SHAHABUDDIN","14 - SARFARAJ","15 - ANIL KUMAR SINGH","16 - JOGENDRA PRASAD","17 - DHANANJAY SINGH","18 - YOGISH CHANDRA DUBEY","19 - RAVIKANT YADAV","20 - VIMAL KUMAR YADAV","21 - DR. SANJIVAN BIND","22 - None of the Above","Total Votes Secured"
1,"P S GAURA KALA",456,387,0,843,306,215,0,521,491,0,122,53,4,65,3,1,0,1,0,1,0,0,2,2,0,3,248,3,8,2,2,1,521
2,"P S SHEKHPUR",277,252,0,529,168,157,0,325,270,0,123,20,4,88,2,0,1,1,0,0,1,1,7,1,1,0,70,2,2,0,0,1,325
3,"P S BARCHAULI NORTH SIDE",513,482,0,995,251,248,0,499,496,0,270,52,7,133,2,0,0,0,2,3,1,1,2,0,0,2,21,1,0,0,1,1,499
4,"P S BARCHAULI",190,164,0,354,92,70,0,162,81,0,73,46,1,13,0,0,0,0,0,17,0,0,1,0,0,0,3,1,6,0,0,1,162
5,"P S BHUTAHA",445,382,0,827,223,238,0,461,13,0,261,49,3,13,0,1,2,0,0,3,0,1,4,0,4,2,110,4,0,1,2,1,461
6,"P S CHAUKHADA",632,609,0,1241,322,358,0,680,680,0,215,89,23,228,6,1,1,2,0,6,1,1,5,1,1,4,67,4,23,1,0,1,680
7,"P S DADUPUR",325,281,0,606,161,188,0,349,104,0,110,14,18,136,4,0,0,0,0,4,2,0,7,0,0,2,48,1,1,0,0,2,349
8,"P S DADUPUR",236,215,0,451,108,123,0,231,231,0,128,2,9,32,3,1,1,0,17,1,3,0,0,0,2,6,24,1,0,0,0,1,231
9,"JAI HIND I C TEJI BAZAR MIDDLE SIDE",560,514,0,1074,307,279,0,586,556,0,143,172,4,104,3,1,0,8,0,1,0,2,9,1,1,1,120,1,10,0,2,3,586
10,"JAI HIND I C TEJI BAZAR MIDDLE SIDE",501,473,0,974,292,305,0,597,597,0,359,15,7,100,0,0,1,0,0,7,0,3,3,0,0,1,95,1,1,2,0,2,597
11,"P S SAHODARPUR",222,216,0,438,177,101,0,278,278,0,105,10,24,34,1,0,1,0,65,3,0,3,1,1,2,3,17,2,3,1,1,1,278
12,"P S BARJI",398,320,0,718,225,207,0,432,410,0,151,94,10,61,1,0,3,0,2,41,0,0,4,0,0,1,59,2,0,2,0,1,432
13,"P S PIPARI NORTH SIDE",256,213,0,469,113,112,0,225,224,0,102,15,6,68,0,0,1,0,0,4,1,0,4,0,0,0,21,0,1,0,2,0,225
14,"P S PIPARI SOUTH SIDE",454,415,0,869,188,224,0,412,412,0,152,56,3,144,2,1,1,0,1,1,0,3,3,0,0,4,37,2,2,0,0,0,412
15,"P S DONAI",272,223,0,495,128,138,0,266,155,0,103,69,1,74,0,0,0,0,0,3,0,1,0,0,0,1,7,3,1,3,0,0,266
16,"JHS GAURA KHURD",571,503,0,1074,371,327,0,698,400,0,199,217,14,169,0,1,1,0,0,35,0,0,5,0,0,2,53,0,1,0,1,0,698
17,"P S SHEKHPURA",466,396,0,862,225,226,0,451,451,0,155,39,13,102,2,2,0,0,0,3,2,5,5,3,5,11,102,0,1,1,0,0,451
18,"P S KAPURPUR",276,240,0,516,165,146,0,311,310,0,111,3,6,58,1,0,0,0,0,1,3,3,2,2,1,3,114,1,1,0,1,0,311
19,"P S CHITAUDI NORTH SIDE",600,510,0,1110,288,266,0,554,554,0,231,44,31,167,0,0,0,1,0,24,1,0,3,0,1,1,44,1,1,0,0,4,554
20,"P S CHITAUDI NORTH SIDE",620,599,0,1219,365,352,0,717,715,0,217,89,12,199,1,1,1,1,3,108,2,0,14,0,4,2,48,7,2,2,0,4,717
21,"P S KHUNSAPUR",679,586,0,1265,365,360,0,725,725,0,188,84,74,132,4,1,0,12,0,1,0,1,6,0,0,7,172,4,26,4,5,4,725
22,"P S CHITAWA",249,273,0,522,109,105,0,214,200,0,74,25,5,75,1,0,0,0,0,4,9,1,5,0,0,0,11,0,1,0,0,3,214
23,"P S GAIRI KALA",403,342,0,745,219,207,0,426,418,0,69,75,3,138,2,1,2,0,0,0,0,0,11,1,1,2,116,3,1,1,0,0,426
