"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
1,"P S PAHADPUR",444,403,0,847,164,196,0,360,260,0,129,9,125,83,1,5,0,0,0,0,2,0,0,1,2,3,360
2,"P S PAHADPUR",329,275,0,604,143,137,0,280,42,0,56,8,157,54,2,0,0,0,1,0,1,0,0,1,0,0,280
3,"PANCHAYAT BHAWAN NIKAMUDDINPUR",359,297,0,656,176,179,0,355,15,0,136,6,21,176,4,1,2,0,0,1,0,0,1,3,1,3,355
4,"P S DELHUPUR",388,355,0,743,238,243,0,481,395,0,18,5,123,310,9,2,0,1,1,1,4,0,1,4,1,1,481
5,"P S AHMADPUR",251,214,0,465,147,137,0,284,85,0,82,0,7,176,5,4,0,0,1,0,0,1,1,3,0,4,284
6,"PANCHAYAT BHAWAN JAHASAPUR",399,347,0,746,242,217,0,459,217,0,21,1,174,242,7,0,0,0,1,1,0,0,1,7,2,2,459
7,"P S GHISUWA KHURD",681,579,0,1260,357,369,0,726,425,0,186,14,240,257,13,3,0,0,0,1,0,0,1,5,0,6,726
8,"JHS KATAHIT KHAS",755,645,0,1400,343,276,0,619,23,0,184,10,81,304,15,5,2,1,0,1,1,4,0,1,3,7,619
9,"JHS KATAHIT KHAS MIDDLE SIDE",505,468,0,973,284,173,0,457,195,0,125,8,127,164,14,3,1,0,2,1,0,0,1,4,2,5,457
10,"JHS KATAHIT KHAS",449,366,0,815,215,221,0,436,33,0,82,19,155,142,10,3,0,1,0,1,2,1,2,8,2,8,436
