"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
1,"AMBEDKAR CHILDREN SCHOOL DOONGARPUR",753,531,0,1284,388,250,0,638,633,0,7,64,208,331,7,6,0,0,1,2,4,1,7,638
2,"GOVT. RAZA PG COLLEGE ROOM NO 1 KHUSROBAG",461,413,0,874,244,212,0,456,420,0,1,86,366,2,0,0,0,0,0,0,0,0,1,456
3,"GOVT. RAZA PG COLLEGE ROOM NO 2 KHUSROBAG",773,633,0,1406,400,297,0,697,697,0,9,92,487,93,2,0,0,2,1,2,4,0,5,697
4,"GOVT. RAZA PG COLLEGE ROOM NO 3 KHUSROBAG",507,416,0,923,313,151,0,464,464,0,1,152,299,5,0,1,3,0,0,0,1,0,2,464
5,"GOVT. RAZA PG COLLEGE ROOM NO 4 KHUSROBAG",446,415,0,861,252,166,0,418,418,0,1,114,284,14,1,0,0,0,0,0,1,0,3,418
6,"GOVT. RAZA PG COLLEGE ROOM NO 5 KHUSROBAG",313,287,0,600,193,151,0,344,344,0,1,45,295,1,0,0,1,0,1,0,0,0,0,344
7,"GOVT. RAZA PG COLLEGE ROOM NO 6 KHUSROBAG",886,666,0,1552,425,268,0,693,686,0,2,211,461,3,0,0,1,2,1,1,1,4,6,693
8,"GOVT. RAZA PG COLLEGE ROOM NO 7 KHUSROBAG",468,392,0,860,216,168,0,384,371,0,4,94,277,3,0,0,0,0,0,0,1,1,4,384
9,"GOVT. RAZA PG COLLEGE ROOM NO 8 KHUSROBAG",457,364,0,821,237,167,0,404,404,0,5,126,245,22,0,1,1,0,1,0,1,0,2,404
10,"NEW PRIMARY SCHOOL ROOM NO- 1 AKHUNKHELAN",557,623,0,1180,360,343,0,703,396,0,1,124,533,30,0,0,3,0,0,1,3,1,7,703
11,"NEW PRIMARY SCHOOL ROOM NO- 2 AKHUNKHELAN",653,638,0,1291,419,338,0,757,736,0,16,178,534,15,0,0,1,0,2,0,3,2,6,757
12,"JAMALI JUNIOR HIGH SCHOOL ROOM NO-1 BAJODITOLA",612,496,0,1108,291,143,0,434,433,0,3,141,258,25,1,0,0,0,2,0,0,1,3,434
13,"JAMALI JUNIOR HIGH SCHOOL ROOM NO-1 BAJODITOLA",589,499,0,1088,258,156,0,414,400,0,4,147,248,14,0,0,0,0,0,0,0,0,1,414
14,"NATIONAL JUNIOR HIGH SCHOOL ROOM NO-1 BAGICHA CHOUDHRAN",708,679,0,1387,339,263,0,602,62,0,1,157,421,16,1,1,2,0,0,0,1,1,1,602
