"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAILASH NATH SINGH YADAV","2 - MO. MAKSUD KHAN","3 - MANOJ SINHA","4 - SMT SHIVKANYA KUSHWAHA","5 - ISHWAR DEV","6 - ISHWARI","7 - OMKAR CHAUHAN","8 - GUPTESHWAR","9 - DEENDAYAL","10 - DHARM YADAV","11 - PAPPU","12 - BRIJ BHUSHAN","13 - BHARAT","14 - RAJENDRA NATH RAM","15 - SATYA DEV YADAV","16 - ARUN KUMAR SINGH","17 - KUBER","18 - LAKSHAMAN","19 - None of the Above","Total Votes Secured"
1,"P.P.GAHALIBASARIKHAPUR (S. WING)",751,663,0,1414,441,402,0,843,430,0,426,7,275,105,1,2,0,0,0,13,0,2,1,1,2,5,2,1,0,843
2,"P.P. GAHALIBASARIKHAPUR (N.WING)",257,246,0,503,156,147,0,303,303,0,117,0,29,149,0,0,0,0,0,0,1,1,0,1,2,3,0,0,0,303
3,P.P.GAGATPUR,228,209,0,437,118,134,0,252,80,0,148,16,45,35,0,1,0,0,0,1,0,0,0,2,0,1,2,0,1,252
4,"P.P. HARIHARPUR(N.WING)",564,460,0,1024,277,269,0,546,546,0,132,8,246,151,0,0,0,0,1,0,1,0,0,2,0,4,1,0,0,546
5,"P.P. HARIHARPUR (S.WING)",395,311,0,706,225,188,0,413,11,0,178,3,43,173,4,0,0,0,0,1,0,4,0,0,0,3,4,0,0,413
6,"P.P. NEVADA",765,676,0,1441,378,413,0,791,401,0,198,10,215,243,6,6,1,1,0,77,9,3,3,4,2,7,5,1,0,791
7,"P.P. BEADVALI",718,636,0,1354,394,327,0,721,721,0,148,7,380,91,1,7,0,0,2,58,0,3,1,3,0,4,7,3,6,721
8,"P.P. NAKHARATPUR",666,613,0,1279,355,333,0,688,688,0,28,15,370,267,2,0,0,1,0,3,0,1,1,0,0,0,0,0,0,688
9,"P.P. NAKHARATPUR (S.WING)",784,671,0,1455,404,434,0,838,550,0,334,5,346,123,1,0,1,0,0,0,4,2,1,0,0,4,5,5,7,838
10,"P.P. KORE",654,615,0,1269,360,367,0,727,118,0,74,4,323,297,1,2,6,0,0,3,1,0,2,5,0,4,1,2,2,727
11,"P.P. CHOUTHI (E.WING)",398,357,0,755,225,205,0,430,12,0,24,19,131,235,1,2,1,0,1,4,2,0,2,1,1,3,0,2,1,430
12,"P.P.CHOUTHI (W.WING)",241,205,0,446,150,147,0,297,200,0,50,3,157,74,2,1,0,0,0,6,0,0,0,2,0,0,1,0,1,297
13,P.P.HAMIRPUR,429,376,0,805,246,250,0,496,471,0,194,5,200,88,1,0,0,0,0,4,0,0,0,0,0,0,3,0,1,496
14,"P.P.BIJOURA  (E.WING)",810,706,0,1516,450,400,0,850,850,0,108,7,453,257,3,0,0,1,1,4,1,2,2,1,0,1,4,1,4,850
15,"P.P. BIJOURA  (W.WING)",742,624,0,1366,442,386,0,828,152,0,181,11,462,151,2,0,0,0,0,4,1,4,0,1,0,3,0,3,5,828
16,"P.P. BIKHAMPUR",193,172,0,365,153,142,0,295,295,0,5,1,29,258,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,295
17,"P.P. KELHI",481,456,0,937,304,265,0,569,569,0,56,7,176,156,6,27,1,3,7,114,2,4,3,1,0,2,4,0,0,569
18,"P.P. KELHI NEW BHAVAN",523,452,0,975,307,261,0,568,568,0,77,20,140,306,1,0,0,0,1,5,0,4,1,0,2,2,4,2,3,568
19,"P.P. MUSATFABAD (E.WIN)",505,441,0,946,308,220,0,528,515,0,130,6,139,244,0,0,2,0,0,0,0,2,0,0,2,0,2,0,1,528
20,"P.P. MUSTAFABAD (W.WING)",435,374,0,809,237,244,0,481,481,0,239,9,211,18,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,481
21,"P.P. BAGHI (N.WING)",616,478,0,1094,286,260,0,546,17,0,120,9,250,128,3,3,3,0,2,1,3,2,3,3,2,7,1,4,2,546
