"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
1,"P.P.MATEHU (N.WING)",570,516,0,1086,349,291,0,640,600,0,325,139,145,7,6,1,0,1,1,0,0,0,2,2,1,10,640
2,"P.P.MATEHU (S.WING)",584,500,0,1084,322,281,0,603,203,0,128,298,73,40,28,2,10,0,0,2,0,3,5,8,0,6,603
3,P.P.TISOURI,552,476,0,1028,331,359,0,690,589,0,76,207,182,60,137,1,2,0,0,5,0,2,3,6,2,7,690
4,P.P.BAHATURA,701,611,0,1312,462,405,0,867,2,0,182,211,379,16,44,0,3,1,0,2,0,3,4,3,5,14,867
5,"P.P.CHAVAR (N.WING)",532,431,0,963,258,277,0,535,2,0,89,139,161,7,104,4,7,1,1,2,1,3,10,1,1,4,535
6,"P.P.CHAVAR (S.WING)",352,293,0,645,190,188,0,378,257,0,173,119,54,3,25,0,0,0,0,0,0,2,0,0,2,0,378
7,"J.H.S.GAI (E.WING)",737,600,0,1337,402,323,0,725,2,0,264,162,244,7,21,2,0,2,1,0,1,3,8,5,2,3,725
8,"J.H.S.GAI (C.WING)",670,566,0,1236,363,333,0,696,695,0,124,200,293,26,25,5,2,1,1,2,0,4,5,5,2,1,696
9,"J.H.S.GAI (W.WING)",746,594,0,1340,377,345,0,722,395,0,352,168,78,15,78,1,0,0,1,1,2,3,10,2,2,9,722
10,"P.P.SARAR U.HAIDARGANJ (N.WING)",540,524,0,1064,328,291,0,619,619,0,117,211,167,6,108,0,1,0,0,1,0,0,2,4,1,1,619
11,"P.P.SARAR U.HAIDARGANJ (C.WING)",339,306,0,645,207,187,0,394,2,0,23,122,209,7,21,0,0,0,1,0,0,1,3,7,0,0,394
12,"P.P.SARAR U.HAIDARGANJ (S.WING)",772,677,0,1449,418,394,0,812,812,0,77,319,352,12,11,1,1,0,0,1,2,4,10,7,6,9,812
13,"P.P.RAYPUR BAGHPUR (N.WING)",624,511,0,1135,368,227,0,595,450,0,372,120,36,12,44,1,1,1,0,0,0,0,2,3,0,3,595
14,"P.P.RAYPUR BAGHPUR (S.WING)",726,592,0,1318,413,272,0,685,68,0,277,213,44,7,116,1,0,2,1,3,1,3,2,7,3,5,685
15,"P.P.KARDAH KAITHWALI",749,645,0,1394,471,375,0,846,157,0,263,388,58,6,56,2,0,1,2,4,4,4,9,13,9,27,846
16,P.P.KANSHARI,384,368,0,752,229,184,0,413,411,0,54,236,49,35,25,0,2,0,0,0,1,1,3,4,1,2,413
