"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK KUMAR KANNAOUJIYA","2 - CHHOTELAL","3 - PAKAUDI LAL KOL","4 - BHAGWATI PRASAD CHAUDHARY","5 - SHARADA PRASAD","6 - GUN DEVI GYANI DEVI","7 - S. R. DARAPURI","8 - MANGOI","9 - RAVI SHANKAR KANNAUJIA","10 - RAJKUMAR","11 - SHANKAR KOL","12 - ARUN SINGH CHERO","13 - RAMBRIKSHA","14 - LAWRENCE ANTHONY","15 - None of the Above","Total Votes Secured"
1,CHHITTO,300,258,0,558,229,190,0,419,419,0,3,28,3,1,367,1,0,1,0,1,4,0,1,0,9,419
2,"MAJHWAR KHAS",847,676,0,1523,484,373,0,857,857,0,23,518,46,49,191,1,2,6,18,0,1,0,1,1,0,857
3,"MAJHAWAR KHAS",173,138,0,311,112,82,0,194,194,0,3,117,2,16,47,0,1,0,2,0,0,1,2,0,3,194
4,FUTIYA,764,569,0,1333,472,340,0,812,812,0,7,384,161,16,210,3,1,1,4,2,4,2,6,2,9,812
5,"RSHIGHAPUR KHURD",717,581,0,1298,396,325,0,721,721,0,7,195,131,9,329,3,1,4,16,0,4,3,7,3,9,721
6,MADHOPUR,316,268,0,584,178,146,0,324,324,0,6,196,22,41,46,2,0,2,5,0,0,1,1,0,2,324
7,LILAPUR,324,272,0,596,206,185,0,391,391,0,5,254,3,8,101,1,1,0,5,1,2,2,2,4,2,391
8,JAYRAMPUR,234,237,0,471,174,172,0,346,346,0,0,25,18,1,294,3,0,1,0,0,0,1,1,1,1,346
9,BHAGAVANPUR,675,538,4,1217,361,314,0,675,675,0,8,158,124,23,261,73,0,1,3,1,2,3,7,3,8,675
10,"SAVAIYA PATTIDARI",683,592,0,1275,376,272,0,648,648,0,16,345,10,16,227,4,3,1,21,0,0,0,2,2,1,648
11,MACHIYAKALA,847,676,0,1523,520,396,0,916,916,0,15,280,297,21,265,7,2,2,6,0,2,2,4,3,10,916
12,DARAVESHAPUR,496,424,0,920,315,246,0,561,561,0,9,307,5,24,203,3,1,0,1,1,0,0,4,1,2,561
13,DAUDAPUR,365,335,0,700,305,258,0,563,563,0,2,69,392,7,84,2,0,0,3,0,1,1,0,0,2,563
14,SULTANPUR,477,413,0,890,276,249,0,525,525,0,9,377,7,6,113,2,0,1,0,0,1,1,2,3,3,525
15,VAJIDAPUR,222,184,0,406,145,92,0,237,237,0,4,111,3,24,95,0,0,0,0,0,0,0,0,0,0,237
16,NAVAHIN,896,730,0,1626,594,456,0,1050,1050,0,12,110,161,32,677,10,7,2,2,2,5,2,2,6,20,1050
17,"NEGUR ANSH",632,544,0,1176,355,273,0,628,628,0,13,425,55,49,48,5,1,0,6,4,4,1,4,5,8,628
18,NEGURA,680,567,0,1247,408,322,0,730,730,0,20,368,128,85,100,1,2,3,11,0,2,0,5,1,4,730
19,MASAUNI,748,641,0,1389,443,398,0,841,841,0,17,235,106,25,427,7,1,3,12,0,0,0,4,0,4,841
20,PAITUA,690,555,0,1245,325,302,0,627,627,627,26,361,26,8,184,3,5,1,5,0,1,1,2,1,3,627
21,PAITUA,625,477,0,1102,342,256,0,598,598,0,8,339,32,23,177,1,0,1,3,2,2,0,2,2,6,598
22,HATHIYANI,630,503,0,1133,353,293,0,646,646,0,9,320,243,12,28,2,0,1,5,1,2,2,6,5,10,646
23,HATHIYANI,722,567,0,1289,385,330,0,715,715,0,35,465,70,18,83,5,1,2,6,2,4,1,10,4,9,715
24,MUSTAFAPUR,454,359,0,813,267,205,0,472,472,0,2,44,119,11,246,30,0,2,14,0,0,2,0,0,2,472
25,MUSTAFAPUR,491,391,0,882,273,202,0,475,475,0,5,100,173,12,119,19,0,0,33,1,2,3,4,1,3,475
26,PRATAPAPUR,845,721,0,1566,537,371,0,908,908,0,10,208,359,11,298,1,4,1,8,0,2,1,4,0,1,908
27,"FATTEPUR KALA",336,345,0,681,209,168,0,377,377,0,7,191,143,4,24,2,0,0,0,0,1,0,0,2,3,377
28,"FATTEPUR KALA",543,394,0,937,270,172,0,442,442,0,0,69,115,42,169,42,0,0,2,0,0,0,2,1,0,442
29,NARAYANPUR,558,504,0,1062,361,304,0,665,665,0,13,188,178,4,272,2,1,1,1,0,1,2,2,0,0,665
30,VIJAYPUR,301,271,0,572,209,195,0,404,404,0,10,195,125,16,39,0,3,1,2,1,1,1,3,3,4,404
31,MAGARAHI,247,224,0,471,158,144,0,302,302,0,11,226,13,8,25,0,2,1,1,0,1,3,3,6,2,302
32,AURAIYA,762,646,0,1408,389,361,0,750,750,0,22,352,39,23,266,5,6,3,4,0,3,3,7,6,11,750
33,SUDAV,559,497,0,1056,317,244,0,561,561,0,14,192,201,38,89,5,3,1,2,0,0,4,2,4,6,561
34,SUDAV,433,359,0,792,256,230,0,486,486,0,13,193,77,31,145,1,2,1,1,0,5,1,1,4,11,486
35,AHALADAPUR,181,148,0,329,123,102,0,225,225,0,2,98,10,4,92,0,4,2,2,2,2,0,4,1,2,225
36,MAIDHI,766,681,0,1447,453,429,0,882,882,0,28,450,64,27,269,16,12,1,6,0,2,0,1,1,5,882
37,"NARAHAN KALA",561,509,0,1070,335,316,0,651,651,0,18,403,8,15,182,6,1,1,3,2,4,0,0,0,8,651
38,BHAVRAHI,255,191,0,446,119,116,0,235,235,0,5,105,7,4,93,1,0,0,1,2,4,0,4,3,6,235
39,TIRO,707,651,0,1358,442,400,0,842,842,0,10,405,16,6,385,2,2,2,3,0,1,1,2,2,5,842
40,GHANAPUR,615,503,0,1118,387,308,0,695,695,0,13,361,42,14,201,5,9,10,3,5,5,1,11,4,11,695
41,KONOYA,407,373,0,780,260,250,0,510,510,0,9,265,17,8,177,3,2,4,1,2,3,3,7,2,7,510
42,DHARAULI,515,423,0,938,287,243,0,530,530,0,26,388,37,21,24,2,1,1,5,1,12,0,2,1,9,530
43,DHARAULI,436,375,0,811,240,206,0,446,446,0,17,137,12,11,230,3,3,2,3,3,4,2,3,6,10,446
44,AILHI,575,472,0,1047,358,270,0,628,628,0,8,288,154,22,142,0,0,3,5,1,0,1,3,0,1,628
45,SOHADAVAR,528,416,1,945,260,195,0,455,455,0,3,232,140,5,35,20,0,1,4,0,0,0,4,3,8,455
46,SOHADAVAR,495,412,0,907,258,263,0,521,521,0,10,51,53,4,327,52,4,4,6,1,0,1,4,3,1,521
47,CHAK,526,443,0,969,321,237,0,558,558,0,21,289,120,9,90,5,2,1,5,2,1,2,5,1,5,558
48,URAGANVA,549,473,0,1022,306,296,0,602,602,0,13,222,32,11,314,1,0,0,2,1,0,0,3,0,3,602
49,JALALAPUR,313,287,0,600,199,201,0,400,400,0,2,244,57,5,84,0,0,0,2,0,1,0,1,2,2,400
50,"KANTA BHAG 1",756,684,0,1440,407,317,0,724,724,0,9,420,141,22,104,0,1,1,9,0,2,0,6,4,5,724
51,KANTA,587,538,0,1125,325,279,0,604,604,0,9,499,23,17,32,1,2,0,5,1,0,0,3,5,7,604
52,KANTA,765,618,0,1383,484,443,0,927,927,0,14,88,9,2,737,13,3,6,4,4,12,5,1,8,21,927
53,JAGADISHAPUR,253,179,0,432,152,121,0,273,273,0,4,199,28,12,19,0,1,0,3,1,0,0,2,2,2,273
54,VISHUNAPURA,716,648,0,1364,426,339,0,765,765,0,12,524,153,9,27,2,2,1,8,1,2,5,5,5,9,765
55,VISHUNAPURA,243,214,0,457,161,129,0,290,290,0,5,78,56,1,139,4,2,1,1,2,0,0,0,1,0,290
56,BHADAULIYA,411,350,0,761,238,200,0,438,438,0,6,107,28,7,259,3,1,2,4,1,3,4,2,2,9,438
57,JAMOKHAR,623,554,0,1177,354,303,0,657,657,0,24,223,121,4,261,9,0,0,4,1,1,1,5,0,3,657
58,"PARASI KHUDR",634,538,0,1172,395,319,0,714,714,0,19,250,87,18,311,2,3,1,2,1,1,1,8,2,8,714
59,PAKHNAPURA,750,536,0,1286,326,269,0,595,595,0,5,159,110,20,275,7,2,2,4,2,1,1,4,0,3,595
60,RAJJUPUR,312,272,0,584,191,161,0,352,352,0,5,41,146,2,147,0,1,0,5,1,0,0,3,1,0,352
61,"FATTEPUR KHUDR",510,414,0,924,303,225,0,528,528,0,5,60,398,2,46,1,0,1,1,0,1,1,9,0,3,528
62,PARASIKALA,539,433,0,972,270,227,0,497,497,0,16,239,135,23,56,6,5,2,1,1,0,3,1,3,6,497
63,PARASIKALA,302,247,0,549,167,121,0,288,288,0,5,62,35,2,178,1,0,1,0,0,1,0,2,0,1,288
64,MANIKAPUR,645,550,0,1195,380,331,0,711,711,0,13,217,32,5,410,2,0,0,0,2,10,1,6,2,11,711
65,"SAVAIYA MAHALVAR",601,509,0,1110,414,301,0,715,715,0,20,324,32,10,280,5,6,0,2,3,8,3,5,4,13,715
66,HALUVA,884,691,0,1575,460,378,0,838,838,0,26,331,184,30,222,4,5,2,3,1,1,4,5,7,13,838
67,JENGURI,670,592,1,1263,391,346,0,737,737,0,15,269,122,10,295,3,0,0,4,0,0,2,4,3,10,737
68,PACHAPARA,287,258,0,545,176,156,0,332,332,0,1,204,55,4,57,1,0,3,3,1,1,0,0,0,2,332
69,KERAYAGAVA,834,645,0,1479,366,339,0,705,705,0,12,171,305,15,136,14,3,2,7,4,2,4,6,7,17,705
70,PAHADPUR,446,357,0,803,311,244,0,555,555,0,10,176,27,4,309,1,16,0,0,1,1,0,1,4,5,555
71,GOVINDIPUR,344,301,0,645,155,138,0,293,293,0,6,115,122,3,34,1,1,0,0,1,0,0,2,3,5,293
72,RAMAMADO,497,436,0,933,340,260,0,600,600,0,11,268,115,8,187,0,1,0,0,1,1,1,2,1,4,600
73,SIGARAUL,686,618,0,1304,424,361,0,785,785,0,15,437,49,17,254,1,1,2,1,0,0,1,1,2,4,785
74,BHATARAUL,463,370,0,833,272,218,0,490,490,0,19,322,115,4,4,0,2,0,4,1,3,0,8,2,6,490
75,"BHATARAUL (AN.0)",468,370,0,838,268,202,0,470,470,0,8,224,55,3,165,1,0,1,5,1,0,1,2,1,3,470
76,BASANIYAN,578,482,0,1060,380,237,0,617,617,0,4,128,89,12,352,6,2,2,2,5,2,0,3,3,7,617
77,SOTA,618,524,0,1142,352,222,0,574,574,0,3,232,57,13,247,5,1,2,0,0,4,0,2,5,3,574
78,INDRAPURVA,378,325,0,703,246,194,0,440,440,0,15,300,32,14,59,3,2,1,3,0,3,0,1,3,4,440
79,KHARID,365,298,0,663,241,184,0,425,425,0,5,193,56,35,125,1,0,1,1,0,4,2,1,1,0,425
80,BHAVAPUR,713,632,0,1345,565,205,0,770,770,0,14,261,416,15,35,1,1,1,3,1,3,2,6,1,10,770
81,JAMUVA,663,663,0,1326,447,362,0,809,809,0,31,551,73,12,113,2,2,0,5,0,1,2,3,5,9,809
82,BHAISHI,640,514,0,1154,372,277,0,649,649,0,11,366,35,3,206,3,1,1,2,1,2,3,4,2,9,649
83,BHARUHIYA,527,465,0,992,298,222,0,520,520,0,7,422,24,3,53,0,0,0,0,0,1,1,2,0,7,520
84,UDAYAPUR,490,423,0,913,253,223,0,476,476,0,3,5,230,6,216,2,2,2,1,0,0,1,3,3,2,476
85,UDAYAPUR,392,368,0,760,208,199,0,407,407,0,3,238,46,7,107,1,0,0,0,0,1,1,0,1,2,407
86,GAJDHARA,318,275,0,593,147,148,0,295,295,0,3,194,91,2,0,0,0,1,1,0,0,0,3,0,0,295
87,LATANV,412,364,0,776,322,240,0,562,562,0,3,311,10,3,224,2,1,0,4,0,2,0,1,1,0,562
88,BHAUDSAR,659,531,0,1190,387,285,0,672,672,0,14,317,214,32,54,2,5,1,5,0,2,0,7,2,17,672
89,BHODASAR,526,464,0,990,282,270,0,552,552,0,5,189,198,19,101,3,18,2,5,2,2,2,0,1,5,552
90,IMILIYA,255,240,0,495,141,141,0,282,282,0,6,232,2,1,35,0,0,0,2,0,1,1,1,0,1,282
91,"KHAKHDA (AN0)",730,545,0,1275,340,274,0,614,614,0,7,388,19,3,180,3,2,0,3,0,1,0,2,2,4,614
92,"KHAKHADA (AN0)",404,315,0,719,193,136,0,329,329,0,4,120,5,21,157,5,0,0,1,1,5,0,4,2,4,329
93,ROHAKHI,567,509,0,1076,315,296,0,611,611,0,9,294,42,11,236,1,0,0,1,0,6,4,1,1,5,611
94,"KHILCHI RAJDIHA",304,285,0,589,207,152,0,359,359,0,6,119,70,5,132,4,1,0,1,0,12,3,2,1,3,359
95,"KHILCHI RAJDIHA",188,156,0,344,101,80,0,181,181,0,1,55,3,2,112,3,0,0,0,0,2,0,0,0,3,181
96,BARIYARAPUR,623,576,0,1199,426,290,0,716,716,0,8,441,69,9,165,4,1,1,1,1,1,2,4,4,5,716
97,GHODASARI,404,385,0,789,300,245,0,545,545,0,4,224,4,5,289,0,0,2,1,1,4,2,2,4,3,545
98,MASOI,354,342,0,696,252,214,0,466,466,0,9,437,3,8,1,0,0,1,0,0,1,0,1,1,4,466
99,"BHUSIKRITPURVA AN0",543,435,0,978,239,245,0,484,484,0,8,137,38,11,285,1,2,0,1,1,0,0,0,0,0,484
