"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL KUMAR MAURYA","2 - TARUN PATEL URF TARUNENDRA CHAND PATEL","3 - DR MAHENDRA NATH PANDEY","4 - RAMKISHUN","5 - IRSHAD","6 - CHANCHAL","7 - JITENDRA","8 - MRITUNJAYA PANDEY","9 - RAMASHANKER SINGH MAURYA","10 - RAJA JAISWAL","11 - RAJENDRA","12 - RAM DULAR","13 - VINAI KUMAR SINGH","14 - SHASHI SINHA","15 - SANJEEV SINGH","16 - DR. HARIDWAR SINGH YADAV","17 - HEERALAL","18 - GULAVAS","19 - BINDU","20 - RAJNARAYAN","21 - SANJAY","22 - None of the Above","Total Votes Secured"
1,"P.P. SARSAWA R.NO.1",445,401,0,846,338,265,0,603,594,0,179,7,292,83,18,0,0,0,1,7,1,0,2,1,2,0,1,1,2,6,0,0,603
2,"P.P. SARSAWA R.NO.2",469,403,0,872,280,206,0,486,484,0,93,7,295,31,24,3,0,1,0,8,2,2,1,1,2,6,0,2,3,4,1,0,486
3,"P.P. SARSAWA R.NO.3",681,507,0,1188,428,309,0,737,737,0,175,20,284,186,22,1,0,0,0,5,1,3,5,1,3,5,8,1,6,3,2,6,737
4,"P.P. LORHAN",818,713,0,1531,511,416,0,927,920,0,307,17,409,100,34,1,1,2,2,9,2,1,7,5,2,8,2,0,2,7,4,5,927
5,"P.P. KANUDIH R.NO.1",895,782,0,1677,610,519,0,1129,1100,0,225,27,655,53,44,2,5,4,1,24,9,5,10,12,11,22,5,0,1,5,1,8,1129
6,"P.P. KANUDIH R.NO.- 2",301,219,0,520,161,117,0,278,272,6,37,3,123,86,11,1,0,1,0,3,0,2,1,0,0,4,0,0,2,2,0,2,278
7,"P.P. DANDUPUR R.NO 1",1042,791,0,1833,612,468,0,1080,1050,0,328,27,481,135,46,3,1,1,1,10,2,3,5,2,3,8,8,2,1,3,1,9,1080
8,"P.P. GANESHPUR R.NO. 2",712,558,0,1270,459,341,0,800,772,0,362,15,278,56,35,1,1,0,2,3,1,0,6,5,2,7,13,2,0,1,2,8,800
9,"P.P. GANESHPUR R.NO.- 2",544,407,0,951,265,226,0,491,488,3,13,35,364,33,26,0,0,0,0,1,0,0,3,3,1,4,0,0,1,2,0,5,491
10,"P.P. HOLAPUR R.NO.-1",437,330,0,767,237,186,0,423,413,0,96,18,274,12,10,1,1,0,0,3,1,0,2,0,0,1,0,1,1,0,0,2,423
11,"P.P. HOLAPUR R.NO.-2",416,318,0,734,200,245,0,445,404,0,238,14,168,4,6,1,0,0,2,3,0,1,0,1,0,4,0,0,1,0,1,1,445
12,"P.M.V. CHUPPEYPUR DEHAT R.NO.-1",812,663,0,1475,620,409,0,1029,1022,0,66,78,766,26,27,1,4,0,4,18,4,1,8,1,2,7,2,2,3,3,3,3,1029
13,"P.M.V. CHUPPEYPUR DEHAT R.NO.-2",610,460,0,1070,385,275,0,660,658,0,103,13,468,31,12,2,2,3,0,4,1,0,4,1,1,7,2,0,1,0,1,4,660
14,"P.M.V. CHUPPEYPUR DEHAT R.NO.-3",511,420,0,931,276,217,0,493,480,0,132,10,302,12,22,3,0,1,0,1,0,0,0,1,1,3,2,0,0,0,1,2,493
15,"B.P.P. BANSDEOPUR",496,356,0,852,279,223,0,502,427,0,375,6,83,16,7,0,1,0,0,0,0,1,2,0,0,3,5,1,0,1,1,0,502
16,"P.P. HATIYA",913,724,1,1638,608,423,0,1031,1030,0,89,35,676,162,33,1,3,3,1,4,3,1,2,3,1,8,0,0,1,4,0,1,1031
17,"B.P.P. PISAUR R.NO.- 1",918,728,0,1646,637,460,0,1097,1097,0,234,29,595,84,38,1,3,4,3,10,3,5,5,5,29,25,8,3,2,6,0,5,1097
18,"B.P.P. PISAUR R.NO.- 2",998,787,0,1785,638,487,0,1125,1125,0,321,91,559,46,42,0,1,2,3,8,1,3,2,2,19,13,2,1,4,1,2,2,1125
19,"P.P. BHAWANIPUR R.NO.- 1",887,733,0,1620,526,386,0,912,911,0,175,32,427,165,49,4,4,2,3,12,3,2,3,2,1,15,5,1,0,2,0,5,912
