"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
1,"GURUNANAK ENGLISH SCHOOL BHARLAI R.NO.1",570,458,0,1028,338,234,0,572,549,23,45,29,388,19,1,2,1,62,1,4,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,2,0,0,0,0,0,1,3,2,572
2,"GURUNANAK ENGLISH SCHOOL BHARLAI R.NO.2",889,724,0,1613,489,369,0,858,831,27,51,16,643,18,2,3,0,94,5,4,1,0,0,4,0,4,0,0,0,1,1,1,0,0,1,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,858
3,"GURUNANAK ENGLISH SCHOOL BHARLAI R.NO.3",288,243,0,531,146,103,0,249,226,23,22,14,179,5,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,249
4,"GURUNANAK ENGLISH SCHOOL BHARLAI R.NO.4",582,447,0,1029,329,260,0,589,570,19,45,7,440,47,1,1,0,27,1,0,0,3,3,3,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,589
5,"GURUNANAK ENGLISH SCHOOL BHARLAI R.NO.5",469,417,0,886,289,238,0,527,490,27,39,11,374,37,0,0,0,31,1,1,0,0,1,2,0,3,1,0,1,0,0,0,2,0,1,0,0,3,1,4,3,1,1,0,1,0,0,1,1,0,0,3,3,527
6,"GURUNANAK ENGLISH SCHOOL BHARLAI R.NO.6",407,337,0,744,218,195,0,413,401,12,36,8,242,76,0,0,1,36,0,1,0,0,0,1,0,1,0,0,2,1,2,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,413
7,"GURUNANAK ENGLISH SCHOOL BHARLAI R.NO.7",660,526,0,1186,359,295,0,654,304,350,31,82,284,122,1,2,3,100,4,1,0,0,1,2,2,1,1,1,1,0,0,2,1,0,3,1,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,1,1,654
8,"GURUNANAK ENGLISH SCHOOL BHARLAI R.NO.8",722,584,0,1306,363,313,0,676,598,9,24,55,387,55,2,0,0,112,3,4,1,0,1,1,0,0,2,1,0,0,1,2,0,0,1,1,2,1,3,2,2,2,0,1,1,0,3,1,0,0,0,5,0,676
9,"MAHESH VIDHYA MANDIR TARANA R.NO.1",427,440,0,867,302,285,0,587,495,4,38,22,370,58,0,2,0,71,0,0,0,0,3,0,0,6,2,0,2,1,1,0,0,0,2,0,1,0,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,587
10,"MAHESH VIDHYA MANDIR TARANA R.NO.2",519,427,0,946,314,240,0,554,491,63,22,7,297,144,0,1,1,20,2,1,1,0,0,1,0,3,4,3,1,3,1,7,2,1,0,2,1,4,0,1,0,0,2,2,3,2,6,0,2,0,1,1,5,554
