"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL RUSULPUR BHAWER AH.",390,310,0,700,297,224,0,521,521,0,344,34,3,129,2,0,0,1,1,1,2,1,1,0,0,2,521
2,"PRIMARY SCHOOL",680,580,0,1260,546,451,0,997,997,0,38,909,11,9,4,1,2,0,1,1,1,1,2,3,12,2,997
3,"PRIMARY SCHOOL ROOM 1",656,570,0,1226,491,471,0,962,962,0,112,639,6,184,2,2,1,0,2,0,0,1,3,3,3,4,962
4,"PRIMARY SCHOOL ROOM 2",446,366,0,812,298,255,0,553,553,0,145,181,1,215,5,0,0,1,0,0,1,0,2,0,0,2,553
5,"PRIMARY SCHOOL FRIST",473,359,0,832,355,318,0,673,673,0,333,327,3,3,1,0,0,1,0,0,0,0,0,0,1,4,673
6,"PRIMARY SCHOOL",409,312,1,722,357,283,0,640,640,0,81,457,3,91,0,0,0,0,0,0,0,0,2,1,3,2,640
7,"PRIMARY SCHOOL",485,403,1,889,407,352,0,759,759,0,224,513,2,5,0,0,0,0,1,0,0,0,1,1,5,7,759
8,"JUNIOR HIGH SCHOOL",502,418,0,920,414,349,0,763,763,0,444,301,2,14,0,0,0,1,0,0,0,1,0,0,0,0,763
9,"PRIMARY SCHOOL",632,489,0,1121,449,318,0,767,767,0,526,18,8,199,0,0,0,1,1,1,1,0,0,1,1,10,767
10,"PRIMARY SCHOOL ASHIKPURA MAJRA AZAMPUR",387,360,0,747,327,306,0,633,633,0,12,554,7,52,1,0,0,0,0,0,0,0,0,4,3,0,633
11,"PRIMARY SCHOOL",433,376,0,809,357,316,0,673,673,0,638,8,2,21,0,0,0,0,0,0,1,0,1,1,0,1,673
12,"ADARSH JUNIOR HIGH SCHOOL",810,663,0,1473,506,417,0,923,923,0,161,232,8,505,3,1,0,2,0,1,1,0,4,0,3,2,923
13,"PRIMARY SCHOOL",474,427,0,901,354,335,0,689,689,0,350,168,3,146,2,1,0,1,0,1,0,0,2,4,6,5,689
14,"PRIMARY SCHOOL",581,471,1,1053,422,372,0,794,794,0,79,631,14,60,0,0,1,0,0,0,0,2,2,1,2,2,794
15,"PRIMARY SCHOOL",446,413,0,859,252,308,0,560,560,0,26,72,8,446,2,1,1,0,0,0,1,1,0,2,0,0,560
16,"PRIMARY SCHOOL",380,345,0,725,323,299,0,622,622,0,555,55,2,6,0,0,0,3,0,0,0,0,0,0,0,1,622
17,"PRIMARY SCHOOL",645,534,0,1179,505,398,0,903,903,0,735,13,14,122,3,0,2,0,0,2,0,0,2,0,2,8,903
18,"PRIMARY SCHOOL",735,620,0,1355,495,457,0,952,952,0,425,413,12,75,2,2,2,0,0,4,2,0,3,3,5,4,952
19,"JUNIOR HIGH SCHOOL",603,514,2,1119,470,367,0,837,837,0,423,113,3,273,5,0,3,0,0,1,1,0,4,0,2,9,837
20,"PRIMARY SCHOOL",409,387,0,796,394,221,0,615,615,0,411,15,3,181,0,1,0,1,0,0,0,0,0,0,2,1,615
21,"PRIMARY SCHOOL",499,409,0,908,348,334,0,682,682,0,229,40,4,396,1,1,2,1,0,0,1,0,5,0,0,2,682
22,"PRIMARY SCHOOL ROOM 1",443,382,0,825,395,327,0,722,722,0,602,63,2,38,0,5,0,0,1,0,0,1,0,0,2,8,722
23,"PRIMARY SCHHOL ROOM 2",463,420,0,883,384,337,0,721,721,0,457,254,0,4,0,0,0,0,0,0,0,1,1,1,1,2,721
24,"PRIMARY SCHOOL",351,307,0,658,320,266,0,586,586,0,442,14,28,98,0,0,1,0,0,0,0,0,0,0,0,3,586
25,"PRIMARY SCHHOL",364,345,0,709,240,238,0,478,478,0,166,13,0,284,1,0,0,0,0,1,0,1,5,0,1,6,478
26,"PRIMARY SCHHOL",489,437,0,926,401,331,0,732,732,0,492,180,18,32,1,2,0,0,0,0,0,0,0,2,2,3,732
27,"PRIMARY SCHOOL",371,347,0,718,330,306,0,636,636,0,362,128,2,133,2,1,0,0,0,0,0,0,1,0,0,7,636
28,"PRIMARY SCHOOL",274,262,0,536,243,219,0,462,462,0,429,3,10,19,1,0,0,0,0,0,0,0,0,0,0,0,462
29,"PRIMARY SCHOOL",582,504,0,1086,454,391,0,845,845,0,540,138,20,123,2,1,1,1,0,3,0,1,4,1,4,6,845
30,"PRIMARY SCHOOL",298,279,0,577,226,222,0,448,448,0,121,277,4,42,0,1,0,0,0,0,1,0,1,0,0,1,448
31,"PRIMARY SCHOOL",838,675,0,1513,696,485,0,1181,1181,0,859,37,11,231,2,3,0,1,2,5,0,0,5,3,7,15,1181
