"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAGMA","2 - RAJENDRA AGARWAL","3 - MOHD.SHAHID AKHLAK","4 - SHAHID MANZOOR","5 - MOHD.USMAN GHAZI","6 - MOHD. SAJID SAIFI","7 - DR. EX. MAJ HIMANSHU SINGH","8 - ATUL KHODAWAL","9 - ANIL","10 - APHAJAL","11 - IQRA CHOUDHARY","12 - MUKESH KUMAR","13 - SUNIL DUTT","14 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHALAYA ROOM N0. 1 MAHRAULI",549,420,1,970,433,299,0,732,64,0,37,430,60,201,0,0,1,0,0,0,0,0,0,3,732
2,"PRATHMIK VIDHALAYA ROOM N0. 2 MAHRAULI",476,404,0,880,351,284,0,635,635,0,45,276,202,98,2,2,2,1,0,0,1,0,2,4,635
3,"PRATHMIK VIDHALAYA UPLEHDA",610,503,0,1113,450,325,0,775,775,0,147,307,286,20,0,0,1,2,0,1,0,5,3,3,775
4,"PRATHMIK VIDHALAYA AMINAGAR URF BHOODBARAL",826,657,0,1483,549,389,0,938,934,0,14,371,255,289,0,0,3,1,0,0,0,0,1,4,938
5,"JANTA INTER COLLEGE ROOM N0 1 AMINAGAR URF BHOODBARAL",757,571,0,1328,498,365,0,863,855,0,11,267,417,149,1,0,5,2,1,0,1,1,5,3,863
6,"JANTA INTER COLLEGE ROOM N0 2 AMINAGAR URF BHOODBARAL",720,637,0,1357,509,399,0,908,908,0,39,690,71,91,1,0,7,0,0,0,1,1,4,3,908
7,"PRATHMIK VIDHALAYA ROOM N0. 1 CHHAJJUPUR",712,536,1,1249,459,323,0,782,695,0,107,407,86,167,3,0,1,1,0,2,0,2,2,4,782
8,"PRATHMIK VIDHALAYA ROOM N0 2 CHHAJJUPUR",291,224,0,515,209,143,0,352,313,0,21,101,206,23,0,0,0,0,0,1,0,0,0,0,352
9,"PRATHMIK VIDHALAYA ROOM N0 3 CHHAJJUPUR",488,389,0,877,300,225,0,525,515,0,33,350,121,16,1,0,2,1,0,0,0,1,0,0,525
10,"PRATHMIK VIDHALAYA IKLA",532,455,0,987,405,273,0,678,20,0,54,464,67,78,0,0,5,1,1,1,1,0,2,4,678
