"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MUKUL","2 - RAJ BABBAR","3 - VIJAY KUMAR SINGH","4 - SUDHAN KUMAR","5 - NARESH GAUTAM","6 - SHAZIA ILMI MALIK","7 - SURESH PAL","8 - KESHAV CHOUDHARY","9 - NITIN","10 - RAMPHAL SHAKYA","11 - RINKU KUMAR TYAGI","12 - VINOD KUMAR TYAGI","13 - SALEEM MALIK","14 - SABIR","15 - SANJEEV KUMAR","16 - None of the Above","Total Votes Secured"
1,"PRIMARY VIDYALYA JOGIPURA",522,434,0,956,367,264,0,631,631,0,123,42,158,281,2,15,0,1,1,2,0,1,2,2,1,0,631
2,"BHARM JUNIOR HIGH SCHOOL  DADRI ROOM NO. 1",577,391,0,968,421,268,0,689,689,0,242,21,176,238,1,1,0,1,0,0,0,1,1,5,1,1,689
3,"BHARM JUNIOR HIGH VIDYALYA DADRI ROOM NO. 2",472,362,0,834,345,220,0,565,565,0,158,13,209,179,1,0,0,0,0,0,0,0,0,3,0,2,565
4,"PRATHMIK VIDYALYA DADRI ROOM NO. 1",576,437,0,1013,416,287,0,703,703,0,228,32,319,114,0,2,0,0,0,1,0,1,0,0,2,4,703
5,"PRATHMIK VIDYALYA DADRI ROOM NO. 2",408,311,0,719,333,207,0,540,540,0,95,14,330,88,1,1,0,0,0,1,0,0,1,2,5,2,540
6,"PRATHMIK VIDYALYA DASTOI ROOM NO 1",881,691,0,1572,642,409,0,1051,1051,0,216,101,692,11,2,7,0,1,0,2,1,1,1,1,4,11,1051
7,"PRATHMIK VIDYALYA DASTOI ROOM NO. 2",691,558,0,1249,530,382,0,912,912,0,20,52,767,51,0,4,0,0,0,0,1,0,0,4,7,6,912
8,"PRATHMIK VIDYALYA SARAVA NO 1",821,654,0,1475,581,424,0,1005,1005,0,809,15,126,32,0,0,1,0,0,0,1,0,1,0,7,13,1005
9,"PRATHMIK VIDYALYA SARAVA NO 2 ROOM NO 1",654,534,0,1188,492,373,0,865,865,0,11,63,516,268,0,0,0,1,0,0,0,2,0,2,1,1,865
10,"PRATHMIK VIDYALYA SARAVA NO 2 ROOM NO 2",726,553,0,1279,460,342,0,802,802,0,47,91,111,536,1,8,3,0,0,1,0,1,0,0,2,1,802
11,"PRATHMIK VIDYALYA BADNOLI ROOM NO 1",625,522,0,1147,457,375,0,832,832,0,173,63,460,107,1,5,1,0,0,0,0,0,2,2,16,2,832
12,"PURV MADHYAMIK VIDYALYA BADNOLI ROOM NO 1",639,554,0,1193,408,341,0,749,749,0,82,19,597,20,0,4,1,0,0,1,0,1,1,3,15,5,749
13,"PURV MADHYMIK VIDYALYA BADNOLI ROOM NO. 2",639,507,0,1146,467,353,0,820,820,0,124,11,583,86,0,3,0,0,0,1,0,0,0,1,2,9,820
14,"PRATHMIK VIDYALYA AMIPUR NAGOLA ROOM NO 1",712,616,0,1328,472,350,0,822,822,0,238,62,446,53,0,8,1,1,0,2,0,0,0,7,2,2,822
15,"KANYA JUNIOR HIGH SCHOOL  AMIPUR NAGOLA",750,602,0,1352,519,348,0,867,867,0,195,23,566,72,1,2,0,0,0,0,0,1,0,3,3,1,867
16,"PRATHMIK VIDYALYA BARODA HINDUWAN ROOM NO 1",405,354,0,759,357,283,0,640,640,0,54,12,548,19,0,0,0,0,1,0,0,0,0,2,3,1,640
17,"PRATHMIK VIDYALYA BARODA HINDUWAN ROOM NO 2",399,333,0,732,321,242,0,563,563,0,54,25,464,6,0,1,0,1,0,2,0,0,0,3,4,3,563
18,"SHRI MAHAVIR JAIN JUNIOR HIGH SCHOOL KASTLA ROOM NO 1",711,605,0,1316,616,372,0,988,988,0,222,17,724,2,0,3,0,0,0,2,0,0,3,8,3,4,988
19,"SHRI MAHAVIR JAIN SCHOOL KASTLA ROOM NO 2",759,636,0,1395,489,330,0,819,819,0,260,81,412,43,1,6,0,0,2,0,0,1,0,0,0,13,819
20,"PRATHMIK VIDYALYA KASTALA NO 1ROOM NO 1",397,352,0,749,246,163,0,409,409,0,4,0,395,3,0,6,0,0,0,0,0,0,1,0,0,0,409
21,"PRATHMIK VIDYALYA KASTALA NO 1 ROOM NO 2",385,350,0,735,301,221,0,522,522,0,8,5,497,9,0,0,0,0,0,0,0,0,0,1,1,1,522
22,"SHRI JAGPAL SINGH SMARAK HIGHER SECONDERY SCHOOL NIJAMPUR ROOM NO 1",369,324,0,693,244,233,0,477,477,0,3,11,447,5,0,2,0,0,0,0,0,0,0,4,3,2,477
23,"SHRI JAGPAL SINGH SMARAK HIGHER SECONDERY SCHOOL NIJAMPUR ROOM NO 2",439,329,0,768,304,233,0,537,537,0,289,33,201,9,0,1,0,0,0,0,0,0,0,1,1,2,537
24,"PRATHMIK VIDYALYA ACCHEJA ROOM NO 1",805,678,0,1483,612,456,0,1068,1068,0,453,23,573,4,1,3,0,1,1,0,0,0,1,3,2,3,1068
25,"PRATHMIK VIDYALYA ACCHEJA ROOM NO 2",830,652,0,1482,526,483,0,1009,1009,0,263,36,498,180,0,12,0,1,0,0,1,4,0,5,3,6,1009
26,"KANYA JUNIOR HIGH SCHOOL SABDI ROOM NO 1",491,418,0,909,359,279,0,638,638,0,239,32,347,11,0,1,0,1,0,0,0,2,1,0,0,4,638
27,"KANYA JUNIOR HIGH SCHOOL SABDI ROOM NO 2",431,372,0,803,290,248,0,538,538,0,49,44,389,31,0,6,0,0,2,1,1,0,0,3,11,1,538
28,"PRATHMIK VIDYALYA NO 2 SABDI",724,599,0,1323,543,378,0,921,921,0,353,43,475,35,2,5,0,0,0,1,0,0,2,1,3,1,921
29,"PRATHMIK VIDYALYA RAMPUR ROON NO 1",455,389,0,844,364,280,0,644,644,0,74,17,466,63,0,12,0,0,0,0,1,2,1,4,2,2,644
30,"PRATHMIK VIDYALYA RAMPUR ROOM NO 2",387,316,0,703,280,225,0,505,505,0,208,4,267,16,0,0,0,1,0,0,0,0,0,2,4,3,505
31,"PRATHMIK VIDYALYA TUMRAIL",295,237,0,532,130,109,0,239,239,0,35,47,134,16,0,4,0,0,0,0,0,0,0,0,2,1,239
32,"PURV MADYAMIK VIDYALYA GIRDHARPUR TUMRAIL ROOM NO 1",418,318,0,736,289,185,0,474,474,0,57,32,322,42,0,16,0,0,0,0,0,0,0,1,1,3,474
33,"PURV MADHYAMIK VIDYALYA GIRDHARPUR TUMRAIL ROOM NO 2",538,418,0,956,400,209,0,609,609,0,66,57,384,84,0,2,0,0,0,1,0,1,1,3,7,3,609
34,"PRATHMIK VIDYALYA NAN ROOM NO 1",708,638,0,1346,451,361,0,812,812,0,7,76,706,7,0,1,0,1,0,1,0,0,1,5,4,3,812
35,"PRATHMIK VIDYALYA NAN ROOM NO 2",813,698,0,1511,548,360,0,908,908,0,133,23,561,138,2,1,0,2,2,0,0,0,2,14,15,15,908
36,"PRATHMIK VIDYALYA ALAMPUR ROOM NO 1",699,634,0,1333,528,396,0,924,924,0,75,18,761,32,3,7,0,0,0,0,1,0,4,8,7,8,924
37,"PRATHMIK VIDYALYA CHANDPURA ROOM NO 1",201,184,0,385,146,124,0,270,270,0,11,16,236,2,0,0,0,0,0,0,0,0,0,3,2,0,270
38,"PURV MADHYAMIK VIDYALYA RAGHUNATHPUR ROOM NO 1",751,659,0,1410,549,412,0,961,961,0,262,10,649,14,1,1,0,1,1,0,0,1,0,7,1,13,961
39,"PURV MADHYAMIK VIDYALYA RAGHUNATHPUR ROOM NO 2",412,354,0,766,297,244,0,541,541,0,53,27,436,2,0,9,0,0,0,0,0,0,1,9,3,1,541
40,"PRATHMIK VIDYALYA RAGHUNATH PUR ROOM NO 1",441,387,0,828,269,206,0,475,475,0,200,12,242,1,2,6,0,0,0,0,0,0,0,2,5,5,475
41,"PRATHMIK VIDYALYA PUTHA HUSAINPUR ROOM NO 1",729,592,0,1321,529,426,0,955,955,0,705,35,195,4,0,1,1,0,0,0,0,0,0,1,5,8,955
42,"PRATHMIK VIDYALYA KANVI ROOM NO 1",406,358,0,764,337,252,0,589,589,0,40,23,484,28,0,3,0,2,1,1,0,0,2,1,3,1,589
43,"PRATHMIK VIDYALYA KANVI ROOM NO 2",642,553,0,1195,506,437,0,943,943,0,491,74,337,30,1,2,0,0,0,0,1,0,0,1,3,3,943
44,"PRATHMIK VIDYALYA ANWARPUR ROOM NO 1",845,662,0,1507,478,398,0,876,876,0,35,36,771,8,0,13,1,0,0,1,0,0,2,4,4,1,876
45,"PRATHMIK VIDYALYA ANWARPUR ROOM NO 2",437,367,0,804,314,204,0,518,518,0,18,50,425,9,1,5,0,0,0,0,2,0,0,2,4,2,518
46,"PURV PRATHMIK VIDYALYA ANWARPUR",472,389,0,861,329,231,0,560,560,0,36,76,417,17,0,0,0,1,0,0,1,1,1,5,3,2,560
47,"PRATHMIK VIDYALYA NAYA GANV",791,565,0,1356,534,356,0,890,890,0,745,15,98,7,0,0,1,0,0,0,0,2,1,1,6,14,890
48,"PRATHMIK VIDYALYA KAMALPUR ROOM NO 1",609,544,0,1153,446,343,0,789,789,0,27,164,11,579,1,6,1,0,0,0,0,0,0,0,0,0,789
49,"PRATHMIK VIDYALYA KAMALPUR ROOM NO 2",408,368,0,776,296,257,0,553,553,0,4,168,3,373,1,0,0,0,0,0,0,3,0,0,0,1,553
50,"PRATHMIK VIDYALYA DAHPA",364,318,0,682,280,233,0,513,513,0,39,41,323,105,2,0,0,0,0,0,0,1,0,0,2,0,513
51,"PRATHMIK VIDYALYA KHAIRPUR KHAIRABAD ROOM NO 1",682,606,0,1288,502,426,0,928,928,0,285,56,553,7,0,5,0,2,0,1,1,1,2,4,7,4,928
52,"PRATHMIK VIDYALYA KHAIRPUR KHAIRABAD ROOM NO 2",443,382,0,825,291,220,0,511,511,0,2,108,356,33,2,3,0,1,0,0,0,0,0,2,3,1,511
53,"PRATHMIK VIDYALYA DUHRI ROOM NO 1",686,577,0,1263,515,389,0,904,904,0,187,21,527,149,1,6,0,0,0,0,1,0,1,4,4,3,904
54,"PRATHMIK VIDYALYA DUHRI ROOM NO 2",510,428,0,938,404,300,0,704,704,0,9,24,419,234,1,3,0,0,0,1,0,3,2,4,3,1,704
55,"PRATHMIK VIDYALYA ANCHPAL GARHI",702,614,0,1316,577,512,0,1089,1089,0,267,20,707,67,1,6,0,0,2,1,0,1,1,5,2,9,1089
56,"PRATHMIK VIDYALYA JATPURA ROOM NO 1",268,228,0,496,211,159,0,370,370,0,0,0,337,24,0,6,0,0,0,0,0,1,0,2,0,0,370
57,"PRATHMIK VIDYALYA JATPURA ROOM NO 2",462,368,0,830,347,253,0,600,600,0,165,9,400,12,0,3,0,1,0,1,0,0,2,2,1,4,600
58,"PRATHMIK VIDYALYA PIPLABANDPUR",582,441,1,1024,475,343,0,818,818,0,288,18,460,27,1,11,0,1,0,0,0,0,0,5,6,1,818
59,"LALA GANGASHAY DHARAMSHALA PILKHUWA ROOM NO 3",467,409,0,876,327,254,0,581,581,0,4,15,557,2,0,2,0,0,0,0,0,0,1,0,0,0,581
60,"LALA GANGA SHAY  DHARAMSHALA PILKHUWA ROOM NO 4",386,360,0,746,273,224,0,497,497,0,1,72,403,14,0,4,0,0,0,0,0,0,0,1,1,1,497
61,"LALA GANGA SHAY DHARAMSHALA PILKHUWA ROOM NO 5",482,455,0,937,316,263,0,579,579,0,17,265,260,13,0,18,0,0,1,1,0,0,0,0,3,1,579
62,"HINDU KANYA INTER COLLEGE PILKHUWA ROOM NO 1",643,584,0,1227,515,416,0,931,931,0,36,65,772,1,0,33,2,1,1,2,3,0,2,5,4,4,931
63,"HINDU KANYA INTER COLLEGE PILKHUWA ROOM NO 2",468,426,0,894,347,313,0,660,660,0,4,18,613,1,0,8,0,0,2,0,0,1,1,6,5,1,660
64,"HINDU KANYA INTER COLLEGE PILKHUWA ROOM NO 3",632,544,0,1176,454,337,0,791,791,0,9,228,516,15,0,9,0,0,0,0,0,5,2,3,1,3,791
65,"HINDU KANYA INTER COLLEGE PILKHUWA ROOM NO 4",585,502,0,1087,378,262,0,640,640,0,29,174,399,22,0,6,0,0,2,1,0,0,0,1,6,0,640
66,"HINDU KANYA INTER COLLEGE PILKHUWA ROOM NO 5",545,456,0,1001,386,301,0,687,687,0,56,427,154,32,0,7,1,0,0,0,0,0,0,0,6,4,687
67,"HINDU KANYAINTER COLLEGE PILKHUWA ROOM NO 6",634,469,0,1103,430,290,0,720,720,0,127,347,201,24,0,10,0,1,0,0,0,1,0,3,4,2,720
68,"HINDU KANYA  INTER COLLEGE PILKHUWA ROOM NO 7",581,522,0,1103,423,308,0,731,731,0,27,141,512,24,0,10,0,0,1,1,1,0,1,2,6,5,731
69,"HINDU KANYA INTER COLLEGE PILKHUWA ROOM NO 8",575,514,0,1089,411,306,0,717,717,0,33,130,519,4,0,7,0,0,0,0,1,1,2,3,7,10,717
70,"HINDU KANYA INTER COLLEGE PILKHUWA ROOM NO 9",416,387,0,803,350,255,0,605,605,0,2,15,573,10,0,4,0,0,0,0,0,0,0,0,1,0,605
71,"HINDU KANYA INTER COLLEGE PILKHUWA ROOM NO 10",301,278,0,579,223,185,0,408,408,0,14,22,362,2,0,0,0,0,1,0,1,1,0,2,3,0,408
72,"PRATHMIK VIDYALYA PILKHUWA NUMBER 3",685,607,0,1292,551,425,0,976,976,0,543,63,342,8,0,10,0,0,1,0,1,0,0,3,2,3,976
73,"TANK DHARMSHALA PILKHUWA",604,537,0,1141,445,349,0,794,794,0,20,407,271,80,0,9,0,0,0,0,0,0,0,1,4,2,794
74,"GYANI MOJIRAM DHARAMSHALA PILKHUWA ROOM NO 1",438,392,0,830,336,252,0,588,588,0,71,42,465,0,0,9,0,0,0,0,0,0,0,0,1,0,588
75,"GYANI MOJIRAM DHARAMSHALA PILKHUWA ROOM NO 2",365,320,0,685,279,211,0,490,490,0,14,116,331,16,0,9,0,0,0,0,0,0,0,2,2,0,490
76,"PURANI BULDING NAGER PALIKA PILKHUWA ROOM NO 1",606,547,0,1153,446,371,0,817,817,0,9,32,752,2,0,11,0,1,1,0,0,6,0,0,1,2,817
77,"PURANI BULDING NAGER PALIKA PILKHUWA ROOM NO 2",674,575,0,1249,413,285,0,698,698,0,27,26,609,12,1,10,0,0,0,0,0,0,1,4,3,5,698
78,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 1",502,455,0,957,355,269,0,624,624,0,4,54,530,26,0,5,0,0,0,0,0,0,0,2,2,1,624
79,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 2",571,458,0,1029,409,287,0,696,696,0,21,20,638,6,1,5,0,0,0,0,0,0,1,3,1,0,696
80,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 3",607,540,0,1147,427,364,0,791,791,0,13,74,684,2,0,9,0,0,1,2,0,0,1,1,2,2,791
81,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 4",718,619,0,1337,488,389,0,877,877,0,31,144,676,11,0,5,0,0,0,2,0,1,0,1,4,2,877
82,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 5",531,464,0,995,392,295,0,687,687,0,182,408,42,41,0,11,0,0,0,0,1,0,0,0,1,1,687
83,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 6",657,574,0,1231,443,346,0,789,789,0,36,629,41,64,0,6,0,1,0,0,1,4,0,0,3,4,789
84,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 7",599,527,0,1126,347,276,0,623,623,0,74,444,19,70,0,3,2,0,0,0,3,0,1,0,1,6,623
85,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 8",575,489,0,1064,346,276,0,622,622,0,66,405,80,58,1,6,0,0,0,0,0,1,0,3,1,1,622
86,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 9",486,432,0,918,326,269,0,595,595,0,51,321,187,24,0,2,0,0,0,0,0,1,1,3,2,3,595
87,"RAJPUTANA RAJIMENT INTER COLLEGE PILKHUWA ROOM NO 10",460,399,0,859,328,220,0,548,548,0,6,133,373,27,0,9,0,0,0,0,0,0,0,0,0,0,548
88,"LALA GANGA SHAY DHRAMSHALA PILKHUWA ROOM NO 1",605,540,0,1145,466,385,0,851,851,0,657,46,123,5,1,4,1,1,0,0,1,0,2,0,1,9,851
89,"LALA GANGA SHAY DHRAMSHALA PILKHUWA ROOM NO 2",503,454,0,957,338,295,0,633,633,0,243,55,311,6,0,11,0,0,0,0,0,1,1,2,2,1,633
90,"VIBGYOR INTER NATIONAL SCHOOL PILKHUWA ROOM NO 1",609,518,0,1127,427,329,0,756,756,0,126,72,509,23,1,6,0,2,1,2,1,0,1,6,5,1,756
91,"VIBGYOR INTER NATIONAL SCHOOL PILKHUWA ROOM NO 2",434,362,0,796,306,227,0,533,533,0,82,59,373,9,1,5,0,0,0,0,0,0,0,1,1,2,533
92,"VIBGYOR INTER NATIONAL SCHOOL PILKHUWA ROOM NO 3",707,623,0,1330,523,412,0,935,935,0,46,620,180,50,1,30,0,0,0,1,0,2,0,1,1,3,935
93,"CHANDI INTER COLLEGE PILKUWA ROOM 1",788,679,0,1467,496,383,0,879,879,0,24,288,525,18,0,13,0,0,0,0,0,0,2,1,2,6,879
94,"SARVODYA INTER COLLEGE PILKHUWA ROOM NO 1",734,656,0,1390,561,393,0,954,954,0,60,355,499,4,0,30,0,1,0,0,0,1,0,1,2,1,954
95,"SARVODYA INTER COLLEGE PILKHUWA ROOM NO 2",541,482,0,1023,420,316,0,736,736,0,17,223,461,5,0,21,1,0,0,0,1,0,0,2,4,1,736
96,"SARVODYA INTER COLLEGE PILKHUWA ROOM NO 3",405,357,0,762,275,232,0,507,507,0,163,27,297,4,0,2,0,0,0,1,1,0,0,2,8,2,507
97,"SARVODYA INTER COLLEGE PILKHUWA ROOM NO 4",361,313,0,674,249,170,0,419,419,0,77,80,231,18,0,8,0,0,0,1,1,0,1,0,1,1,419
98,"SARVODYA INTER COLLEGE PILKHUWA ROOM NO 5",343,323,0,666,257,215,0,472,472,0,102,221,134,11,0,3,0,0,0,0,0,0,0,1,0,0,472
99,"SARVODYA INTER COLLEGE PILKHUWA RAAM NO 6",352,321,0,673,263,198,0,461,461,0,156,53,232,1,0,9,0,0,0,0,0,0,0,2,2,6,461
100,"SARVODYA INTER COLLEGE PILKHUWA RAAM NO 7",617,511,0,1128,436,314,0,750,750,0,118,60,549,9,0,3,1,0,0,1,0,0,2,0,6,1,750
101,"SARVODYA INTER COLLEGE PILKHUWA RAAM NO 8",261,238,0,499,195,151,0,346,346,0,173,1,159,1,0,5,0,0,0,0,0,0,0,2,3,2,346
102,"SARVODYA INTER COLLEGE PILKHUWA ROOM NO 9",530,461,0,991,346,292,0,638,638,0,33,291,259,35,1,13,0,0,0,0,0,1,0,2,2,1,638
103,"PREMWATI DEVI MARWAR KANYA INTER COLLEGE PILKHUWA ROOM NO 1",656,560,0,1216,459,376,0,835,835,0,5,161,640,7,1,6,0,1,0,0,1,0,1,3,7,2,835
104,"PREMWATI DEVI MARWAR KANYA INTER COLLEGE PILKHUWA ROOM NO 2",666,549,0,1215,467,332,0,799,799,0,10,192,557,6,0,5,0,1,0,0,0,2,0,5,8,13,799
105,"PREMWATI DEVI MARWAR KANYA INTER COLLEGE PILKHUWA ROOM NO 3",582,512,0,1094,397,329,0,726,726,0,8,134,529,17,0,30,0,0,1,1,0,0,0,0,5,1,726
106,"PREMWATI DEVI MARWAR KANYA INTER COLLEGE PILKHUWA ROOM NO 4",489,422,0,911,358,261,0,619,619,0,50,75,478,3,0,6,0,0,0,0,0,0,2,0,3,2,619
107,"PREMWATI DEVI MARWAR KANYA INTER COLLEGE PILKHUWA ROOM NO 5",754,648,0,1402,508,411,0,919,919,0,47,105,719,19,0,16,0,0,0,1,1,0,2,3,4,2,919
108,"MARWAR INTER COLLEGE PILKHUWA ROOM NO 1",531,481,0,1012,402,305,0,707,707,0,8,47,627,9,1,3,0,1,0,0,0,0,0,2,7,2,707
109,"MARWAR INTER COLLEGE PILKHUWA ROOM NO 2",467,416,0,883,345,304,0,649,649,0,11,194,410,13,1,3,0,1,0,1,1,2,1,4,4,3,649
110,"MARWAR INTER COLLEGE PILKHUWA ROOM NO 3",425,388,0,813,319,247,0,566,566,0,3,254,239,45,0,20,1,0,0,1,0,0,0,0,2,1,566
111,"MARWAR  INTER COLLEGE PILKHUWA ROOM NO 4",536,479,0,1015,385,308,0,693,693,0,31,77,562,11,0,8,0,0,0,0,0,0,0,0,2,2,693
112,"MARWAR INTER COLLEGE PILKHUWA ROOM NO 5",453,409,0,862,297,235,0,532,532,0,35,23,452,3,1,14,0,1,0,0,1,0,0,0,0,2,532
113,"MARWAR INTER COLLEGE PILKHUWA ROOM NO 6",622,542,0,1164,470,350,0,820,820,0,39,282,428,29,0,32,1,0,0,0,0,2,0,1,1,5,820
