"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHALAY NAIMAZRA",512,497,0,1009,437,434,0,871,829,0,13,410,433,2,1,2,2,0,0,5,2,1,871
2,"PRATHMIK VIDHALAY KALLARHERI",648,502,0,1150,501,401,0,902,902,0,93,213,14,560,4,1,2,1,2,2,6,4,902
3,"PURV MADHYMIK VIDHALAY KAMRA NUMBER-3 SANOLI",587,456,0,1043,527,374,0,901,901,0,50,192,29,613,6,1,2,1,3,0,3,1,901
4,"PRATHMIK VIDHALAY KAMRA NUMBER-1 BHOGIMAZRA",189,166,0,355,183,161,0,344,344,0,0,0,1,342,0,0,1,0,0,0,0,0,344
5,"PRATHMIK VIDHALAY BISHANPUR",421,340,0,761,357,303,0,660,660,0,3,228,52,361,3,0,0,1,1,4,3,4,660
6,"PRATHMIK VIDHALAY CHAUSAHASPUR",360,329,0,689,274,256,0,530,329,0,1,95,339,84,7,0,0,0,1,2,0,1,530
7,"PRATHMIK VIDHALAY THANVI",233,218,0,451,188,170,0,358,1,0,4,97,223,30,2,0,0,0,0,2,0,0,358
8,"PRATHMIK VIDHALAY BISALHERA",281,258,0,539,269,197,0,466,466,0,0,89,367,3,0,0,0,0,0,6,0,1,466
9,"PRATHMIK VIDHALAY SHEKHPURA URF KHOSPURA",379,292,0,671,345,271,0,616,616,0,18,6,2,585,4,0,0,0,0,0,0,1,616
10,"PRATHMIK VIDHALAY PURVI BHAG SHERMAU",455,383,0,838,409,322,0,731,387,0,14,9,39,651,5,0,1,2,4,2,1,3,731
11,"PRATHMIK VIDHALAY KOTHDA",554,484,0,1038,432,371,0,803,3,0,2,86,647,46,2,1,2,0,6,8,0,3,803
12,"PRATHMIK VIDHALAY PURVI BHAG MOHANPURA",474,402,0,876,378,337,0,715,700,0,2,49,604,47,1,0,0,0,2,6,0,4,715
13,"PRATHMIK VIDHALAY PASCHIMI BHAG MOHANPURA",711,549,0,1260,598,459,0,1057,1056,0,29,6,197,801,9,1,1,2,2,2,1,6,1057
14,"PRATHMIK VIDHALAY UTTARI BHAG KAMHERA",565,466,0,1031,546,422,0,968,958,0,27,4,50,882,3,1,0,0,1,0,0,0,968
15,"PRATHMIK VIDHALAY DAKSHINI BHAG KAMHERA",487,418,0,905,438,398,0,836,836,0,12,8,24,774,7,2,0,0,2,5,0,2,836
16,"ADDRAS KISHAN MAZDUR JUNIOR HIGH SCHOOL UTTARI BHAG SALARPURA",538,455,0,993,446,395,0,841,2,0,18,164,129,513,3,0,1,0,5,0,2,6,841
17,"ADDRAS KISHAN MAZDUR JUNIOR HIGH SCHOOL DAKSHINI BHAG SALARPURA",377,322,0,699,311,259,0,570,570,0,22,220,47,270,2,1,0,0,2,2,1,3,570
18,"ADDRAS KISHAN MAZDUR JUNIOR HIGH SCHOOL MADHYA BHAG SALARPURA",372,298,0,670,296,240,0,536,536,0,3,11,38,471,2,0,1,1,6,2,0,1,536
19,"PRATHMIK VIDHALAY BISHNOT",440,364,0,804,411,310,0,721,721,0,12,9,50,627,8,1,1,3,4,2,2,2,721
20,"PRATHMIK VIDHALAY HALWANA",568,535,0,1103,428,432,0,860,860,0,94,233,450,58,5,0,1,1,3,9,1,5,860
21,"PRATHMIK VIDHALAY HUSSAINPUR",221,226,0,447,186,199,0,385,205,0,69,58,218,37,2,0,0,0,0,1,0,0,385
