"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
1,"SMB INTER COLLEGE RAMGHAT ROAD R.NO.-1",449,385,0,834,297,235,0,532,522,0,37,66,15,396,1,0,1,0,1,0,1,10,3,0,1,532
2,"SMB INTER COLLEGE RAMGHAT ROAD R.NO.-2",547,473,0,1020,368,292,0,660,660,0,22,46,25,533,3,3,1,1,2,0,1,17,2,1,3,660
3,"SMB INTER COLLEGE RAMGHAT ROAD R.NO.-3",272,232,0,504,171,141,0,312,170,0,11,2,15,277,1,0,0,0,0,0,0,4,0,0,2,312
4,"SMB INTER COLLEGE RAMGHAT ROAD R.NO.-4",379,374,0,753,280,238,0,518,499,0,16,6,39,445,0,0,0,2,0,0,0,8,0,0,2,518
5,"ABDULLA NURSURY SCHOOL, A.M.U., MAIRS ROAD R.NO.-1",391,373,0,764,273,224,0,497,497,0,5,29,26,419,1,1,0,0,1,0,0,11,0,0,4,497
6,"ABDULLA NURSURY SCHOOL, A.M.U., MAIRS ROAD R.NO.-2",432,423,0,855,272,254,0,526,524,0,12,27,55,415,1,1,1,0,0,0,1,13,0,0,0,526
7,"ABDULLA NURSURY SCHOOL, A.M.U., MAIRS ROAD R.NO.-3",616,579,0,1195,494,237,0,731,721,0,35,156,85,423,2,0,0,0,0,4,0,22,2,0,2,731
8,"ABDULLA NURSURY SCHOOL, A.M.U., MAIRS ROAD R.NO.-4",553,521,0,1074,374,344,0,718,701,0,15,123,54,507,1,1,0,0,0,0,1,11,1,1,3,718
9,"ABDULLA NURSURY SCHOOL, A.M.U., MAIRS ROAD R.NO.-5",409,372,0,781,225,185,0,410,402,0,17,233,70,66,0,0,0,0,1,1,1,19,0,0,2,410
10,"ABDULLA NURSURY SCHOOL, A.M.U., MAIRS ROAD R.NO.-6",360,323,0,683,221,186,0,407,325,0,24,215,72,73,0,0,0,0,1,0,1,17,0,0,4,407
