"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NIRANJAN SINGH DHANGAR","2 - MANOJ KUMAR SONI","3 - RAJESH KUMAR DIWAKER","4 - RAMJI LAL SUMAN","5 - SUNHARI LAL","6 - OMPRKASH","7 - DALVIR SINGH","8 - NIRANJAN SINGH","9 - RAJA RAM","10 - None of the Above","Total Votes Secured"
1,"P.S RAHANA R.N.01",559,467,0,1026,359,317,0,676,676,0,16,157,479,13,3,2,3,1,0,2,676
2,"P.S.RAHANA R.N.2",394,318,0,712,247,169,0,416,46,0,21,90,258,42,1,2,0,1,0,1,416
3,"P.S.GADHI NAND RAM",354,295,0,649,264,214,0,478,283,0,73,60,298,34,3,1,3,3,1,2,478
4,P.S.NAUPURA,166,134,0,300,112,85,0,197,78,0,2,16,164,10,1,0,0,1,0,3,197
5,"P.S.SUMRAT GARHI",391,353,0,744,321,295,0,616,274,0,4,593,7,8,0,1,1,0,2,0,616
6,"P.S.GARAV GARHI",482,414,0,896,360,336,0,696,400,0,6,120,464,94,1,2,3,1,2,3,696
7,"P.S.MAHAMOOD PUR",376,381,0,757,284,306,0,590,177,0,13,217,249,106,1,1,1,2,0,0,590
8,"P.S.BARSAI 1",386,296,0,682,263,213,0,476,88,0,3,131,300,35,2,1,0,0,1,3,476
9,"P.S.BARSAI R.N. 2",633,487,0,1120,427,289,0,716,715,0,75,54,533,42,3,2,1,1,0,5,716
10,"P.S.RUHEDI R.N.1",820,687,0,1507,536,423,0,959,14,0,36,122,737,38,3,3,2,3,4,11,959
11,"P.S.RUHEDI.R.N 2",566,498,0,1064,355,272,0,627,618,0,53,132,376,39,0,5,2,4,2,14,627
12,"P.S.NAYA NAGALA",255,221,0,476,205,170,0,375,258,0,2,362,3,1,1,3,0,1,0,2,375
13,"P.S.AMARPUR GHANA",619,547,0,1166,422,380,0,802,802,0,141,240,383,17,2,4,1,3,5,6,802
14,P.S.KUNDA,343,292,0,635,276,174,0,450,21,0,3,21,236,182,1,1,0,1,0,5,450
15,"P.S.SHAHAPUR KHURD",423,378,0,801,253,224,0,477,477,0,14,41,341,77,0,1,0,0,1,2,477
16,P.S.KINDAULI,773,632,0,1405,468,403,0,871,475,0,11,58,4,780,3,1,1,0,1,12,871
17,P.S.DAYANATPUR,544,470,0,1014,389,317,0,706,468,0,24,90,511,65,2,1,4,2,1,6,706
18,"P.S.NAGALA UMMED",270,247,0,517,195,177,0,372,344,0,21,226,85,36,0,1,0,2,1,0,372
19,"JANIOR HIGH SCHOOL.R.N.1",284,247,0,531,193,158,0,351,230,0,1,65,252,32,0,1,0,0,0,0,351
20,"JANIOR HIGH SCHOOL.R.N.2",373,323,0,696,216,177,0,393,14,0,0,30,299,51,1,3,3,2,0,4,393
21,P.S.MIRAGAMAI,325,281,0,606,226,202,0,428,351,0,2,363,45,15,0,1,0,0,1,1,428
22,P.S.AUDHUA,514,453,0,967,360,302,0,662,493,0,59,338,192,58,2,7,0,3,1,2,662
23,"P.S.KHITAULI KATELIYA.R.N.1",660,545,0,1205,493,312,0,805,582,0,119,10,500,158,5,3,0,2,2,6,805
24,"P.S.KHITAULI KATELIYA.R.N.2",554,420,0,974,336,246,0,582,24,0,47,153,224,145,1,0,2,2,1,7,582
25,"INTER COLLEGE KAUMARI R.N.1",685,608,0,1293,519,370,0,889,25,0,8,151,701,28,0,1,0,0,0,0,889
26,"INTER COLLEGE KAUMARI R.N.2",331,278,0,609,193,146,0,339,339,0,97,73,145,21,2,0,0,1,0,0,339
27,"JUNIOR HIGH SCHOOL NAGALA PATUAA",347,287,0,634,284,200,0,484,481,0,19,153,282,26,1,0,1,1,0,1,484
28,"INTER COLLEGE KAUMARI R.N.3",548,460,0,1008,318,271,0,589,589,0,5,198,274,89,13,1,2,1,2,4,589
29,"PRIMARY SCHOOL UTRA R.N 1",600,525,0,1125,391,325,0,716,686,0,7,53,351,284,5,2,2,3,2,7,716
30,"PRIMARY SCHOOL UTRA R.N 2",424,352,0,776,182,150,0,332,254,0,4,203,68,49,0,1,0,1,0,6,332
31,"PRIMARY SCHOOL CHANDAIYA",313,281,0,594,242,193,0,435,39,0,23,52,274,55,20,5,0,0,2,4,435
32,"PRIMARY SCHOOL NINAMAI",529,456,0,985,360,298,0,658,600,0,73,223,305,52,3,0,1,0,1,0,658
33,"PRIMARY SCHOOL TIKARI R.N.1",582,483,0,1065,392,362,0,754,64,0,126,203,364,40,12,0,1,1,2,5,754
34,"PRIMARY SCHOOL TIKARI R.N.2",155,149,0,304,107,98,0,205,205,0,1,1,173,26,3,0,1,0,0,0,205
