"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
1,"CHARVATI INTER COLLAGE AKOLA R.NO.-1 NORTH PART",770,612,0,1382,512,377,0,889,532,0,225,296,54,225,1,0,0,3,2,0,9,2,8,6,23,6,1,2,1,1,0,0,1,2,3,7,4,0,7,889
2,"CHARVATI INTER COLLAGE AKOLA R.NO.-2 NORTH PART",724,519,0,1243,475,288,0,763,301,0,268,279,53,129,2,0,1,0,0,0,0,1,0,2,13,7,1,2,0,1,0,0,1,0,1,0,0,1,1,763
3,"CHARVATI INTER COLLAGE AKOLA R.NO.-3 SOUTH PART",538,418,0,956,342,229,0,571,350,0,159,222,24,125,0,1,0,0,0,0,8,0,5,1,5,1,2,1,1,1,0,1,1,0,2,9,0,0,2,571
4,"CHARVATI INTER COLLAGE AKOLA R.NO.-4 SOUTH PART",630,471,0,1101,437,259,0,696,696,0,189,276,49,132,1,2,0,1,0,0,1,0,0,7,12,4,5,3,1,1,0,0,1,0,0,6,3,0,2,696
5,"CHARVATI INTER COLLAGE AKOLA R.NO.-5 SOUTH PART",627,493,0,1120,355,252,0,607,355,0,235,255,25,70,0,1,1,2,0,0,0,0,2,3,7,2,1,0,0,0,0,1,0,0,0,0,1,0,1,607
6,"PRA.VID.NAGLA JAYRAM R.NO-1",368,297,0,665,258,196,0,454,454,0,131,257,9,38,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,1,1,0,1,1,2,0,1,454
7,"PRA.VID.NAGLA JAYRAM R.NO-2",283,231,0,514,160,91,0,251,251,0,77,116,17,31,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,1,251
8,PRA.VID.RAMNAGAR,615,496,0,1111,340,293,0,633,92,0,204,306,41,63,0,0,1,0,1,1,0,0,4,1,4,0,2,2,1,1,0,0,0,0,0,1,0,0,0,633
9,PRA.VID.PINANI,286,252,0,538,191,177,0,368,120,0,119,127,31,70,0,0,1,0,0,0,0,0,2,6,4,0,1,0,0,0,1,0,1,0,4,0,1,0,0,368
10,PRA.VID.LADAM,528,409,0,937,365,279,0,644,644,0,51,419,116,33,0,0,0,0,0,0,1,2,0,1,5,0,3,3,2,1,1,0,1,3,0,0,0,1,1,644
11,"PRA.VID.NAGLA SAWLA",341,297,0,638,245,199,0,444,87,0,32,209,154,36,1,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,1,1,2,1,0,444
12,"PUR.MAD.VID.MANKEDA R.NO.-1",711,585,0,1296,426,320,0,746,643,0,31,409,48,231,2,0,0,2,0,0,0,1,1,1,1,2,0,3,0,1,0,1,1,3,0,0,1,3,4,746
