"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
1,"TILAK INTER COLLEGE ARYA NAGAR ROOM N.1",377,359,0,736,278,230,0,508,318,0,109,3,17,367,1,2,0,5,0,0,0,1,0,2,1,0,508
2,"TILAK INTER COLLEGE ARYA NAGAR ROOM N.2",450,428,0,878,292,241,0,533,483,0,47,13,57,411,0,1,0,1,1,0,0,0,0,0,2,0,533
3,"TILAK INTER COLLEGE ARYA NAGAR ROOM N.3",240,212,0,452,159,96,0,255,249,0,49,8,7,180,2,1,1,4,0,1,0,0,0,0,2,0,255
4,"ISLAMIA INTER COLLEGE ARYA NAGAR ROOM NO.1",374,369,0,743,220,190,0,410,328,0,43,7,21,329,3,0,0,3,0,0,0,2,0,0,1,1,410
5,"ISLAMIA INTER COLLEGE ARYA NAGAR ROOM NO.2",449,394,0,843,309,233,0,542,8,0,61,4,8,465,1,0,0,2,0,0,0,0,0,0,0,1,542
6,"ISLAMIA INTER COLLEGE ARYA NAGAR ROOM NO.3",409,382,0,791,275,228,0,503,443,0,81,8,8,396,4,1,0,1,0,0,0,1,0,0,1,2,503
7,"ISLAMIA INTER COLLEGE ARYA NAGAR ROOM NO.4",496,428,0,924,370,280,0,650,650,1,98,16,30,499,1,0,0,3,0,0,0,1,0,0,0,2,650
8,"ISLAMIA INTER COLLEGE ARYA NAGAR ROOM NO.5",490,446,0,936,425,260,0,685,402,0,225,0,151,305,0,0,0,2,0,0,0,0,1,1,0,0,685
9,"ISLAMIA INTER COLLEGE ARYA NAGAR ROON NO 6",623,567,0,1190,350,296,0,646,484,0,127,5,115,390,2,0,0,3,0,0,1,1,1,0,1,0,646
10,"JATAV DHARAMSALA MO GANJ",322,280,0,602,222,152,0,374,80,0,34,6,9,318,0,1,1,1,1,0,0,0,0,0,1,2,374
11,"SUSHILA BRIJRAJ SINGH INTER COLLEGE MATHURA NAGAR ROOM NO 1",705,531,0,1236,472,285,0,757,557,0,345,15,33,354,0,0,1,2,0,1,1,0,1,1,1,2,757
12,"SUSHILA BRIJRAJ SINGH INTER COLLEGE MATHURA NAGAR ROOM NO 2",476,354,0,830,324,220,0,544,370,0,188,8,26,308,2,0,0,3,0,0,0,1,0,2,3,3,544
13,"SUSHILA BRIJRAJ SINGH INTER COLLEGE MATHURA NAGAR ROOM NO 3",379,357,0,736,255,225,0,480,477,0,152,2,31,288,2,0,0,1,0,0,0,0,1,0,1,2,480
14,"D.A.V. INTER COLLEGE KOTLA CHUNGI ROOM.NO. 1",546,459,0,1005,346,283,0,629,620,0,74,4,94,429,5,1,6,2,0,1,2,1,6,1,1,2,629
15,"D.A.V. INTER COLLEGE KOTLA CHUNGI ROOM.NO. 2",644,541,0,1185,424,359,0,783,782,0,100,19,20,632,1,1,2,1,0,0,0,0,2,0,1,4,783
16,"D.A.V. INTER COLLEGE KOTLA CHUNGI ROOM.NO. 3",218,175,0,393,129,80,0,209,207,0,41,6,7,151,0,0,1,0,0,0,0,0,1,0,0,2,209
17,"D.A.V. INTER COLLEGE KOTLA CHUNGI ROOM.NO. 4",567,389,0,956,328,217,0,545,339,0,108,8,4,414,4,1,0,2,1,0,0,0,0,0,0,3,545
18,"D.A.V. INTER COLLEGE KOTLA CHUNGI ROOM.NO. 5",568,491,0,1059,355,276,0,631,380,0,67,7,18,521,4,2,1,3,0,2,0,1,0,1,1,3,631
19,"D.A.V. INTER COLLEGE KOTLA CHUNGI ROOM.NO. 6",349,311,0,660,219,189,0,408,321,0,56,5,10,327,2,0,0,1,0,0,0,1,2,0,4,0,408
20,"D.A.V. INTER COLLEGE KOTLA CHUNGI ROOM.NO. 7",418,363,0,781,281,148,0,429,358,0,52,4,6,361,1,0,0,4,0,0,0,1,0,0,0,0,429
21,"S.R.K.INTER COLLEGE RAMLILA ROOM.NO.1",512,434,0,946,330,214,0,544,544,0,47,11,3,471,1,1,0,5,0,0,0,0,0,0,0,5,544
22,"S.R.K.INTER COLLEGE RAMLILA ROOM.NO.2",488,444,0,932,297,244,0,541,530,0,74,7,6,449,1,0,0,1,0,0,0,0,1,0,0,2,541
23,"S.R.K.INTER COLLEGE RAMLILA ROOM.NO.3",635,516,0,1151,444,346,0,790,240,0,80,12,5,681,2,0,1,3,0,0,0,1,1,1,1,2,790
24,"S.R.K.INTER COLLEGE RAMLILA ROOM.NO.4",810,680,0,1490,526,380,0,906,717,0,353,10,17,511,1,0,1,2,0,0,2,1,0,0,2,6,906
25,"BHARAMMAD DHARAMSALA MO DULI ROOM.NO.1",390,312,0,702,288,202,0,490,406,0,48,24,46,367,0,1,0,3,0,0,0,0,0,0,1,0,490
26,"BHARAMMAN DHARAMSALA MO DULI ROOM.NO.2",250,181,0,431,171,101,0,272,240,0,34,2,142,88,1,0,0,1,0,0,0,0,0,1,2,1,272
27,"KASTOORBA INTER COLLEGE DURGA NAGAR ROOM.NO.1",720,727,0,1447,506,473,0,979,450,0,128,10,20,806,3,1,0,3,0,0,0,0,1,1,1,5,979
28,"KASTOORBA INTER COLLEGE DURGA NAGAR ROOM.NO.2",457,453,0,910,354,283,0,637,499,0,34,11,2,583,1,0,0,2,0,0,0,1,1,1,0,1,637
29,"KASTOORBA INTER COLLEGE DURGA NAGAR ROOM.NO.3",411,364,0,775,322,238,0,560,402,0,70,7,7,472,1,0,0,2,0,0,0,0,0,0,0,1,560
30,"KASTOORBA INTER COLLEGE DURGA NAGAR ROOM.NO.4",376,338,0,714,231,171,0,402,397,0,36,8,19,332,0,1,0,1,0,0,1,0,1,0,0,3,402
31,"KASTOORBA INTER COLLEGE DURGA NAGAR ROOM.NO.5",356,334,0,690,238,216,0,454,421,0,38,10,2,401,0,0,0,0,0,0,2,0,0,0,0,1,454
32,"M.G.BALIKA INTER COLLEGE ROOM.NO.1",433,374,0,807,281,221,0,502,400,0,64,1,3,427,0,1,0,1,0,0,0,0,2,0,2,1,502
33,"M.G.BALIKA INTER COLLEGE ROOM.NO.2",452,393,0,845,308,220,0,528,528,0,389,2,8,110,0,0,0,0,0,0,0,1,14,0,1,3,528
34,"M.G.BALIKA INTER COLLEGE ROOM.NO.3",623,487,0,1110,399,228,0,627,625,0,408,6,13,185,0,0,0,3,0,1,0,0,4,4,0,3,627
35,"M.G.BALIKA INTER COLLEGE ROOM.NO.4",623,489,0,1112,410,253,0,663,590,0,415,1,6,229,2,0,0,1,0,1,0,0,4,1,1,2,663
36,"M.G.BALIKA INTER COLLEGE ROOM.NO.5",563,466,0,1029,345,249,0,594,486,0,107,6,78,396,2,0,0,1,0,0,0,0,0,0,0,4,594
37,"M.G.BALIKA INTER COLLEGE ROOM.NO.6",586,524,0,1110,442,321,0,763,363,0,106,8,61,570,4,2,1,1,2,0,0,1,1,3,3,0,763
38,"M.G.BALIKA DIGREE COLLEGE ROOM.NO.1",598,460,0,1058,352,221,0,573,527,0,95,6,21,444,2,0,0,0,0,1,0,0,0,1,2,1,573
39,"M.G.BALIKA DIGREE COLLEGE ROOM.NO.2",472,406,0,878,300,246,0,546,338,0,321,7,5,204,1,0,0,0,0,1,0,0,1,0,1,5,546
40,"M.G.BALIKA DIGREE COLLEGE ROOM.NO.3",495,437,0,932,300,232,0,532,485,0,133,4,28,357,4,0,0,1,0,0,0,0,1,0,2,2,532
41,"ROYAL CITY PUBLIC SCHOOL KARVALA ROOM.NO.1",383,332,0,715,252,200,0,452,413,0,118,2,72,236,3,0,0,11,0,3,0,0,4,1,1,1,452
42,"ROYAL CITY PUBLIC SCHOOL KARVALA ROOM.NO.2",527,424,0,951,314,243,0,557,425,0,142,6,62,336,2,0,2,0,1,0,0,0,3,0,1,2,557
43,"ROYAL CITY PUBLIC SCHOOL KARVALA ROOM.NO.3",514,399,0,913,327,249,0,576,399,0,68,3,203,292,1,0,1,3,0,0,0,0,1,3,1,0,576
44,"RASTRIYA SHRAMIK V.KARBALA ROOM.NO.1",571,497,0,1068,373,281,0,654,605,0,164,15,11,433,8,0,3,2,0,0,1,0,3,5,0,9,654
45,"RASTRIYA SHRAMIK V.KARBALA ROOM.NO.2",616,494,0,1110,398,290,0,688,569,0,177,2,24,460,2,1,4,1,0,1,8,1,4,2,1,0,688
46,"RASTRIYA SHRAMIK V.KARBALA ROOM.NO.3",627,486,0,1113,401,268,0,669,559,0,185,3,31,438,3,0,0,4,1,0,0,1,2,1,0,0,669
47,"RASTRIYA SHRAMIK V.KARBALA ROOM.NO.4",429,349,0,778,288,217,0,505,500,0,70,8,17,394,3,1,2,1,1,1,0,2,1,1,1,2,505
48,"RASTRIYA SHRAMIK V.KARBALA ROOM.NO.5",559,481,0,1040,378,303,0,681,606,0,155,10,238,242,6,1,0,2,1,0,5,1,3,2,10,5,681
49,"RASTRIYA SHRAMIK V.KARBALA ROOM.NO.6",686,586,0,1272,428,308,0,736,592,0,109,16,12,578,5,0,2,3,0,0,1,0,3,0,2,5,736
50,"RASTRIYA SHRAMIK V.KARBALA ROOM.NO.7",364,305,0,669,182,114,0,296,280,0,55,0,54,183,0,1,0,0,0,1,0,0,2,0,0,0,296
51,"NAGAR PALIKA KARYALAYA ROOM.NO.1",665,589,0,1254,427,304,0,731,696,0,200,11,7,498,1,1,1,4,0,0,0,0,0,0,1,7,731
52,"NAGAR PALIKA KARYALAYA ROOM.NO.2",330,248,0,578,186,123,0,309,280,0,47,6,5,244,2,0,1,2,1,0,0,0,0,0,0,1,309
53,"NAGAR PALIKA KARYALAYA ROOM.NO.3",241,196,0,437,158,114,0,272,181,0,36,9,4,218,3,1,0,0,0,0,0,0,0,0,0,1,272
54,"DIGAMBAR JAIN COLLEGE CHNDRAPRABHU ROOM.NO.1",462,421,0,883,320,248,0,568,390,0,270,5,2,284,0,0,0,1,0,0,0,0,2,3,1,0,568
55,"DIGAMBAR JAIN COLLEGE CHNDRAPRABHU ROOM.NO.2",475,361,0,836,348,222,0,570,500,0,192,8,2,362,0,0,0,2,0,0,0,0,4,0,0,0,570
56,"DHARAMSALA CHAUBAN ROOM.NO.1",648,530,0,1178,454,315,0,769,767,0,425,5,7,328,0,0,0,1,0,0,1,0,0,1,0,1,769
57,"DHARAMSALA CHAUBAN ROOM.NO.2",441,415,0,856,308,201,0,509,499,0,100,9,7,379,5,0,0,8,0,0,0,0,0,0,0,1,509
58,"DHARAMSALA CHAUBAN ROOM.NO.3",656,552,1,1209,435,289,0,724,632,0,253,3,17,431,7,0,0,1,0,0,0,5,3,0,0,4,724
59,"DHARAMSALA CHAUBAN ROOM.NO.4",626,489,0,1115,410,281,0,691,512,0,119,12,12,532,2,0,2,1,1,2,0,1,0,0,2,5,691
60,"JAIN DHARAMSALA CHOKIGATE ROOM.NO.1",542,478,0,1020,308,216,0,524,242,0,500,1,15,3,0,0,0,2,0,0,0,0,2,0,0,1,524
61,"JAIN DHARAMSALA CHOKIGATE ROOM.NO.2",686,563,0,1249,406,254,0,660,592,0,584,8,28,8,0,0,0,20,0,0,0,0,9,0,0,3,660
62,"JAIN DHARAMSALA CHOKIGATE ROOM.NO.3",390,367,1,758,254,155,0,409,409,0,302,4,14,84,0,0,0,1,0,1,0,0,1,0,1,1,409
63,"AMBEDKAR DHARAMSALA MOHAMMADPUR ROOM.NO.1",558,477,0,1035,417,277,0,694,1,0,204,3,440,31,2,0,0,3,0,0,0,0,5,3,1,2,694
64,"AMBEDKAR DHARAMSALA MOHAMMADPUR ROOM.NO.2",297,313,0,610,197,153,0,350,318,0,160,2,9,174,0,0,0,3,0,0,0,0,0,0,0,2,350
65,"AMBEDKAR DHARAMSALA MOHAMMADPUR ROOM.NO.3",306,256,0,562,180,142,0,322,172,0,111,0,6,201,1,0,0,3,0,0,0,0,0,0,0,0,322
66,"MEHSHRI BALMIK V. MO DULI ROOM.NO.1",354,327,0,681,226,175,0,401,390,0,89,14,5,286,0,0,1,0,0,0,0,0,0,0,1,5,401
67,"MEHSHRI BALMIK V. MO DULI ROOM.NO.2",271,282,0,553,217,169,0,386,386,0,54,8,9,312,0,0,0,2,0,0,0,0,0,0,1,0,386
68,"SUGRA BEGUM GIRLS INTER COLLEGE BABU JI KI BAGIYA JATAVPURI ROOM..NO.1",478,457,0,935,275,178,0,453,415,0,442,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,453
69,"SUGRA BEGUM GIRLS INTER COLLEGE BAGIYA JATAVPURI ROOM..NO.2",478,385,1,864,298,177,0,475,420,0,455,5,5,2,0,0,0,0,0,0,1,4,0,0,0,3,475
70,"SUGRA BEGUM GIRLS INTER COLLEGE BABU JI KI BAGIYA JATAVPURI ROOM..NO.3",442,418,0,860,248,217,0,465,264,0,452,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,465
71,"SUGRA BEGUM GIRLS INTER COLLEGE BABU JI KI BAGIYA JATAVPURI ROOM..NO.4",620,440,0,1060,416,216,0,632,604,0,613,1,6,4,0,0,0,1,0,0,0,0,3,0,0,4,632
72,"ALHUDA MODERN SCHOOL RAHI NAGAR ROOM.NO.1",592,474,0,1066,371,226,0,597,486,0,567,4,20,2,0,0,0,0,0,0,0,2,1,0,0,1,597
73,"ALHUDA MODERN SCHOOL RAHI NAGAR ROOM.NO.2",371,298,0,669,235,170,0,405,404,0,359,6,21,15,0,0,0,0,0,0,0,0,1,0,0,3,405
74,"DR.ZAKIR HUSSAIN JUNIOR HIGH SCHOOL JHAMAIYA TOLA ROOM.NO.1",448,393,0,841,369,259,0,628,430,0,561,3,44,3,1,0,1,6,0,0,0,0,2,1,2,4,628
75,"REHBAR P.V. JHAMAIYA TOLA ROOM.NO.1",472,453,0,925,297,226,0,523,19,0,486,16,10,1,0,0,0,5,0,0,0,0,2,0,1,2,523
76,"REHBAR P.V. JHAMAIYA TOLA ROOM.NO.2",319,321,0,640,225,196,0,421,415,0,403,1,4,9,0,0,0,2,0,0,0,0,0,0,1,1,421
77,"REHBAR P.V. JHAMAIYA TOLA ROOM.NO.3",458,412,0,870,283,171,0,454,451,0,395,9,32,6,1,0,0,2,0,0,0,0,8,0,1,0,454
78,"P.PATHSALA SHESGRAN ROOM.NO.1",425,369,0,794,293,221,0,514,399,0,404,6,2,98,0,0,0,2,0,1,0,0,0,0,0,1,514
79,"P.PATHSALA SHESGRAN ROOM.NO.2",300,259,0,559,261,178,0,439,295,0,421,2,6,5,0,0,0,3,0,0,0,0,1,0,0,1,439
80,"JAMIA PUBLIC JUNIOR HIGH SCHOOL GALIB NAGAR ROOM.NO.1",297,247,0,544,185,117,0,302,231,0,279,6,7,5,0,0,0,1,0,0,0,0,4,0,0,0,302
81,"JAMIA PUBLIC JUNIOR HIGH SCHOOL GALIB NAGAR ROOM.NO.2",330,257,1,588,198,112,0,310,276,0,294,1,9,1,0,0,0,0,1,1,0,0,2,0,1,0,310
82,"JAMIA PUBLIC JUNIOR HIGH SCHOOL GALIB NAGAR ROOM.NO.3",343,267,0,610,247,131,0,378,190,0,349,2,15,2,0,0,0,2,0,0,0,0,5,1,0,2,378
83,"N.P.P.P. HAJIPURA ROOM.NO.1",438,393,0,831,230,171,0,401,379,0,375,0,10,4,0,0,0,3,0,0,0,1,5,0,1,2,401
84,"N.P.P.P. HAJIPURA ROOM.NO.2",540,493,0,1033,319,237,0,556,432,0,528,2,6,3,0,1,0,4,0,0,0,0,9,0,1,2,556
85,"N.P.P.P. HAJIPURA ROOM.NO.3",310,231,0,541,144,89,0,233,137,0,221,0,2,4,1,0,0,1,1,0,0,0,1,0,0,2,233
86,"N.P.P.P. HAJIPURA ROOM.NO.4",439,330,0,769,256,163,0,419,407,0,388,3,2,2,0,0,0,4,0,0,1,0,17,0,0,2,419
87,"N.P.P.P. HAJIPURA ROOM.NO.5",653,528,0,1181,471,298,0,769,747,0,698,16,12,14,0,0,0,1,0,4,1,1,21,0,0,1,769
88,"JUNIOR HIGH SCHOOL HAJIPURA ROOM.NO.1",638,491,0,1129,304,321,0,625,600,0,600,2,8,3,2,0,0,0,0,1,0,0,9,0,0,0,625
89,"JUNIOR HIGH SCHOOL HAJIPURA ROOM.NO.2",447,417,0,864,235,171,0,406,406,0,360,5,30,1,0,0,0,6,0,0,0,0,4,0,0,0,406
