Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Adilabad,1,GODAM NAGESH,Telangana Rashtra Samithi,NARESH,Indian National Congress,171290,Result Declared,Andhra Pradesh,S01
Amalapuram,24,DR PANDULA RAVINDRA BABU,Telugu Desam,PINIPE VISWARUPU,Yuvajana Sramika Rythu Congress Party,120576,Result Declared,Andhra Pradesh,S01
Anakapalli,22,MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam,GUDIVADA AMARNADH,Yuvajana Sramika Rythu Congress Party,47932,Result Declared,Andhra Pradesh,S01
Anantapur,36,J.C. DIVAKAR REDDI,Telugu Desam,ANANTHA VENKATARAMIREDDY,Yuvajana Sramika Rythu Congress Party,61269,Result Declared,Andhra Pradesh,S01
Aruku,18,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party,GUMMIDI SANDHYARANI,Telugu Desam,91398,Result Declared,Andhra Pradesh,S01
Bapatla,32,MALYADRI SRIRAM,Telugu Desam,VARIKUTI AMRUTHAPANI,Yuvajana Sramika Rythu Congress Party,32754,Result Declared,Andhra Pradesh,S01
Bhongir,14,DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,30494,Result Declared,Andhra Pradesh,S01
CHELVELLA,10,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,PATLOLLA KARTIK REDDY,Indian National Congress,73023,Result Declared,Andhra Pradesh,S01
Chittoor,42,NARAMALLI SIVAPRASAD,Telugu Desam,G.SAMANYAKIRAN,Yuvajana Sramika Rythu Congress Party,44138,Result Declared,Andhra Pradesh,S01
Eluru,27,MAGANTI VENKATESWARA RAO (BABU),Telugu Desam,THOTA CHANDRA SEKHAR,Yuvajana Sramika Rythu Congress Party,101926,Result Declared,Andhra Pradesh,S01
Guntur,30,JAYADEV GALLA,Telugu Desam,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,69111,Result Declared,Andhra Pradesh,S01
Hindupur,37,KRISTAPPA NIMMALA,Telugu Desam,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,97325,Result Declared,Andhra Pradesh,S01
Hyderabad,9,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,DR.BHAGAVANTH RAO,Bharatiya Janata Party,202454,Result Declared,Andhra Pradesh,S01
Kadapa,38,Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,SRINIVASA REDDY REDDEPPAGARI,Telugu Desam,190323,Result Declared,Andhra Pradesh,S01
Kakinada,23,THOTA NARASIMHAM,Telugu Desam,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,3431,Result Declared,Andhra Pradesh,S01
Karimnagar,3,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,PONNAM PRABHAKAR,Indian National Congress,205077,Result Declared,Andhra Pradesh,S01
Khammam,17,PONGULETI  SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,NAMA NAGESWARA RAO,Telugu Desam,11974,Result Declared,Andhra Pradesh,S01
Kurnool,35,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,B.T. NAIDU,Telugu Desam,44131,Result Declared,Andhra Pradesh,S01
Machilipatnam,28,KONAKALLA NARAYANA RAO,Telugu Desam,KOLUSU PARTHA SARATHY,Yuvajana Sramika Rythu Congress Party,81057,Result Declared,Andhra Pradesh,S01
Mahabubabad,16,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,P. BALRAM,Indian National Congress,34992,Result Declared,Andhra Pradesh,S01
Mahbubnagar,11,AP JITHENDER REDDY,Telangana Rashtra Samithi,JAIPAL REDDY SUDINI,Indian National Congress,2590,Result Declared,Andhra Pradesh,S01
Malkajgiri,7,CH.MALLA REDDY,Telugu Desam,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi,28371,Result Declared,Andhra Pradesh,S01
Medak,6,KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi,DR.P. SHRAVAN KUMAR REDDY,Indian National Congress,397029,Result Declared,Andhra Pradesh,S01
Nagarkurnool,12,YELLAIAH NANDI,Indian National Congress,DR. MANDA JAGANNATH,Telangana Rashtra Samithi,16676,Result Declared,Andhra Pradesh,S01
Nalgonda,13,GUTHA SUKHENDER REDDY,Indian National Congress,TERA CHINNAPA REDDY,Telugu Desam,193156,Result Declared,Andhra Pradesh,S01
Nandyal,34,S.P.Y REDDY,Yuvajana Sramika Rythu Congress Party,N.MD.FAROOK,Telugu Desam,105766,Result Declared,Andhra Pradesh,S01
Narasaraopet,31,SAMBASIVA RAO RAYAPATI,Telugu Desam,AYODHYA RAMIREDDY ALLA,Yuvajana Sramika Rythu Congress Party,35280,Result Declared,Andhra Pradesh,S01
Narsapuram,26,GOKARAJU GANGA RAJU,Bharatiya Janata Party,VANKA RAVINDRANATH,Yuvajana Sramika Rythu Congress Party,85351,Result Declared,Andhra Pradesh,S01
Nellore,39,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party,ADALA PRABHAKARA REDDY,Telugu Desam,13478,Result Declared,Andhra Pradesh,S01
Nizamabad,4,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,MADHU YASKHI GOUD,Indian National Congress,167184,Result Declared,Andhra Pradesh,S01
